"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.522915602E-4,-1.677561493E0,-7.544461212E0,5.748495941E0
1.022329158E-2,-1.747316437E0,-7.547904053E0,5.776188354E0
2.019429160E-2,-1.849104767E0,-7.663014679E0,5.726192322E0
3.016529162E-2,-2.047592010E0,-7.614365845E0,5.701044617E0
4.013629165E-2,-2.238594818E0,-7.548053741E0,5.769152985E0
5.010729167E-2,-2.456092529E0,-7.565717010E0,5.828429718E0
6.007829146E-2,-2.538720703E0,-7.553292847E0,5.761818237E0
7.004929148E-2,-2.556982727E0,-7.472910004E0,5.649551697E0
8.001929149E-2,-2.511177979E0,-7.400011597E0,5.525609436E0
8.999029151E-2,-2.473007355E0,-7.380851440E0,5.451812897E0
9.996129153E-2,-2.488874359E0,-7.363487549E0,5.449118500E0
1.099322916E-1,-2.408341827E0,-7.391030273E0,5.498665466E0
1.199032916E-1,-2.295925598E0,-7.453001404E0,5.557493134E0
1.298742916E-1,-2.223027191E0,-7.495063934E0,5.601351929E0
1.398452916E-1,-2.282154236E0,-7.479795685E0,5.580844574E0
1.498162916E-1,-2.529589691E0,-7.440577240E0,5.595963135E0
1.597872917E-1,-2.701881409E0,-7.445516968E0,5.610632629E0
1.697582917E-1,-2.738106079E0,-7.476801910E0,5.606740723E0
1.797279166E-1,-2.741099854E0,-7.527247009E0,5.532644806E0
1.896989166E-1,-2.802023163E0,-7.457492065E0,5.368885345E0
1.996699166E-1,-2.919828186E0,-7.383695526E0,5.166506195E0
2.096409167E-1,-3.073708191E0,-7.272327118E0,5.033732300E0
2.196119165E-1,-3.265309753E0,-7.034022675E0,4.974605255E0
2.295829165E-1,-3.468587036E0,-6.816524963E0,4.868176575E0
2.395539165E-1,-3.618724823E0,-6.715185699E0,4.721331940E0
2.495249165E-1,-3.747307434E0,-6.744973755E0,4.619543610E0
2.594959165E-1,-3.936214600E0,-6.818321228E0,4.542603607E0
2.694669166E-1,-4.087549896E0,-6.869365082E0,4.387526093E0
2.794379166E-1,-4.173171844E0,-6.973099365E0,4.152514801E0
2.894089166E-1,-4.312232666E0,-7.257957001E0,3.917802887E0
2.993799166E-1,-4.541705475E0,-7.453899536E0,3.627706146E0
3.093499166E-1,-4.864284668E0,-7.506889343E0,3.290307770E0
3.193209167E-1,-5.122946777E0,-7.458988953E0,2.936443634E0
3.292919167E-1,-5.267097015E0,-7.271428986E0,2.605481873E0
3.392629165E-1,-5.268294525E0,-7.130422211E0,2.416275330E0
3.492339165E-1,-5.190606079E0,-7.171736298E0,2.418370972E0
3.592049165E-1,-5.005590820E0,-7.248676300E0,2.668500824E0
3.691759165E-1,-4.668042755E0,-7.375462646E0,3.082090759E0
3.791469166E-1,-4.206851807E0,-7.564369812E0,3.559148712E0
3.891179166E-1,-3.702101440E0,-7.857310638E0,3.937412109E0
3.990889166E-1,-3.291804657E0,-8.209677887E0,4.234993286E0
4.090599166E-1,-3.044219513E0,-8.684490509E0,4.481231232E0
4.190309166E-1,-2.827021179E0,-9.119036865E0,4.708309021E0
4.290019167E-1,-2.499801636E0,-9.572893066E0,4.884492645E0
4.389729167E-1,-2.142794037E0,-1.000010468E1,4.979844360E0
4.489439165E-1,-1.823507996E0,-1.023661285E1,4.993915100E0
4.589149165E-1,-1.534159698E0,-1.017703674E1,4.893324280E0
4.688859165E-1,-1.408121796E0,-9.928703156E0,4.849016418E0
4.788569165E-1,-1.456620941E0,-9.634714508E0,4.929698639E0
4.888279166E-1,-1.630110168E0,-9.313931580E0,4.951553192E0
4.987989166E-1,-1.799408112E0,-8.961564331E0,4.845124512E0
5.087699166E-1,-1.878593445E0,-8.625363464E0,4.664749603E0
5.187409166E-1,-1.886526947E0,-8.574768677E0,4.565206604E0
5.287109166E-1,-1.777403870E0,-8.983568573E0,4.615052948E0
5.386819167E-1,-1.548978882E0,-9.420210571E0,4.827760620E0
5.486529167E-1,-1.274150391E0,-9.585466919E0,4.938829651E0
5.586239165E-1,-1.112785950E0,-9.393266602E0,4.913981323E0
5.685949165E-1,-9.994715881E-1,-8.998238068E0,4.911436615E0
5.785659165E-1,-8.219407654E-1,-8.614286499E0,4.847818909E0
5.885369165E-1,-7.056326294E-1,-8.411907349E0,4.875211945E0
5.985079166E-1,-6.423143005E-1,-8.402476959E0,4.967420197E0
6.084789166E-1,-5.390290833E-1,-8.662785645E0,5.114564209E0
6.184499166E-1,-3.947291565E-1,-9.038204956E0,5.435646515E0
6.284209166E-1,-2.662962341E-1,-9.189540253E0,5.791007538E0
6.383919166E-1,-2.329156494E-1,-8.904832306E0,6.040239258E0
6.483629167E-1,-3.237767029E-1,-8.523425446E0,6.172414398E0
6.583339167E-1,-3.802093506E-1,-8.273894348E0,6.312972107E0
6.683049165E-1,-3.842509460E-1,-8.173153839E0,6.553821259E0
6.782759165E-1,-4.068539429E-1,-8.109087067E0,6.689588928E0
6.882469165E-1,-4.580474854E-1,-8.174351349E0,6.788233795E0
6.982179165E-1,-5.126838684E-1,-8.249794464E0,6.931485901E0
7.081889166E-1,-4.104464722E-1,-8.337961121E0,7.121889954E0
7.181599166E-1,-1.809736633E-1,-8.330776062E0,7.138056335E0
7.281309166E-1,1.600172424E-1,-8.269553375E0,7.046746216E0
7.381009166E-1,4.863386536E-1,-8.156388702E0,7.023993530E0
7.480719166E-1,8.210426331E-1,-8.119864655E0,7.062313843E0
7.580429167E-1,1.080453186E0,-8.086933136E0,7.068151703E0
7.680139167E-1,1.285077667E0,-8.065677338E0,7.036866760E0
7.779849165E-1,1.413211212E0,-8.066874847E0,7.030579834E0
7.879559165E-1,1.428329773E0,-8.041876831E0,6.963519287E0
7.979269165E-1,1.329235840E0,-7.969128113E0,6.897207184E0
8.078979165E-1,1.131047974E0,-7.830666046E0,6.852300568E0
8.178689166E-1,9.574090576E-1,-7.672594757E0,6.870113525E0
8.278399166E-1,8.647517395E-1,-7.571554871E0,6.978637848E0
8.378109166E-1,8.378077698E-1,-7.512727203E0,7.067552948E0
8.477819166E-1,8.193960571E-1,-7.477101288E0,7.135811005E0
8.577529166E-1,7.984396362E-1,-7.347919922E0,7.227570190E0
8.677239167E-1,6.956034851E-1,-7.062613220E0,7.234006805E0
8.776949167E-1,6.123765564E-1,-6.780749359E0,7.114704895E0
8.876659165E-1,6.343807983E-1,-6.443800049E0,7.006330261E0
8.976369165E-1,6.373745728E-1,-6.185736694E0,6.867718506E0
9.076079165E-1,5.954617310E-1,-6.036946106E0,6.684499512E0
9.175789165E-1,5.429209900E-1,-6.040089569E0,6.585106201E0
9.275499166E-1,5.084925842E-1,-5.988297272E0,6.456373901E0
9.375199166E-1,3.258723450E-1,-5.844147034E0,6.377937012E0
9.474909166E-1,2.859054565E-2,-5.685177612E0,6.255791016E0
9.574619166E-1,-2.730322266E-1,-5.657335510E0,6.143374786E0
9.674329166E-1,-4.321513367E-1,-5.788612518E0,6.064937897E0
9.774039167E-1,-4.869374084E-1,-6.004763031E0,6.175557861E0
9.873749167E-1,-6.328839111E-1,-6.295757904E0,6.346053314E0
9.973459165E-1,-8.295748901E-1,-6.275699615E0,6.497538300E0
1.007316916E0,-1.135239258E0,-5.933211823E0,6.659501495E0
1.017287917E0,-1.611249390E0,-5.592370605E0,6.682703247E0
1.027258917E0,-1.941013641E0,-5.373076630E0,6.543043671E0
1.037229917E0,-1.865720215E0,-5.385949860E0,6.388265533E0
1.047200917E0,-1.337768097E0,-5.529800720E0,6.177204437E0
1.057171917E0,-5.598358154E-1,-5.585933990E0,6.046675873E0
