"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.950216667E-2,9.121219069E-2,1.813509166E-1,1.714464463E-2
3.947116667E-2,9.396722913E-2,1.338403970E-1,2.163446695E-2
4.944016668E-2,1.127485931E-1,8.286885172E-2,2.022293210E-2
5.941016669E-2,1.179763749E-1,7.572499570E-3,1.422080910E-3
6.937916670E-2,1.203956455E-1,-6.181060523E-2,-1.855955645E-2
7.934816671E-2,1.266005486E-1,-6.281860918E-2,-3.137016296E-2
8.931816672E-2,1.101998463E-1,-2.197142132E-2,-5.699259415E-2
9.928716673E-2,7.959319651E-2,2.131107077E-2,-8.342766762E-2
1.092561667E-1,5.505975336E-2,5.294222757E-2,-9.463171661E-2
1.192261667E-1,4.386915267E-2,8.204871416E-2,-9.273022413E-2
1.291947917E-1,3.567484394E-2,9.623285383E-2,-8.786892146E-2
1.391637917E-1,2.625470981E-2,1.055858806E-1,-7.688844204E-2
1.491337917E-1,1.998834871E-2,1.045911610E-1,-6.012031436E-2
1.591027917E-1,1.143187750E-2,9.327831864E-2,-4.667668045E-2
1.690717917E-1,3.646378173E-3,5.695806816E-2,-2.087598853E-2
1.790417917E-1,-5.362296943E-3,2.323605679E-2,2.029059688E-3
1.890107917E-1,-1.928848401E-2,-6.519649643E-3,1.734304987E-2
1.989807917E-1,-3.751249611E-2,-3.678993881E-2,4.742771387E-2
2.089497917E-1,-5.414563045E-2,-2.028460801E-2,9.900905192E-2
2.189187917E-1,-7.016454637E-2,6.066749617E-2,1.660863459E-1
2.288887918E-1,-8.836246282E-2,1.671385914E-1,2.208734453E-1
2.388577918E-1,-9.428400546E-2,2.839041054E-1,2.495080233E-1
2.488267918E-1,-7.966198772E-2,3.488273919E-1,2.049151808E-1
2.587967918E-1,-5.999108031E-2,2.421254516E-1,1.420161128E-1
2.687657918E-1,-5.012728646E-2,8.336734772E-2,1.342540234E-1
2.787347918E-1,-4.968866333E-2,-4.312002659E-2,1.703110933E-1
2.887047918E-1,-4.836571589E-2,-8.642637730E-2,2.041150182E-1
2.986737918E-1,-5.314023048E-2,-7.242747396E-2,2.219464779E-1
3.086427918E-1,-5.358268321E-2,-5.288502201E-2,2.423230261E-1
3.186127918E-1,-3.645163402E-2,-5.702250823E-2,2.657662928E-1
3.285817918E-1,3.464368172E-3,-1.287557632E-1,2.935755849E-1
3.385507918E-1,6.078518182E-2,-2.605076730E-1,3.449706137E-1
3.485207919E-1,1.363447011E-1,-4.204545915E-1,4.287523627E-1
3.584897919E-1,2.461308539E-1,-5.589570999E-1,5.338950157E-1
3.684587919E-1,3.600348234E-1,-6.932340264E-1,6.096241474E-1
3.784287916E-1,4.355804622E-1,-7.967138290E-1,6.393120289E-1
3.883977917E-1,4.818054736E-1,-8.140155077E-1,6.432436705E-1
3.983667917E-1,5.158199072E-1,-7.646383643E-1,6.374443769E-1
4.083367917E-1,5.308391452E-1,-6.963422894E-1,6.433915496E-1
4.183057917E-1,5.294795632E-1,-6.111326218E-1,6.448568106E-1
4.282747917E-1,5.158373117E-1,-5.146669149E-1,6.345583797E-1
4.382447917E-1,5.056075454E-1,-4.279221892E-1,6.257166862E-1
4.482137917E-1,5.188450813E-1,-3.970487714E-1,6.386551261E-1
4.581837917E-1,5.397189260E-1,-4.453222752E-1,6.645420790E-1
4.681527917E-1,5.559698343E-1,-5.205465555E-1,6.866365671E-1
4.781217917E-1,5.663436651E-1,-5.956402421E-1,6.939495802E-1
4.880917917E-1,5.675099492E-1,-6.687405109E-1,6.976059675E-1
4.980607918E-1,5.831557512E-1,-7.448765635E-1,6.960711479E-1
5.080297918E-1,5.863617063E-1,-8.337655067E-1,6.926420927E-1
5.179997918E-1,5.783773065E-1,-9.340215325E-1,6.739078164E-1
5.279687918E-1,5.524877906E-1,-1.005911946E0,6.515118480E-1
5.379377918E-1,5.170352459E-1,-1.035217881E0,6.473876834E-1
5.479077918E-1,4.726948142E-1,-1.054315686E0,6.303656697E-1
5.578767918E-1,4.330909252E-1,-1.039249659E0,6.136399508E-1
5.678457918E-1,3.948611617E-1,-1.023754239E0,6.031776667E-1
5.778157918E-1,3.520630896E-1,-1.028571367E0,5.863273144E-1
5.877847918E-1,3.266956806E-1,-1.068037271E0,5.570354462E-1
5.977537918E-1,3.149314523E-1,-1.109865665E0,5.344374776E-1
6.077237919E-1,2.913681865E-1,-1.136724710E0,5.121954083E-1
6.176927919E-1,2.758821845E-1,-1.164622426E0,4.875502288E-1
6.276617919E-1,2.578376234E-1,-1.231225967E0,4.885753095E-1
6.376317916E-1,2.210713774E-1,-1.292054176E0,5.039867163E-1
6.476007916E-1,1.687434763E-1,-1.328238726E0,5.163465142E-1
6.575697917E-1,1.323021054E-1,-1.338992596E0,5.342847705E-1
6.675397917E-1,1.013439521E-1,-1.324672699E0,5.514357686E-1
