"Time (s)","Distance (cm)"
3.286041785E-3,5.000000000E0
2.128112502E-2,0.000000000E0
2.130324999E-2,5.000000000E0
1.847166375E0,0.000000000E0
2.180437708E0,5.000000000E0
2.297212333E0,0.000000000E0
2.313775708E0,5.000000000E0
2.580499042E0,0.000000000E0
3.013859417E0,5.000000000E0
4.930682292E0,0.000000000E0
5.380689708E0,5.000000000E0
5.497373208E0,0.000000000E0
5.514051000E0,5.000000000E0
5.580695250E0,0.000000000E0
5.597335125E0,5.000000000E0
8.130859292E0,0.000000000E0
8.247551125E0,5.000000000E0
8.630894542E0,0.000000000E0
8.747521917E0,5.000000000E0
8.797529625E0,0.000000000E0
8.814217292E0,5.000000000E0
8.997534625E0,0.000000000E0
9.014274625E0,5.000000000E0
1.128108208E1,0.000000000E0
1.139782783E1,5.000000000E0
1.378128254E1,0.000000000E0
1.379784137E1,5.000000000E0
1.398126425E1,0.000000000E0
1.498127896E1,5.000000000E0
1.728879067E1,0.000000000E0
1.794338467E1,5.000000000E0
1.832213325E1,0.000000000E0
3.488982942E1,5.000000000E0
3.508964683E1,0.000000000E0
4.469217967E1,5.000000000E0
4.484356904E1,0.000000000E0
4.534086488E1,5.000000000E0
4.537440371E1,0.000000000E0
4.691620612E1,5.000000000E0
4.710526221E1,0.000000000E0
4.908548263E1,5.000000000E0
