"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.657124989E-3,-4.152264248E-1,-2.008471799E-1,-1.825190824E-1
1.962812501E-2,-5.022081430E-1,-5.870464182E-1,-1.295842391E-1
2.959812502E-2,-4.589980964E-1,-6.436261234E-1,-4.172397673E-2
3.956812504E-2,-3.875971614E-1,-3.939953309E-1,2.408409655E-2
4.953912506E-2,-3.494493417E-1,-2.430909741E-1,1.001867777E-1
5.950912507E-2,-3.604486853E-1,-2.419884816E-1,1.248684597E-1
6.947912485E-2,-3.742748652E-1,-2.478465146E-1,1.258940613E-1
7.945012487E-2,-3.718680051E-1,-1.609609830E-1,1.705036390E-1
8.942012489E-2,-2.925271359E-1,-3.388812304E-2,2.739940935E-1
9.939012490E-2,-2.281943151E-1,-4.446222782E-2,3.845620179E-1
1.093601249E-1,-2.531853148E-1,-1.622210580E-1,4.687092984E-1
1.193311249E-1,-3.235061230E-1,-2.203090525E-1,4.485188627E-1
1.293011250E-1,-3.965771690E-1,-7.123633593E-2,3.204741955E-1
1.392711250E-1,-5.327507816E-1,1.209677821E-1,3.216272664E-1
1.492421250E-1,-6.431744260E-1,1.444458148E-1,5.200998920E-1
1.592121250E-1,-4.772310305E-1,1.080796418E-1,6.590589720E-1
1.691821250E-1,-1.125474992E-1,1.115534726E-1,5.108864343E-1
1.791531250E-1,1.275761591E-1,1.177997607E-1,1.136423904E-1
1.891231250E-1,1.352038519E-1,1.538194862E-1,-2.484435153E-1
1.990931251E-1,-6.220706552E-2,3.146851596E-1,-5.754116285E-1
2.090641249E-1,-4.122649562E-1,5.315431854E-1,-8.127758396E-1
2.190341249E-1,-8.666213867E-1,6.660566273E-1,-7.739398026E-1
2.290041249E-1,-1.221853479E0,6.767292577E-1,-4.589836246E-1
2.389741249E-1,-1.200651913E0,6.478767568E-1,-2.850032312E-1
2.489451249E-1,-8.943050292E-1,5.203633091E-1,-3.548078763E-1
2.589151249E-1,-5.722940393E-1,3.266886163E-1,-5.143076402E-1
2.688851249E-1,-3.938088048E-1,2.475936225E-1,-6.124619257E-1
2.788561250E-1,-4.824914780E-1,3.425459728E-1,-7.175872618E-1
2.888261250E-1,-7.757499544E-1,4.819354078E-1,-7.101554507E-1
2.987961250E-1,-1.046412304E0,6.046754810E-1,-6.011194968E-1
3.087671250E-1,-1.042520982E0,7.670789722E-1,-5.444091064E-1
3.187371250E-1,-8.928598899E-1,9.567836979E-1,-5.911575955E-1
3.287071250E-1,-6.772740720E-1,1.100426398E0,-7.026312536E-1
3.386781251E-1,-5.246193512E-1,1.182758702E0,-7.792590147E-1
3.486481251E-1,-5.466785569E-1,1.151523169E0,-6.915846938E-1
3.586181249E-1,-8.323900321E-1,9.771770319E-1,-3.775769341E-1
3.685881249E-1,-1.074498820E0,8.182342154E-1,1.159602267E-1
3.785591249E-1,-9.971962903E-1,8.475036228E-1,5.098158091E-1
3.885291249E-1,-6.176410970E-1,9.278402728E-1,5.459071630E-1
3.984991249E-1,-2.476295829E-1,9.564574233E-1,3.289807248E-1
4.084701249E-1,-2.478240028E-2,1.044074734E0,8.529216528E-2
4.184401250E-1,-5.201887697E-2,1.068214671E0,-1.016573524E-1
4.284101250E-1,-3.874321237E-1,9.276712883E-1,-1.566761434E-1
4.383811250E-1,-9.268924391E-1,5.875112718E-1,8.521615148E-2
4.483511250E-1,-1.259418769E0,2.811285737E-1,5.316703624E-1
4.583211250E-1,-1.185196114E0,1.344824517E-1,6.953637493E-1
4.682921250E-1,-8.324224842E-1,3.235615253E-2,4.574387902E-1
4.782621250E-1,-3.084391639E-1,1.429369408E-1,4.137080491E-2
4.882321251E-1,1.469564630E-1,4.037698290E-1,-3.910980356E-1
4.982021251E-1,2.976012035E-1,6.630333245E-1,-6.685332155E-1
5.081731249E-1,1.550270824E-1,7.464909258E-1,-9.422109747E-1
5.181431249E-1,-2.622819744E-1,7.084278908E-1,-9.109330487E-1
5.281131249E-1,-6.682703832E-1,5.938081384E-1,-6.094810152E-1
5.380841249E-1,-8.586494391E-1,5.422278026E-1,-3.104473901E-1
5.480541249E-1,-7.529621856E-1,4.665297487E-1,-4.108546078E-2
5.580241249E-1,-3.503995143E-1,4.468208313E-1,2.305978131E-1
5.679951250E-1,1.283092538E-1,4.396538991E-1,4.917847502E-1
5.779651250E-1,4.740564309E-1,3.841687927E-1,7.582359356E-1
5.879351250E-1,4.829270956E-1,4.837693870E-3,6.594261771E-1
5.979061250E-1,3.177895926E-1,-6.236040875E-1,4.807364362E-1
6.078761250E-1,1.518671009E-1,-1.149447115E0,4.128029001E-1
6.178461250E-1,1.013750781E-1,-1.438063340E0,4.305585551E-1
6.278161251E-1,1.677517931E-1,-1.665099322E0,4.365490276E-1
6.377871251E-1,2.804504429E-1,-1.813840502E0,4.531516117E-1
6.477570001E-1,3.252095631E-1,-1.712970769E0,4.722766846E-1
6.577270001E-1,3.022934479E-1,-1.396858304E0,4.433347213E-1
6.676979999E-1,1.886633366E-1,-1.010653219E0,3.853964156E-1
6.776679999E-1,-1.748580605E-2,-6.613341236E-1,1.596237248E-1
6.876379999E-1,-3.415572086E-1,-3.893409473E-1,-2.032094550E-1
6.976089999E-1,-6.005222037E-1,-2.121814227E-1,-6.036045635E-1
7.075789999E-1,-6.358301769E-1,-9.561922520E-2,-8.543080276E-1
7.175489999E-1,-3.774120426E-1,-6.862263054E-2,-1.027403737E0
7.275200000E-1,-4.763302669E-2,-1.651946595E-1,-1.206196974E0
7.374900000E-1,2.426457086E-1,-8.397800356E-2,-1.499137216E0
7.474600000E-1,4.893822755E-1,8.760590851E-2,-1.603114743E0
7.574310000E-1,5.935156314E-1,1.324075672E-1,-1.494505636E0
7.674010000E-1,5.033433799E-1,1.008402041E-1,-1.217933505E0
7.773710000E-1,2.619106762E-1,8.723870337E-2,-1.064649332E0
7.873410000E-1,-7.932084247E-2,1.593489057E-1,-1.058832521E0
7.973120001E-1,-2.836629032E-1,1.952511021E-1,-9.820369452E-1
8.072820001E-1,-3.815181036E-1,1.729270175E-1,-8.554464805E-1
8.172519999E-1,-3.853375049E-1,2.032477543E-1,-6.790494329E-1
8.272229999E-1,-2.997909857E-1,3.444594741E-1,-4.399959612E-1
8.371929999E-1,-1.637349021E-1,3.416916946E-1,-1.504067588E-1
8.471629999E-1,5.924223483E-2,1.063205069E-1,1.290714383E-2
8.571339999E-1,3.244944486E-1,-3.000834927E-1,8.381925166E-2
8.671039999E-1,5.180459113E-1,-5.254027319E-1,1.246702391E-1
8.770740000E-1,6.111166276E-1,-5.035914481E-1,2.098273337E-1
8.870450000E-1,6.191805227E-1,-4.793006524E-1,3.476128775E-1
8.970150000E-1,6.387388743E-1,-6.482170647E-1,4.541889077E-1
9.069850000E-1,6.672525291E-1,-9.292488670E-1,5.028617156E-1
9.169560000E-1,6.998383310E-1,-1.156449156E0,5.324492115E-1
9.269260000E-1,7.376079820E-1,-1.226656674E0,6.019632500E-1
9.368960001E-1,6.896345012E-1,-1.316000960E0,6.830243701E-1
9.468670001E-1,4.997755551E-1,-1.346710829E0,7.764622915E-1
9.568369999E-1,2.923189750E-1,-1.156431906E0,8.089318800E-1
9.668069999E-1,2.082608646E-1,-1.113848096E0,8.076115787E-1
9.767769999E-1,2.628911081E-1,-1.287597525E0,7.830667216E-1
9.867479999E-1,4.367019323E-1,-1.537860401E0,6.954748464E-1
9.967179999E-1,6.418766364E-1,-1.682264701E0,5.934087735E-1
1.006688000E0,7.307920289E-1,-1.777397145E0,3.694259155E-1
1.016659000E0,6.303068970E-1,-1.554510348E0,1.051908249E-1
1.026629000E0,3.887495014E-1,-1.171135607E0,-1.133681560E-1
1.036599000E0,1.690905131E-1,-8.127062577E-1,-2.531224573E-1
