"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.657124989E-3,1.704600525E1,4.227973938E0,-3.873550415E1
1.962812501E-2,1.691233826E1,4.399887085E0,-3.849594116E1
2.959812502E-2,1.689126587E1,4.373588562E0,-3.847482300E1
3.956812504E-2,1.688166809E1,4.425025940E0,-3.885211182E1
4.953912506E-2,1.666664124E1,4.542015076E0,-3.887911987E1
5.950912507E-2,1.673254395E1,4.797195435E0,-3.850561523E1
6.947912485E-2,1.649081421E1,4.625549316E0,-3.863824463E1
7.945012487E-2,1.634170532E1,4.497261047E0,-3.913333130E1
8.942012489E-2,1.643035889E1,4.624237061E0,-3.898156738E1
9.939012490E-2,1.643357849E1,4.517387390E0,-3.916934204E1
1.093601249E-1,1.623796082E1,4.702072144E0,-3.923620605E1
1.193311249E-1,1.606268311E1,4.551116943E0,-3.939770508E1
1.293011250E-1,1.590531921E1,4.493812561E0,-3.954992676E1
1.392711250E-1,1.564407349E1,4.384826660E0,-3.934262085E1
1.492421250E-1,1.554156494E1,4.511741638E0,-3.966018677E1
1.592121250E-1,1.511166382E1,4.399063110E0,-3.919372559E1
1.691821250E-1,1.491725159E1,4.733009338E0,-3.928826904E1
1.791531250E-1,1.501644897E1,4.889732361E0,-3.927169800E1
1.891231250E-1,1.482682800E1,4.944824219E0,-3.931283569E1
1.990931251E-1,1.497868347E1,4.799003601E0,-3.959066772E1
2.090641249E-1,1.525361633E1,4.676437378E0,-3.940060425E1
2.190341249E-1,1.514846802E1,4.785766602E0,-3.930654907E1
2.290041249E-1,1.506950378E1,4.812622070E0,-3.939233398E1
2.389741249E-1,1.509307861E1,4.863258362E0,-3.918386841E1
2.489451249E-1,1.523143005E1,4.820831299E0,-3.958996582E1
2.589151249E-1,1.533760071E1,4.780982971E0,-3.932019043E1
2.688851249E-1,1.519937134E1,4.820976257E0,-3.961917114E1
2.788561250E-1,1.509852600E1,4.850471497E0,-3.930325317E1
2.888261250E-1,1.508338928E1,4.816917419E0,-3.923086548E1
2.987961250E-1,1.512963867E1,4.869415283E0,-3.984875488E1
3.087671250E-1,1.509344482E1,5.076782227E0,-3.922787476E1
3.187371250E-1,1.498558044E1,4.765945435E0,-3.955075073E1
3.287071250E-1,1.503437805E1,4.898155212E0,-3.937268066E1
3.386781251E-1,1.499913025E1,4.914215088E0,-3.985229492E1
3.486481251E-1,1.476939392E1,4.494316101E0,-3.986520386E1
3.586181249E-1,1.478291321E1,4.759346008E0,-3.980773926E1
3.685881249E-1,1.469190979E1,4.743057251E0,-3.991033936E1
3.785591249E-1,1.478999329E1,4.676834106E0,-3.946347046E1
3.885291249E-1,1.449569702E1,4.821640015E0,-3.969958496E1
3.984991249E-1,1.462911987E1,4.734756470E0,-4.000665283E1
4.084701249E-1,1.435505676E1,4.849174500E0,-4.004067993E1
4.184401250E-1,1.449182129E1,4.759681702E0,-4.024523926E1
4.284101250E-1,1.446345520E1,4.900238037E0,-4.038449097E1
4.383811250E-1,1.454547119E1,5.100845337E0,-4.001525879E1
4.483511250E-1,1.429760742E1,5.165733337E0,-3.976525879E1
4.583211250E-1,1.404943848E1,5.266586304E0,-3.991421509E1
4.682921250E-1,1.387095642E1,5.243614197E0,-3.942340088E1
4.782621250E-1,1.379304504E1,4.993461609E0,-3.976556396E1
4.882321251E-1,1.373881531E1,5.406806946E0,-4.018554688E1
4.982021251E-1,1.354936218E1,5.598762512E0,-4.022769165E1
5.081731249E-1,1.362142944E1,5.488250732E0,-4.026525879E1
5.181431249E-1,1.324255371E1,5.898773193E0,-4.027236938E1
5.281131249E-1,1.297937012E1,6.212097168E0,-3.988641357E1
5.380841249E-1,1.302360535E1,6.526840210E0,-4.049301147E1
5.480541249E-1,1.306561279E1,6.572738647E0,-4.063311768E1
5.580241249E-1,1.297305298E1,6.563858032E0,-4.029510498E1
5.679951250E-1,1.269284058E1,6.908187866E0,-4.023486328E1
5.779651250E-1,1.213032532E1,7.131553650E0,-4.012451172E1
5.879351250E-1,1.193170166E1,7.382186890E0,-4.035122681E1
5.979061250E-1,1.186233521E1,7.409187317E0,-4.054241943E1
6.078761250E-1,1.165704346E1,7.272903442E0,-4.015762329E1
6.178461250E-1,1.127493286E1,7.200195312E0,-4.011648560E1
6.278161251E-1,1.104617310E1,7.352752686E0,-4.042422485E1
6.377871251E-1,1.109867859E1,7.247627258E0,-4.057510376E1
6.477570001E-1,1.078205872E1,7.125343323E0,-4.077648926E1
6.577270001E-1,1.060545349E1,7.368400574E0,-4.074975586E1
6.676979999E-1,1.053846741E1,7.208000183E0,-4.093411255E1
6.776679999E-1,1.060133362E1,6.961341858E0,-4.085583496E1
6.876379999E-1,1.060717773E1,6.684555054E0,-4.084848022E1
6.976089999E-1,1.064761353E1,6.761192322E0,-4.080917358E1
7.075789999E-1,1.108645630E1,6.677619934E0,-4.044702148E1
7.175489999E-1,1.130233765E1,6.499679565E0,-4.047747803E1
7.275200000E-1,1.120741272E1,6.433914185E0,-4.054333496E1
7.374900000E-1,1.152986145E1,6.401138306E0,-4.053256226E1
7.474600000E-1,1.155001831E1,6.364761353E0,-4.054348755E1
7.574310000E-1,1.175599670E1,6.393180847E0,-4.047836304E1
7.674010000E-1,1.196392822E1,6.369850159E0,-4.030334473E1
7.773710000E-1,1.214880371E1,6.465049744E0,-4.072271729E1
7.873410000E-1,1.225349426E1,6.195030212E0,-4.030200195E1
7.973120001E-1,1.242640686E1,6.402770996E0,-4.020755005E1
8.072820001E-1,1.243693542E1,6.574111938E0,-4.001861572E1
8.172519999E-1,1.253167725E1,6.445022583E0,-4.010281372E1
8.272229999E-1,1.256997681E1,6.588737488E0,-3.991735840E1
8.371929999E-1,1.247550964E1,6.437713623E0,-4.009893799E1
8.471629999E-1,1.231506348E1,6.526008606E0,-3.993374634E1
8.571339999E-1,1.213972473E1,6.638015747E0,-4.007699585E1
8.671039999E-1,1.212153625E1,6.487205505E0,-4.005725098E1
8.770740000E-1,1.181855774E1,6.384017944E0,-4.028851318E1
8.870450000E-1,1.161637878E1,6.523155212E0,-4.044760132E1
8.970150000E-1,1.138189697E1,6.510894775E0,-4.058319092E1
9.069850000E-1,1.146159363E1,6.437126160E0,-4.071862793E1
9.169560000E-1,1.121444702E1,6.317512512E0,-4.057171631E1
9.269260000E-1,1.128396606E1,6.459243774E0,-4.051599121E1
9.368960001E-1,1.094984436E1,6.254135132E0,-4.058670044E1
9.468670001E-1,1.095783997E1,6.164649963E0,-4.100399780E1
9.568369999E-1,1.088835144E1,5.987167358E0,-4.081823730E1
9.668069999E-1,1.080706787E1,5.926765442E0,-4.105224609E1
9.767769999E-1,1.056291199E1,6.392723083E0,-4.111676025E1
9.867479999E-1,1.035820007E1,6.210533142E0,-4.107546997E1
9.967179999E-1,1.015061951E1,5.898445129E0,-4.129028320E1
1.006688000E0,9.899078369E0,6.229454041E0,-4.130114746E1
1.016659000E0,9.609710693E0,5.974426270E0,-4.178344727E1
1.026629000E0,9.522125244E0,6.167259216E0,-4.144992065E1
