"Time (s)","X (hPa)"
-5.471344583E-1,1.025078812E3
4.796045416E-1,1.025087433E3
1.506380541E0,1.025096130E3
2.533164542E0,1.025105133E3
3.559993542E0,1.025206451E3
4.586758542E0,1.025206451E3
4.733328542E0,1.025079193E3
5.684127541E0,1.025077820E3
6.634800542E0,1.025077820E3
7.585483541E0,1.025007553E3
8.536146542E0,1.025007553E3
9.486941542E0,1.025061111E3
1.043769754E1,1.025061111E3
1.138841254E1,1.025043869E3
1.233930154E1,1.025043869E3
1.329022654E1,1.025183868E3
1.424104254E1,1.025183868E3
1.519188454E1,1.025071259E3
1.614267854E1,1.025043869E3
1.709352354E1,1.025021973E3
1.804445454E1,1.024759903E3
1.899529854E1,1.024759903E3
1.994628154E1,1.024848251E3
2.089701054E1,1.024862900E3
2.184774254E1,1.024892960E3
2.279830254E1,1.024892960E3
2.374893854E1,1.024892960E3
2.469954954E1,1.024909515E3
2.565011654E1,1.024971619E3
2.660061154E1,1.025155716E3
2.755105254E1,1.025339890E3
2.850152354E1,1.025339890E3
2.945193554E1,1.025194931E3
3.040243554E1,1.025030594E3
3.135305354E1,1.024853668E3
3.230363654E1,1.024715271E3
3.325415254E1,1.024715271E3
3.420493654E1,1.024907150E3
3.515576654E1,1.025099030E3
3.610656754E1,1.025099182E3
3.705745354E1,1.025145035E3
3.800829554E1,1.025145035E3
3.895912754E1,1.025113144E3
3.991006354E1,1.025106506E3
4.086110854E1,1.025112457E3
4.181193954E1,1.025106506E3
4.276270754E1,1.025112457E3
4.371341354E1,1.025112915E3
4.466398454E1,1.025117722E3
4.561449354E1,1.025115662E3
4.656506454E1,1.025142441E3
