"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.349942207E-3,5.238129865E1,4.860444602E0,4.512912333E0,NaN,NaN,2.616644180E1,4.716617966E1
5.102598667E-2,5.238129865E1,4.860444602E0,4.513820231E0,NaN,NaN,2.616644180E1,5.164717102E1
4.424190521E-1,5.238129865E1,4.860444602E0,2.560256004E0,NaN,NaN,2.616644180E1,2.597169685E1
2.777426958E0,5.238129865E1,4.860444602E0,2.261372209E0,NaN,NaN,2.616644180E1,2.074015617E1
4.282803535E0,5.238093634E1,4.860710073E0,2.751095200E1,3.000000119E-1,4.289062500E1,1.851465945E1,3.200000000E1
5.282792330E0,5.238094619E1,4.860721892E0,2.607229233E1,0.000000000E0,NaN,1.293224891E1,2.400000000E1
6.282781720E0,5.238094401E1,4.860731363E0,2.777004623E1,3.799999952E-1,7.171875000E1,1.049457362E1,1.600000000E1
7.282770872E0,5.238094296E1,4.860738236E0,2.866872787E1,5.299999714E-1,1.455468750E2,9.053760171E0,1.600000000E1
8.283614874E0,5.238093290E1,4.860746451E0,2.502151108E1,5.799999833E-1,1.659375000E2,8.585362513E0,1.200000000E1
9.283617020E0,5.238092879E1,4.860752150E0,2.840993881E1,5.299999714E-1,NaN,7.929173695E0,1.200000000E1
1.028360438E1,5.238093194E1,4.860757180E0,3.069887924E1,1.500000060E-1,NaN,7.283713610E0,1.200000000E1
1.128360689E1,5.238094162E1,4.860761706E0,3.345107651E1,2.000000030E-1,NaN,7.006969477E0,1.200000000E1
1.228360713E1,5.238094966E1,4.860770088E0,3.254256821E1,3.400000036E-1,1.001953125E2,7.210351439E0,1.200000000E1
1.328359532E1,5.238096081E1,4.860784588E0,2.815774155E1,0.000000000E0,8.718750000E1,6.625352043E0,1.200000000E1
1.428360164E1,5.238097062E1,4.860800346E0,2.604171371E1,2.700000107E-1,7.593750000E1,5.950308985E0,8.000000000E0
1.528360760E1,5.238097062E1,4.860800346E0,2.604171378E1,2.700000107E-1,NaN,5.950308985E0,8.000000000E0
1.628359687E1,5.238097498E1,4.860828035E0,2.727499017E1,4.699999988E-1,9.105469297E1,5.932369996E0,8.000000000E0
1.728360200E1,5.238097682E1,4.860835886E0,2.857021720E1,2.199999988E-1,NaN,5.814220481E0,8.000000000E0
1.828360367E1,5.238098286E1,4.860844854E0,2.813869865E1,2.599999905E-1,NaN,5.933068568E0,8.000000000E0
1.928359354E1,5.238098860E1,4.860848794E0,2.914803702E1,0.000000000E0,NaN,6.425398757E0,8.000000000E0
2.028359973E1,5.238099581E1,4.860860193E0,2.706631095E1,2.599999905E-1,NaN,6.204686089E0,8.000000000E0
2.128360617E1,5.238100725E1,4.860874861E0,2.561989982E1,2.700000107E-1,NaN,5.818578068E0,8.000000000E0
2.228359258E1,5.238101693E1,4.860885339E0,2.479787833E1,2.399999946E-1,NaN,5.697653992E0,8.000000000E0
2.328357935E1,5.238102766E1,4.860894643E0,2.363943107E1,0.000000000E0,NaN,5.195448914E0,6.000000000E0
2.428356671E1,5.238103860E1,4.860900678E0,2.253298576E1,0.000000000E0,NaN,5.097807218E0,6.000000000E0
2.528355241E1,5.238104593E1,4.860902354E0,2.244240958E1,0.000000000E0,NaN,4.779264498E0,6.000000000E0
2.628353941E1,5.238105414E1,4.860903025E0,2.325893790E1,0.000000000E0,NaN,4.673842845E0,6.000126559E0
2.728352571E1,5.238107129E1,4.860902354E0,2.324563224E1,0.000000000E0,NaN,4.649251417E0,6.000177265E0
2.828351378E1,5.238107979E1,4.860901767E0,2.323153312E1,0.000000000E0,NaN,4.621642791E0,6.000233873E0
2.928350067E1,5.238108403E1,4.860901432E0,2.324520499E1,0.000000000E0,NaN,4.584071849E0,6.000310365E0
3.028348815E1,5.238108608E1,4.860901348E0,2.326412589E1,0.000000000E0,NaN,4.538579715E0,6.000402146E0
3.128347540E1,5.238108713E1,4.860901181E0,2.326217277E1,0.000000000E0,NaN,4.472602437E0,6.000533629E0
3.228346312E1,5.238108767E1,4.860901181E0,2.327273185E1,0.000000000E0,NaN,4.424463423E0,6.000628346E0
3.328345001E1,5.238108797E1,4.860901181E0,2.327035148E1,0.000000000E0,NaN,4.371558395E0,6.000731256E0
3.428343773E1,5.238108809E1,4.860901097E0,2.326729972E1,0.000000000E0,NaN,4.365912826E0,4.034050612E0
3.528342485E1,5.238108813E1,4.860901097E0,2.327383048E1,0.000000000E0,NaN,4.350753600E0,4.040392420E0
3.628341305E1,5.238104500E1,4.860866761E0,3.339606278E1,2.089902601E-1,3.892324017E1,5.964608936E0,5.997342494E0
3.728340030E1,5.238105085E1,4.860853071E0,3.331655260E1,1.692204872E-1,3.356161916E2,5.866604952E0,5.930860996E0
3.828338885E1,5.238105883E1,4.860834935E0,3.453192666E1,3.230562738E-1,NaN,5.931531810E0,5.996149933E0
3.928337729E1,5.238105673E1,4.860809898E0,3.447015340E1,2.966901955E-1,NaN,6.029145097E0,6.079788093E0
4.028336477E1,5.238104205E1,4.860794047E0,3.338391198E1,1.658924701E-1,NaN,5.631805796E0,5.543499467E0
4.128335333E1,5.238104472E1,4.860790965E0,3.490731754E1,2.364050519E-1,NaN,5.458800253E0,5.270932495E0
4.228334057E1,5.238104436E1,4.860784080E0,3.308782404E1,1.446692611E-1,NaN,5.349037579E0,5.026537615E0
4.328332925E1,5.238108797E1,4.860901013E0,2.333803947E1,0.000000000E0,NaN,4.388953124E0,4.024350271E0
4.428331733E1,5.238105032E1,4.860772526E0,3.203841945E1,3.660868403E-1,3.411943556E2,5.127601642E0,4.776720173E0
4.528330493E1,5.238105211E1,4.860793771E0,3.139153941E1,2.586790912E-1,NaN,5.036325779E0,4.598069639E0
4.628329384E1,5.238105399E1,4.860791345E0,3.097976571E1,2.252851621E-1,NaN,4.936680845E0,4.512573702E0
4.728328288E1,5.238105538E1,4.860791660E0,3.107733200E1,1.144168209E-1,NaN,4.910304820E0,4.509511458E0
4.828326988E1,5.238106474E1,4.860802747E0,3.109726158E1,3.048802311E-1,NaN,4.955089520E0,4.438096955E0
