"Time (s)","Distance (cm)"
3.987875069E-3,5.000000000E0
2.968274988E-2,0.000000000E0
2.971029165E-2,5.000000000E0
1.233428625E0,0.000000000E0
6.646698292E0,5.000000000E0
7.080157125E0,0.000000000E0
7.296818958E0,5.000000000E0
8.280237292E0,0.000000000E0
8.496893833E0,5.000000000E0
9.247055542E0,0.000000000E0
1.059715300E1,5.000000000E0
1.511995650E1,0.000000000E0
1.511996758E1,5.000000000E0
3.726221075E1,0.000000000E0
4.014573083E1,5.000000000E0
4.107810863E1,0.000000000E0
4.272811371E1,5.000000000E0
4.599290862E1,0.000000000E0
4.808467150E1,5.000000000E0
4.901221329E1,0.000000000E0
5.226726387E1,5.000000000E0
5.282881654E1,0.000000000E0
5.974587233E1,5.000000000E0
5.977922783E1,0.000000000E0
6.012370675E1,5.000000000E0
6.022377254E1,0.000000000E0
6.125714567E1,5.000000000E0
6.163928479E1,0.000000000E0
6.263928296E1,5.000000000E0
6.278922562E1,0.000000000E0
6.628273175E1,5.000000000E0
6.640549342E1,0.000000000E0
6.940058146E1,5.000000000E0
