"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.449104309E-2,5.238049360E1,4.860599378E0,-2.138156414E0,NaN,NaN,7.967769367E2,4.689662170E1
5.922660828E-1,5.238129865E1,4.860444602E0,1.932380438E0,NaN,NaN,2.616644180E1,2.528072548E1
3.798039675E0,5.238115749E1,4.860718958E0,-3.491733551E0,1.599999964E-1,NaN,2.072965924E1,3.200000000E1
4.798029780E0,5.238117019E1,4.860745026E0,-5.082614899E0,1.599999964E-1,NaN,1.661608856E1,3.200000000E1
5.798017979E0,5.238119546E1,4.860776206E0,1.250814438E1,1.599999964E-1,8.085937500E0,1.479379406E1,3.200000000E1
6.798007369E0,5.238121135E1,4.860794563E0,5.037868500E0,2.199999988E-1,NaN,1.559868392E1,3.200000000E1
7.800749302E0,5.238122182E1,4.860803196E0,1.090121078E1,2.599999905E-1,NaN,1.644211858E1,3.200000000E1
8.800755620E0,5.238123394E1,4.860803615E0,3.123012543E0,2.599999905E-1,NaN,1.566634139E1,3.200000000E1
9.800741792E0,5.238124035E1,4.860791126E0,1.011251450E1,4.199999869E-1,2.766796875E2,1.336791030E1,2.400000000E1
1.080074584E1,5.238123733E1,4.860774111E0,1.472420883E1,8.500000238E-1,2.471484375E2,1.406492251E1,2.400000000E1
1.180075550E1,5.238123519E1,4.860757515E0,1.593661118E1,8.500000238E-1,2.348437500E2,1.432059988E1,2.400000000E1
1.280074322E1,5.238122539E1,4.860742427E0,1.824715805E1,8.500000238E-1,2.250000000E2,1.463635250E1,2.400000000E1
1.380074799E1,5.238122987E1,4.860736812E0,2.291360092E1,1.800000072E-1,2.264062500E2,1.150121358E1,2.400000000E1
1.480074847E1,5.238122987E1,4.860736812E0,2.291360099E1,1.800000072E-1,NaN,1.150121358E1,2.400000000E1
1.580073345E1,5.238122583E1,4.860730105E0,2.456966792E1,6.700000167E-1,2.130468707E2,1.025749603E1,1.600000000E1
1.680073321E1,5.238121311E1,4.860719171E0,2.636831304E1,1.340000033E0,2.042578061E2,9.833979853E0,1.600000000E1
1.780073905E1,5.238119955E1,4.860711825E0,2.964571783E1,1.340000033E0,1.996874947E2,9.745930934E0,1.600000000E1
1.880072320E1,5.238119714E1,4.860709361E0,3.507180426E1,1.340000033E0,2.010937444E2,9.489052173E0,1.600000000E1
1.980073082E1,5.238119950E1,4.860713719E0,3.041067138E1,1.009999990E0,1.982812463E2,9.714006395E0,1.200000000E1
2.080072808E1,5.238120732E1,4.860721724E0,2.855294425E1,3.700000048E-1,NaN,7.797178132E0,1.200000000E1
2.180071211E1,5.238120376E1,4.860725412E0,2.649209220E1,3.700000048E-1,NaN,7.357996473E0,1.200000000E1
2.280069339E1,5.238120041E1,4.860728513E0,2.680392081E1,3.400000036E-1,NaN,8.501766886E0,1.200000000E1
2.380067623E1,5.238119685E1,4.860729771E0,2.703322990E1,3.400000036E-1,NaN,9.677598300E0,1.200000000E1
2.480066049E1,5.238118834E1,4.860733710E0,2.636812980E1,3.799999952E-1,NaN,1.136472978E1,1.200000000E1
2.580064332E1,5.238118364E1,4.860742008E0,2.694655997E1,3.799999952E-1,NaN,1.157811849E1,1.200000000E1
2.680062735E1,5.238118385E1,4.860752486E0,2.830202872E1,3.799999952E-1,NaN,9.678049672E0,1.200000000E1
2.780061162E1,5.238118473E1,4.860762544E0,2.929018790E1,3.000000119E-1,NaN,9.448402273E0,1.200000000E1
2.880059564E1,5.238118566E1,4.860771345E0,3.024020011E1,3.000000119E-1,NaN,9.616518501E0,1.200000000E1
2.980058062E1,5.238117166E1,4.860749049E0,2.250698478E1,3.100000024E-1,NaN,1.005622242E1,1.200000000E1
3.080056620E1,5.238114421E1,4.860717702E0,2.213631837E1,1.120000005E0,2.214843664E2,9.854593943E0,1.200000000E1
3.180055034E1,5.238111795E1,4.860704002E0,2.277621101E1,1.419999957E0,2.169140526E2,8.100117107E0,1.200000000E1
3.280053651E1,5.238109645E1,4.860696810E0,2.217928712E1,1.120000005E0,2.000390580E2,8.153764560E0,1.200000000E1
3.380052161E1,5.238107474E1,4.860687931E0,2.306533448E1,1.110000014E0,1.961718714E2,7.424065323E0,1.200000000E1
3.480050778E1,5.238104047E1,4.860701799E0,3.923352761E-1,1.122084124E0,NaN,1.173297018E1,1.191909461E0
3.580049276E1,5.238103491E1,4.860725806E0,4.827739671E-1,6.137835540E-1,NaN,1.171103375E1,1.263776970E0
3.680048072E1,5.238102813E1,4.860748788E0,5.150284544E-1,4.876292292E-1,NaN,1.150381284E1,1.314030450E0
3.780046606E1,5.238105966E1,4.860747891E0,-6.976357074E-1,6.062385741E-1,NaN,1.059652638E1,1.202156933E0
3.880045307E1,5.238104801E1,4.860779250E0,-1.187528843E0,4.842358588E-1,1.261609515E2,9.663665704E0,1.188187655E0
3.980043876E1,5.238103824E1,4.860762281E0,-5.111749163E-1,3.284673051E0,2.039867258E2,8.313051978E0,1.180527815E0
4.080042672E1,5.238103876E1,4.860746117E0,1.422110246E-1,2.065335867E0,2.071162578E2,8.180205904E0,1.139541100E0
4.180041373E1,5.238103081E1,4.860740864E0,7.700372208E-1,1.443885723E0,1.937579057E2,8.581076262E0,1.100799071E0
4.280040050E1,5.238105389E1,4.860743896E0,9.591981955E-1,8.258523319E-1,NaN,9.204864964E0,1.132664365E0
4.380038774E1,5.238104451E1,4.860743086E0,1.291377412E0,7.115527334E-1,NaN,1.040553420E1,1.178552436E0
