"Time (s)","X (hPa)"
-5.389783750E-1,1.019417877E3
4.859866248E-1,1.019542847E3
1.511044625E0,1.019667816E3
2.536197625E0,1.019736023E3
3.561475625E0,1.019736023E3
4.586842625E0,1.019831467E3
4.735919625E0,1.019738007E3
5.685425625E0,1.019738007E3
6.634998625E0,1.019738007E3
7.584620625E0,1.019761124E3
8.534438625E0,1.019761124E3
9.484188625E0,1.019677811E3
1.043397662E1,1.019677811E3
1.138373962E1,1.019677811E3
1.233345662E1,1.019623032E3
1.328300162E1,1.019623032E3
1.423255463E1,1.019660034E3
1.518223362E1,1.019660034E3
1.613197862E1,1.019660034E3
1.708163462E1,1.019689560E3
1.803141262E1,1.019692307E3
1.898117663E1,1.019692307E3
1.993078663E1,1.019715958E3
2.088041362E1,1.019715958E3
2.182998762E1,1.019595413E3
2.277958363E1,1.019590378E3
2.372899862E1,1.019590378E3
2.467846063E1,1.019590378E3
2.562808462E1,1.019629440E3
2.657782862E1,1.019685440E3
2.752750463E1,1.019686279E3
2.847727662E1,1.019686279E3
2.942713562E1,1.019600220E3
3.037718763E1,1.019600220E3
3.132712462E1,1.019515152E3
3.227700762E1,1.019624557E3
3.322691562E1,1.019624557E3
3.417686462E1,1.019633713E3
3.512692162E1,1.019633713E3
3.607696662E1,1.019284363E3
3.702704162E1,1.019284363E3
3.797709162E1,1.019306564E3
3.892709762E1,1.019382935E3
3.987708462E1,1.019487381E3
4.082704662E1,1.019492111E3
4.177707863E1,1.019549103E3
4.272706562E1,1.019571991E3
4.367700962E1,1.019571991E3
4.462708662E1,1.019507370E3
4.557710363E1,1.019507370E3
4.652722362E1,1.019679413E3
4.747726162E1,1.019679413E3
4.842711162E1,1.019742584E3
4.937695662E1,1.019801865E3
5.032684562E1,1.019827347E3
5.127680063E1,1.019827347E3
5.222660162E1,1.019753265E3
5.317633862E1,1.019713898E3
5.412600562E1,1.019716339E3
5.507573662E1,1.019713898E3
5.602549062E1,1.019716339E3
5.697495162E1,1.019810257E3
5.792450662E1,1.019810257E3
5.887398462E1,1.019810257E3
5.982351562E1,1.019815369E3
6.077300563E1,1.019854050E3
6.172254762E1,1.019865952E3
6.267196762E1,1.019854050E3
6.362152262E1,1.019865952E3
6.457121562E1,1.019848938E3
6.552076862E1,1.020137558E3
6.647028862E1,1.019912262E3
6.741987862E1,1.019912262E3
6.836927062E1,1.019824524E3
6.931875762E1,1.019824524E3
7.026810962E1,1.019568939E3
7.121757862E1,1.019691925E3
