"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.638083469E-3,1.131922913E1,1.288552856E1,-4.331567383E1
1.860808348E-2,1.115718079E1,1.292315674E1,-4.323385620E1
2.857808350E-2,1.117558289E1,1.281932068E1,-4.319448853E1
3.854808351E-2,1.133886719E1,1.270447540E1,-4.328225708E1
4.851808352E-2,1.141893005E1,1.282287598E1,-4.319924927E1
5.848808330E-2,1.126490784E1,1.282160950E1,-4.282824707E1
6.845808332E-2,1.120002747E1,1.271746826E1,-4.303500366E1
7.842808333E-2,1.123538208E1,1.276092529E1,-4.320852661E1
8.839708334E-2,1.114945984E1,1.249214172E1,-4.302749634E1
9.836708335E-2,1.116284180E1,1.250354767E1,-4.337493896E1
1.083370834E-1,1.095140076E1,1.223853302E1,-4.372677612E1
1.183070834E-1,1.070010376E1,1.237036133E1,-4.356228638E1
1.282770834E-1,1.075869751E1,1.223273468E1,-4.401190186E1
1.382470834E-1,1.077659607E1,1.228852081E1,-4.354415894E1
1.482170834E-1,1.078804016E1,1.231382751E1,-4.347061157E1
1.581870834E-1,1.074888611E1,1.216042328E1,-4.354986572E1
1.681570834E-1,1.095851135E1,1.213704681E1,-4.375109863E1
1.781270835E-1,1.126234436E1,1.194351196E1,-4.397360229E1
1.880970835E-1,1.102015686E1,1.199163055E1,-4.367782593E1
1.980670835E-1,1.106056213E1,1.172207642E1,-4.372131348E1
2.080370835E-1,1.118342590E1,1.193778992E1,-4.345352173E1
2.180070835E-1,1.131257629E1,1.203884888E1,-4.351754761E1
2.279760835E-1,1.121415710E1,1.199728394E1,-4.344458008E1
2.379460833E-1,1.095747375E1,1.185941315E1,-4.371768188E1
2.479160833E-1,1.074491882E1,1.185882568E1,-4.389096069E1
2.578860833E-1,1.055375671E1,1.220941162E1,-4.392004395E1
2.678560833E-1,1.038113403E1,1.218538666E1,-4.404226685E1
2.778260834E-1,1.019168091E1,1.201187897E1,-4.414273071E1
2.877960834E-1,9.887054443E0,1.218562317E1,-4.399688721E1
2.977660834E-1,9.599548340E0,1.212950134E1,-4.427496338E1
3.077360834E-1,9.566696167E0,1.203804779E1,-4.433666992E1
3.177060834E-1,9.115707397E0,1.230166626E1,-4.387792969E1
3.276760834E-1,8.612823486E0,1.240412140E1,-4.427325439E1
3.376460834E-1,8.173461914E0,1.249475861E1,-4.413787842E1
3.476160835E-1,7.814971924E0,1.273813629E1,-4.423773193E1
3.575860835E-1,7.114379883E0,1.271298981E1,-4.404312134E1
3.675550835E-1,6.685638428E0,1.285742188E1,-4.454873657E1
3.775250835E-1,5.985565186E0,1.321220398E1,-4.424465942E1
3.874950835E-1,5.354232788E0,1.336001587E1,-4.456198120E1
3.974650835E-1,4.286346436E0,1.355178833E1,-4.420623779E1
4.074350833E-1,3.365097046E0,1.347903442E1,-4.412045288E1
4.174050833E-1,2.053634644E0,1.398005676E1,-4.402465820E1
4.273750833E-1,1.217391968E0,1.398382568E1,-4.399432373E1
4.373450833E-1,3.379821777E-2,1.408946991E1,-4.419537354E1
4.473150834E-1,-1.285446167E0,1.427869415E1,-4.394204712E1
4.572850834E-1,-2.454086304E0,1.437836456E1,-4.378347778E1
