"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.130058337E-2,-1.610893384E-2,2.768420875E-1,-9.782908857E-2
2.127058338E-2,-2.595360577E-2,2.399287671E-1,-3.526977077E-2
3.124158317E-2,-5.924445018E-2,1.974095255E-1,1.936231740E-2
4.121158319E-2,-6.842807680E-2,8.491746336E-2,2.998473123E-2
5.118158320E-2,-5.755199492E-2,-6.320116669E-2,3.139966726E-2
6.115158321E-2,-5.378156528E-2,-1.596693397E-1,5.908620358E-2
7.112158323E-2,-5.418210477E-2,-1.841746718E-1,7.582417130E-2
8.109158324E-2,-5.843805149E-2,-2.005452514E-1,7.330700755E-2
9.106258326E-2,-5.635519326E-2,-1.592502743E-1,7.329209149E-2
1.010325833E-1,-5.738905817E-2,-1.203186586E-1,7.142212987E-2
1.110025833E-1,-6.010494754E-2,-1.079285666E-1,5.600135773E-2
1.209725833E-1,-6.763819605E-2,-7.686949521E-2,3.909933567E-2
1.309425833E-1,-6.076643616E-2,-4.675899819E-2,1.930112764E-2
1.409125833E-1,-5.564120039E-2,-4.394605383E-2,4.273346625E-3
1.508835834E-1,-5.146855861E-2,-5.080662295E-2,3.615013091E-3
1.608535834E-1,-4.191151634E-2,-7.929891348E-2,8.024038747E-3
1.708235834E-1,-3.774153814E-2,-9.807179868E-2,-1.750828116E-3
1.807935834E-1,-3.575612977E-2,-1.310730428E-1,-1.081636548E-2
1.907635832E-1,-5.209036171E-2,-1.848132312E-1,-5.035707727E-3
2.007335832E-1,-6.774102896E-2,-2.140523493E-1,1.464007143E-2
2.107045832E-1,-6.892320514E-2,-2.094932795E-1,4.351139814E-2
2.206745832E-1,-5.720634386E-2,-1.848378778E-1,4.870362952E-2
2.306445832E-1,-5.774670094E-2,-1.310335100E-1,4.195997119E-2
2.406145833E-1,-6.817106903E-2,-7.463316619E-2,3.797484562E-2
2.505845833E-1,-6.449670345E-2,-5.631434917E-2,4.475099221E-2
2.605545833E-1,-5.729025975E-2,-1.044536382E-1,5.246385187E-2
2.705255833E-1,-6.521129608E-2,-1.688430011E-1,6.646542251E-2
2.804955833E-1,-8.605495095E-2,-2.104978263E-1,8.308984339E-2
2.904655833E-1,-9.800002724E-2,-2.900315523E-1,9.480749071E-2
3.004355833E-1,-1.021887437E-1,-3.556441367E-1,1.072842926E-1
3.104055834E-1,-9.697241336E-2,-3.563781083E-1,1.269679815E-1
3.203755834E-1,-8.480359614E-2,-3.491820097E-1,1.427490562E-1
3.303455834E-1,-6.388472766E-2,-3.551568091E-1,1.367604136E-1
3.403165834E-1,-4.739736021E-2,-3.430024385E-1,1.277198046E-1
3.502865832E-1,-4.773238674E-2,-2.977175117E-1,1.281930506E-1
3.602565832E-1,-7.460822910E-2,-2.790946662E-1,1.334315985E-1
3.702265832E-1,-9.756521136E-2,-3.008750379E-1,1.439577490E-1
3.801965832E-1,-1.011394411E-1,-2.742511630E-1,1.759193987E-1
3.901665832E-1,-9.418379515E-2,-2.591451705E-1,1.847347319E-1
4.001375833E-1,-9.525305778E-2,-2.782499194E-1,1.673302054E-1
4.101075833E-1,-1.237872317E-1,-2.573283911E-1,1.599386036E-1
4.200775833E-1,-1.668484509E-1,-2.400062978E-1,1.714199781E-1
4.300475833E-1,-2.026346773E-1,-2.963281572E-1,1.885949671E-1
4.400175833E-1,-1.961184442E-1,-3.157635927E-1,2.165673971E-1
4.499875833E-1,-1.743859798E-1,-3.392170072E-1,2.514478862E-1
4.599585833E-1,-1.543205976E-1,-3.982359469E-1,2.626398802E-1
4.699285834E-1,-1.574860364E-1,-4.407597184E-1,2.548037767E-1
4.798985834E-1,-1.892993450E-1,-4.437795579E-1,2.596329749E-1
4.898685834E-1,-1.863347143E-1,-4.254929721E-1,2.814114988E-1
4.998385834E-1,-1.795785725E-1,-3.980035484E-1,2.952003181E-1
5.098085832E-1,-1.872956157E-1,-3.851788342E-1,2.956301570E-1
5.197795832E-1,-2.022330761E-1,-3.184777200E-1,2.957558036E-1
5.297495832E-1,-2.080784440E-1,-2.165031284E-1,3.039029539E-1
5.397195832E-1,-1.583529264E-1,-1.085788384E-1,3.141494393E-1
5.496895832E-1,-1.140264720E-1,-2.643230557E-2,3.431336880E-1
5.596595833E-1,-1.017524824E-1,5.003227387E-3,3.758502305E-1
5.696295833E-1,-9.346099943E-2,3.457789868E-2,4.067567289E-1
5.796005833E-1,-1.250312477E-1,4.748522118E-2,4.393152595E-1
5.895705833E-1,-1.820199639E-1,8.686884493E-2,4.880383313E-1
5.995405833E-1,-2.826746106E-1,1.415810436E-1,5.570455790E-1
6.095105833E-1,-3.930748701E-1,2.221597880E-1,6.365926266E-1
6.194805834E-1,-3.996877968E-1,2.722648978E-1,7.165962458E-1
6.294505834E-1,-3.509719372E-1,2.635417283E-1,7.724469900E-1
6.394215834E-1,-3.382065892E-1,3.235345185E-1,7.900876999E-1
6.493915834E-1,-3.125137389E-1,4.167225063E-1,7.906491160E-1
6.593615832E-1,-2.391766906E-1,4.227991700E-1,7.933939099E-1
6.693315832E-1,-1.803938001E-1,3.665867746E-1,7.912604809E-1
6.793015832E-1,-1.517216712E-1,3.505829275E-1,7.659730315E-1
6.892715832E-1,-1.789628714E-1,3.204881251E-1,7.596389651E-1
6.992425832E-1,-1.871294975E-1,2.827862799E-1,7.940793037E-1
7.092125833E-1,-1.765024215E-1,3.204852045E-1,8.180685043E-1
7.191825833E-1,-1.565275937E-1,3.807197213E-1,8.059959412E-1
7.291525833E-1,-1.443401724E-1,3.943766654E-1,8.093536496E-1
7.391225833E-1,-1.072417572E-1,3.573511839E-1,8.392686844E-1
7.490925833E-1,-5.137130246E-2,2.388349324E-1,8.629745841E-1
7.590635833E-1,4.128004983E-2,6.367018819E-2,8.420363665E-1
7.690335833E-1,1.534010023E-1,-9.257746488E-2,7.876237631E-1
7.790035834E-1,2.658055723E-1,-1.497475505E-1,7.179197669E-1
7.889735834E-1,3.037851751E-1,-9.210742265E-2,6.261685491E-1
7.989435834E-1,2.166889012E-1,1.151039675E-1,5.402793288E-1
8.089135834E-1,9.431052953E-2,4.452720284E-1,4.849560857E-1
8.188845832E-1,-2.905006893E-2,7.843276858E-1,4.318553209E-1
8.288545832E-1,-1.658582538E-1,1.121941686E0,3.425888121E-1
8.388245832E-1,-3.035207093E-1,1.397278547E0,2.573056221E-1
8.487945832E-1,-4.148336351E-1,1.639427304E0,1.655437499E-1
8.587645832E-1,-5.309118629E-1,1.844022036E0,5.533497408E-2
8.687345833E-1,-6.873859167E-1,1.988606691E0,-7.586619258E-2
