"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.130058337E-2,8.018242970E-2,-2.805751348E-1,-5.453627872E-1
2.127058338E-2,4.118400098E-1,-3.334041435E-1,-3.666560894E-1
3.124158317E-2,-3.605793706E-1,-2.372683167E-2,1.085564822E-1
4.121158319E-2,-1.185402375E0,1.513013828E-1,-2.380126673E-1
5.118158320E-2,-1.338217602E0,1.741786140E-1,-1.667228293E-1
6.115158321E-2,-1.227887513E0,-6.039589047E-3,-9.596508801E-2
7.112158323E-2,-9.749865188E-1,-1.300438303E-1,-2.224649209E-1
8.109158324E-2,-6.204039064E-1,2.210148114E-1,-3.386929500E-1
9.106258326E-2,-1.527010600E-1,1.733915788E-1,-3.123383796E-1
1.010325833E-1,-5.521525741E-3,8.577514529E-2,-3.249022919E-1
1.110025833E-1,1.129784390E-2,4.352608860E-2,-2.520465696E-1
1.209725833E-1,1.077695931E-1,-1.076238513E-2,-1.599979466E-1
1.309425833E-1,2.129060389E-1,-7.695988297E-2,-2.047396713E-1
1.409125833E-1,2.536174241E-1,-5.087428451E-2,-1.555265808E-1
1.508835834E-1,2.905371822E-1,-6.789845288E-2,9.412847757E-3
1.608535834E-1,2.349370319E-1,-1.103679496E-1,1.836990505E-1
1.708235834E-1,5.621995524E-2,-8.167039990E-2,2.505058283E-1
1.807935834E-1,-1.311299506E-1,1.621082067E-2,1.500500786E-1
1.907635832E-1,-2.098716263E-1,5.671623766E-2,8.623122811E-2
2.007335832E-1,-1.847094494E-1,3.171178937E-2,6.000880480E-2
2.107045832E-1,-2.078069745E-1,5.445804298E-2,-8.108392417E-2
2.206745832E-1,-1.259427394E-1,1.038962513E-1,-2.843255389E-1
2.306445832E-1,4.105476290E-3,1.756737471E-2,-2.693999362E-1
2.406145833E-1,1.805766374E-3,-1.317208117E-1,-2.221082407E-1
2.505845833E-1,-9.956784993E-2,-1.315927577E-1,-3.206700772E-1
2.605545833E-1,-1.824285968E-1,-9.051489830E-4,-3.272423476E-1
2.705255833E-1,-2.692065395E-1,1.400086552E-1,-1.156789756E-1
2.804955833E-1,-4.748921442E-1,2.246266365E-1,1.578455865E-2
2.904655833E-1,-7.714272541E-1,2.236022043E-1,-1.668719333E-1
3.004355833E-1,-7.793477462E-1,2.138572347E-1,-2.024557489E-1
3.104055834E-1,-5.901214689E-1,1.326142663E-1,-1.504336560E-1
3.203755834E-1,-5.056962995E-1,6.263595879E-2,-1.776670629E-1
3.303455834E-1,-3.156132589E-1,1.012422001E-1,-1.014725804E-1
3.403165834E-1,-8.507464886E-2,1.574251717E-1,-2.298189640E-2
3.502865832E-1,-3.930951521E-2,2.009272867E-1,-5.135258675E-2
3.602565832E-1,-2.048308879E-1,2.074849391E-1,-1.214952010E-1
3.702265832E-1,-2.837802860E-1,2.596882957E-1,-1.788429379E-1
3.801965832E-1,-2.143530786E-1,3.596388459E-1,-3.251168847E-1
3.901665832E-1,-3.060153468E-1,4.145558953E-1,-4.801920605E-1
4.001375833E-1,-3.418251573E-1,4.038531518E-1,-3.460978639E-1
4.101075833E-1,-2.446814167E-1,3.575701010E-1,-2.324028486E-1
4.200775833E-1,-3.723163404E-1,3.526286191E-1,-4.319566244E-1
4.300475833E-1,-5.983403152E-1,2.888401741E-1,-6.687811375E-1
4.400175833E-1,-6.194860397E-1,1.120279741E-1,-6.276009518E-1
4.499875833E-1,-6.063755590E-1,-3.965523183E-2,-4.449970847E-1
4.599585833E-1,-5.570464012E-1,1.590501130E-2,-1.191475439E-1
4.699285834E-1,-3.369422936E-1,2.621686846E-1,2.308685392E-1
4.798985834E-1,-1.557473863E-1,4.882688195E-1,3.048942894E-1
4.898685834E-1,-5.974706881E-2,5.802922994E-1,1.107515270E-1
4.998385834E-1,5.485835798E-2,4.582702643E-1,6.537596405E-2
5.098085832E-1,1.692712652E-1,2.106605619E-1,2.897406453E-1
5.197795832E-1,3.268583317E-1,2.191361010E-2,4.207369870E-1
5.297495832E-1,3.208421315E-1,8.684050798E-2,3.113262266E-1
5.397195832E-1,3.301888327E-1,5.070635247E-1,2.640602589E-1
5.496895832E-1,3.053188703E-1,8.800340223E-1,4.001851934E-1
5.596595833E-1,5.675731435E-2,9.724147671E-1,4.806411266E-1
5.696295833E-1,-2.498853656E-1,9.222158360E-1,2.814264894E-1
5.796005833E-1,-4.857265232E-1,6.815070176E-1,-4.780391157E-2
5.895705833E-1,-5.476364040E-1,2.522798735E-1,-9.588907421E-2
5.995405833E-1,-6.509461796E-1,-4.072351813E-2,-2.357632434E-1
6.095105833E-1,-8.843312873E-1,2.716967225E-2,-4.399889445E-1
6.194805834E-1,-1.047376583E0,3.038675183E-1,-5.807290864E-1
6.294505834E-1,-9.660959005E-1,3.101456738E-1,-6.805369645E-1
6.394215834E-1,-5.446416794E-1,3.083178341E-2,-4.751885980E-1
6.493915834E-1,-3.555671738E-1,2.552485049E-1,-3.760812163E-1
6.593615832E-1,-3.571154069E-1,8.012878150E-1,-3.653574228E-1
6.693315832E-1,-1.294415305E-1,1.192474144E0,-1.072934836E-1
6.793015832E-1,1.399663725E-1,1.263693230E0,1.401589286E-1
6.892715832E-1,1.045157638E-1,1.010655558E0,1.431983113E-2
6.992425832E-1,2.083580380E-1,9.485440940E-1,-7.475548267E-2
7.092125833E-1,4.909345285E-1,7.695929825E-1,-1.947964811E-1
7.191825833E-1,6.003786181E-1,3.884936857E-1,-3.975416672E-1
7.291525833E-1,5.102270511E-1,1.852105558E-2,-2.772527468E-1
7.391225833E-1,1.338241100E-1,-1.520106500E-1,-1.965412903E-1
7.490925833E-1,-3.859820142E-1,-1.983632827E-1,-1.615398574E-1
7.590635833E-1,-7.593372586E-1,-2.595783681E-1,1.632823277E-1
7.690335833E-1,-7.315323595E-1,-4.727362758E-1,6.381253552E-1
7.790035834E-1,-2.169438337E-1,-8.760561615E-1,9.012816346E-1
7.889735834E-1,6.651299898E-1,-1.527468730E0,1.176479670E0
7.989435834E-1,1.599075194E0,-2.132859617E0,1.239876351E0
8.089135834E-1,1.818653491E0,-2.267078944E0,1.437783551E-1
8.188845832E-1,1.393960132E0,-2.013258330E0,-1.272907857E0
8.288545832E-1,1.249159683E0,-1.848322409E0,-1.969475548E0
8.388245832E-1,1.546543078E0,-1.897704484E0,-2.132125207E0
8.487945832E-1,2.005030420E0,-2.000664597E0,-1.931214877E0
8.587645832E-1,2.207253157E0,-2.230873570E0,-1.867240491E0
8.687345833E-1,2.347528738E0,-2.336101232E0,-1.912139506E0
8.787055833E-1,2.413275269E0,-2.076600047E0,-1.685445879E0
8.886757083E-1,2.213983887E0,-1.662728861E0,-1.239201583E0
8.986457083E-1,1.627108500E0,-1.112407050E0,-7.421625245E-1
9.086157084E-1,8.854651355E-1,-5.915996450E-1,5.406511009E-2
9.185857084E-1,4.332305134E-1,-1.960109478E-1,1.061388924E0
9.285557084E-1,2.689519664E-1,-1.007703298E-1,1.958302104E0
9.385267084E-1,2.173706073E-1,-3.049936920E-1,2.768064873E0
9.484967082E-1,4.335659243E-2,-8.174272996E-1,3.502672795E0
9.584667082E-1,-4.937093613E-1,-1.319322470E0,3.779792225E0
9.684367082E-1,-1.044819961E0,-1.742793031E0,3.497436029E0
9.784067082E-1,-1.745778473E0,-1.962166529E0,2.540667241E0
9.883767082E-1,-2.249999520E0,-1.962401587E0,1.266097605E0
9.983477083E-1,-2.380916486E0,-1.742210063E0,-1.706732082E-1
1.008317708E0,-2.132256623E0,-1.603905872E0,-1.648941711E0
1.018287708E0,-1.704251547E0,-1.318892700E0,-2.293138230E0
1.028257708E0,-1.196946386E0,-8.161303872E-1,-1.427048648E0
1.038227708E0,-8.410816258E-1,-1.010819864E-1,-1.009229422E-1
1.048197708E0,-1.004429004E0,8.042535228E-1,8.754965830E-1
1.058168708E0,-2.163511307E0,1.786788651E0,9.184689403E-1
1.068138708E0,-3.650397144E0,2.090290718E0,6.008212888E-1
1.078108708E0,-3.385456002E0,1.025619752E0,3.740259200E-1
1.088078708E0,-9.993397334E-1,-7.850150138E-1,-3.402769607E-1
1.098048708E0,1.221604680E0,-2.302944596E0,-1.686887217E0
1.108018708E0,3.132030366E0,-3.222138591E0,-1.591652446E0
1.117989708E0,4.421563027E0,-3.291324601E0,-5.761705971E-1
1.127959708E0,4.016062130E0,-2.306375157E0,-1.774208951E-1
1.137929708E0,2.914906585E0,-8.541793889E-1,1.094078368E-1
1.147899708E0,1.832740603E0,2.533861667E-1,6.626275277E-1
1.157869708E0,7.680479289E-1,4.597420084E-1,1.463672683E0
1.167839708E0,2.753766677E-1,-1.749627256E-1,2.247380844E0
1.177810708E0,-7.764247231E-2,-5.018811375E-1,2.160778903E0
1.187780708E0,-6.866537368E-1,-1.356928253E-1,9.246693277E-1
1.197750708E0,-5.520765603E-1,3.838428104E-1,2.343756992E-1
1.207720708E0,-3.359700479E-1,7.223316926E-1,4.295417243E-1
1.217690708E0,-6.420754418E-1,8.248439080E-1,6.393176025E-1
1.227660708E0,-8.220058887E-1,9.010161710E-1,4.187126809E-1
1.237631708E0,-9.362998051E-1,1.160620267E0,-4.217333525E-1
1.247601708E0,-1.040770911E0,1.168652587E0,-9.348428982E-1
1.257571708E0,-1.031713939E0,5.128978765E-1,-6.649044335E-1
1.267541708E0,-5.331901999E-1,-1.869822621E-1,1.886615825E-1
1.277511708E0,-3.120778862E-1,3.526455760E-2,3.447091502E-1
1.287481708E0,-4.959325457E-1,9.553911835E-1,-1.126875401E-2
1.297452708E0,-6.242879194E-1,1.586567708E0,-1.673765481E-2
1.307422708E0,-1.161807836E0,1.683860114E0,-1.001032795E0
1.317392708E0,-1.593070835E0,1.433646061E0,-2.242187347E0
1.327362708E0,-1.555312147E0,9.777415806E-1,-2.378196507E0
1.337332708E0,-1.381517403E0,5.230708623E-1,-1.924719790E0
1.347302708E0,-1.157492299E0,4.772924262E-1,-1.681842239E0
1.357273708E0,-6.930179194E-1,6.175449103E-1,-1.431618832E0
1.367243708E0,-1.194907755E-1,6.081209528E-1,-1.297806471E0
1.377213708E0,4.116150382E-1,6.345339954E-1,-1.159807504E0
1.387183708E0,5.765453305E-1,4.960374302E-1,-5.288122433E-1
1.397153708E0,2.457320152E-1,2.014050043E-1,-4.486995417E-1
1.407123708E0,-7.562942214E-2,-1.900690073E-1,-6.825372970E-1
1.417094708E0,-6.241756529E-3,-5.106455290E-1,-6.641536510E-1
1.427064708E0,4.667832255E-3,-4.024018729E-1,-4.787267482E-1
1.437034708E0,-1.484232371E-1,8.821109533E-3,-4.913450396E-1
1.447004708E0,-1.149428111E-1,2.866615015E-1,-6.332780135E-1
1.456974708E0,2.048568349E-1,3.772331178E-2,-8.820665145E-1
1.466944708E0,5.283787454E-1,-3.023881727E-1,-1.693168296E0
1.476915708E0,6.114356663E-1,-2.768627375E-1,-2.196591929E0
1.486885708E0,4.953215848E-1,-9.085696042E-2,-1.941287876E0
1.496855708E0,-9.971987754E-2,4.611991346E-1,-1.888385192E0
1.506825708E0,-6.945786144E-1,1.025191151E0,-2.002449167E0
1.516795708E0,-7.498821647E-1,1.147157637E0,-1.783804817E0
1.526765708E0,-7.429406427E-1,8.267185253E-1,-1.315156914E0
1.536736708E0,-5.389331158E-1,4.388364583E-1,-8.171934110E-1
1.546706708E0,-7.201693922E-1,5.660958445E-1,-1.205067877E0
1.556676708E0,-8.276303255E-1,6.685741460E-1,-1.366562710E0
1.566646708E0,-5.858416725E-1,5.351833695E-1,-1.041788473E0
1.576616708E0,-4.986354943E-1,6.187827659E-1,-7.159500414E-1
1.586587708E0,-5.028504962E-1,8.410383564E-1,-3.206811869E-1
1.596557708E0,-2.506780288E-1,8.458096844E-1,2.026720959E-1
1.606527708E0,6.661433123E-2,6.437340045E-1,3.789662325E-1
1.616497708E0,2.267704085E-1,3.850403202E-1,1.523187983E-1
1.626467708E0,1.371857291E-1,5.302547514E-2,2.824497521E-1
1.636437708E0,1.399233589E-1,-3.114788389E-1,7.621652645E-1
1.646407708E0,3.339708117E-1,-4.161118394E-1,1.395075488E0
1.656378708E0,3.602156372E-1,-1.135242766E-1,1.791287498E0
1.666348708E0,1.359718837E-2,2.910989535E-1,1.360123172E0
1.676318708E0,-1.338760954E-1,3.646358764E-1,1.212102662E0
1.686288708E0,1.131498355E-1,1.013462806E-1,1.747273167E0
1.696258708E0,2.571391655E-1,-2.180888647E-1,1.828833055E0
1.706229708E0,3.652815918E-1,-5.913640022E-1,1.604429197E0
1.716199708E0,6.326261220E-1,-8.748463726E-1,1.507839042E0
1.726169708E0,8.253629214E-1,-6.981072628E-1,1.364503321E0
1.736139708E0,5.105500001E-1,-1.902917862E-2,6.389521515E-1
1.746109708E0,2.453790627E-1,7.477594793E-1,-3.003597736E-2
1.756079708E0,2.109623513E-1,1.104540791E0,-3.309407115E-2
1.766050708E0,-4.364274055E-2,1.016570016E0,1.455126393E-1
1.776020708E0,-3.942002027E-1,8.848129517E-1,4.398912960E-1
1.785990708E0,-9.550301179E-1,9.938541681E-1,4.879612559E-1
1.795960708E0,-1.719491292E0,1.176531710E0,4.523417723E-1
1.805930708E0,-2.094330998E0,1.153273240E0,8.539302975E-1
1.815900708E0,-2.030964283E0,9.428354573E-1,1.119699113E0
1.825871708E0,-1.797284403E0,8.437590659E-1,8.851140833E-1
1.835841708E0,-1.502997547E0,8.447489995E-1,8.293211210E-1
1.845811708E0,-1.199963842E0,8.900596583E-1,1.046563894E-1
1.855781708E0,-4.504608692E-1,1.116565005E0,-8.463382727E-1
1.865751708E0,4.096648456E-1,1.194824139E0,-1.071547877E0
1.875721708E0,6.613421635E-1,1.037668524E0,-1.222794880E0
1.885692375E0,4.403044749E-1,7.598784184E-1,-1.333807778E0
1.895662375E0,2.743862955E-1,4.982201958E-1,-1.008601431E0
1.905632375E0,1.256391227E-1,5.227200294E-1,-4.342651051E-1
1.915602375E0,-4.343238696E-2,8.746621853E-1,4.352585471E-1
1.925572375E0,-1.018163967E-1,1.332037241E0,1.488471310E0
1.935542375E0,-3.928883068E-1,1.660064870E0,1.720294114E0
1.945513375E0,-8.493161134E-1,1.496096079E0,9.083906794E-1
1.955483375E0,-8.286491297E-1,7.820610005E-1,6.945147336E-2
1.965453375E0,-2.895634747E-1,-1.257917351E-1,-8.577456057E-2
1.975423375E0,4.786612594E-1,-8.615574056E-1,7.017535865E-1
1.985393375E0,1.061265621E0,-1.470545501E0,1.207035465E0
1.995363375E0,1.718003906E0,-2.242125367E0,1.473530504E0
2.005334375E0,2.372297251E0,-3.420309500E0,8.214683104E-1
2.015304375E0,2.226218894E0,-5.015018286E0,-8.999730277E-1
2.025274375E0,1.632076879E0,-6.481864838E0,-2.421919062E0
2.035244375E0,1.388495324E0,-7.659679427E0,-2.513578845E0
2.045214375E0,1.465116068E0,-8.552508911E0,-2.572049248E0
2.055184375E0,1.588137539E0,-8.870134928E0,-2.889598081E0
2.065155375E0,1.466515746E0,-8.471776405E0,-2.375203902E0
2.075125375E0,1.965292304E0,-7.389386621E0,3.552522647E-1
2.085095375E0,3.111927639E0,-5.000828848E0,4.130162650E0
2.095065375E0,2.975772884E0,-1.130073828E0,7.821977084E0
2.105035375E0,-3.574934888E-2,2.599545779E0,9.603720757E0
2.115005375E0,-4.881557343E0,5.350743774E0,7.135636758E0
2.124976375E0,-8.286958782E0,6.777840369E0,2.603093577E0
2.134946375E0,-8.603108962E0,6.813169246E0,-6.546700519E-1
2.144916375E0,-6.726872529E0,5.345012918E0,-1.613998166E0
2.154886375E0,-3.904234423E0,3.045228742E0,-1.409072553E0
2.164856375E0,-1.052188476E0,1.139448084E0,-1.772371171E0
2.174827375E0,6.795095357E-1,3.594523197E-1,-2.832022887E0
2.184797375E0,1.214638453E0,4.311041003E-1,-3.928552701E0
2.194767375E0,8.147394808E-1,9.964129096E-1,-4.969003038E0
2.204737375E0,1.811230780E-1,1.325045140E0,-5.205724640E0
2.214707375E0,3.747494764E-1,7.372882855E-1,-3.730824133E0
2.224677375E0,1.039274608E0,-4.550034249E-1,-1.042554165E0
2.234648375E0,1.046266563E0,-1.275458413E0,1.600099626E0
2.244618375E0,3.203607595E-1,-1.191401764E0,3.595437702E0
2.254588375E0,-4.828360252E-1,-6.465821832E-1,4.633075821E0
2.264558375E0,-1.113186119E0,-1.543857890E-1,4.136460686E0
2.274528375E0,-1.682494350E0,1.158345115E-1,2.318140047E0
2.284498375E0,-1.841703654E0,1.580911696E-2,1.599543849E-1
2.294469375E0,-1.139487772E0,-3.559936917E-1,-1.449175097E0
2.304439375E0,9.397151638E-2,-5.320726508E-1,-2.304053228E0
2.314409375E0,7.614552663E-1,-1.227652162E-1,-2.555539050E0
2.324379375E0,7.109136884E-1,6.279260570E-1,-2.291741915E0
2.334349375E0,2.248053786E-1,1.477715941E0,-1.533592226E0
2.344319375E0,-3.540164557E-1,2.080011898E0,-8.463727713E-2
2.354290375E0,-1.329191401E0,2.371458760E0,1.353010034E0
2.364260375E0,-2.325695527E0,2.166713242E0,1.846498078E0
2.374230375E0,-1.987930530E0,1.103887072E0,1.755714208E0
2.384200375E0,-7.415072709E-1,-1.728027642E-1,9.734564486E-1
2.394170375E0,2.278248442E-1,-9.101027441E-1,-1.288375497E-1
2.404141375E0,5.740279580E-1,-1.197086427E0,-8.900725222E-1
2.414111375E0,6.101792458E-1,-1.202296296E0,-8.055785018E-1
2.424081375E0,6.519044651E-1,-1.046066880E0,-2.478143549E-1
2.434051375E0,7.926958432E-1,-7.137316078E-1,2.061061656E-1
2.444021375E0,7.174671746E-1,-2.159680796E-1,2.474904191E-1
2.453991375E0,7.650026259E-1,-1.674344355E-1,1.800170588E-1
2.463962375E0,1.241334208E0,-5.495347756E-1,2.124483481E-1
2.473932375E0,1.419127425E0,-8.021432626E-1,8.746002048E-2
2.483902375E0,1.361280774E0,-7.063500828E-1,-1.702358365E-2
2.493872375E0,1.322396206E0,-4.111095464E-1,2.863191471E-1
2.503842375E0,9.792766940E-1,1.085190600E-1,6.473616171E-1
2.513812375E0,5.059100883E-1,6.984095639E-1,5.528820142E-1
2.523783375E0,1.463738611E-1,1.004436459E0,3.576174635E-1
2.533753375E0,-1.998720836E-1,7.531377482E-1,1.615948212E-1
2.543723375E0,-4.833385203E-1,1.785628563E-1,-2.744288340E-1
2.553693375E0,-6.331879663E-1,7.750133514E-2,-7.911431882E-1
2.563663375E0,-4.946688893E-1,5.363785404E-1,-6.397023493E-1
2.573633375E0,-1.584846872E-1,9.958609325E-1,6.873343527E-2
2.583604375E0,-1.378697437E-1,1.042196608E0,2.920845017E-1
2.593574375E0,-9.798778608E-2,7.246103525E-1,1.973467442E-1
2.603544375E0,-2.881595582E-2,3.752123201E-1,9.245646626E-2
2.613514375E0,-5.150578380E-2,5.931754696E-1,-4.540889204E-2
2.623484375E0,-1.364171492E-1,1.209747988E0,-2.126310736E-1
2.633454375E0,-4.835859306E-1,1.709462147E0,-6.639449054E-1
2.643425375E0,-9.782896109E-1,1.682233418E0,-9.953370219E-1
2.653395375E0,-1.396922331E0,1.001226922E0,-9.276607633E-1
2.663365375E0,-1.510550981E0,-1.210934973E-1,-4.692378867E-1
2.673335375E0,-1.201555893E0,-1.414261372E0,1.444560474E-1
2.683305375E0,-3.284738443E-1,-2.357284525E0,5.492163947E-1
2.693275375E0,9.527888071E-1,-2.456873717E0,6.579748982E-1
2.703246375E0,2.085357861E0,-1.752901112E0,6.819210005E-1
2.713216375E0,2.620655982E0,-7.235040593E-1,4.593531686E-1
2.723186375E0,2.411774143E0,8.104182422E-2,-2.140531164E-1
2.733156375E0,1.461960911E0,3.776962173E-1,-7.197185719E-1
2.743126375E0,2.985451633E-1,3.995010692E-1,-1.080334780E0
2.753097375E0,-5.540684143E-1,2.299288917E-1,-1.364954726E0
2.763067375E0,-8.989806821E-1,3.783382416E-2,-1.253997670E0
2.773037375E0,-1.053935625E0,4.777175188E-3,-7.886046195E-1
2.783007375E0,-1.252125683E0,1.745920122E-2,-1.906411573E-1
2.792977375E0,-1.237698848E0,-4.221923590E-2,1.884598535E-1
2.802947375E0,-7.447058440E-1,7.206634820E-2,4.916239518E-1
2.812918375E0,1.187057868E-2,4.578901953E-1,2.927005059E-1
2.822888375E0,8.066595789E-1,7.508514869E-1,-5.885409665E-1
2.832858375E0,1.677056001E0,5.628477162E-1,-7.899211201E-1
2.842828375E0,2.322678072E0,-1.311822832E-1,-5.651216984E-2
2.852798375E0,2.303191348E0,-8.354981196E-1,4.176549196E-1
2.862768375E0,1.804031213E0,-1.295231942E0,1.629294482E-1
2.872739375E0,1.437518965E0,-1.351930638E0,-9.331162155E-2
2.882709375E0,1.258602059E0,-8.314202714E-1,-2.222485739E-1
2.892679708E0,7.755903254E-1,-6.592618704E-2,-1.090757149E-1
2.902649708E0,1.233660176E-2,4.514167428E-1,2.424065575E-1
2.912619708E0,-8.066269076E-1,6.850562775E-1,1.941129416E-2
2.922589708E0,-1.180865666E0,8.770156896E-1,-2.939927405E-1
2.932560708E0,-1.220429901E0,1.080311099E0,-4.769260982E-1
2.942530708E0,-1.195284973E0,1.016465936E0,-8.483953232E-1
2.952500708E0,-8.007271401E-1,5.064483976E-1,-5.786813915E-1
2.962470708E0,-2.729140397E-1,4.573107362E-3,1.456482947E-1
2.972440708E0,-1.316341633E-1,5.760735333E-2,3.248499593E-1
2.982411708E0,-1.755303441E-1,8.487736380E-1,-6.137711173E-1
2.992381708E0,4.106109251E-1,1.772667040E0,-1.794669528E0
3.002351708E0,1.230305044E0,2.300154889E0,-2.664275041E0
3.012321708E0,1.630336748E0,2.380183391E0,-2.901366772E0
3.022291708E0,1.729596888E0,1.819034876E0,-1.514315418E0
3.032261708E0,1.528954069E0,4.961280620E-1,5.645036477E-1
3.042232708E0,1.029449459E0,-1.103159679E0,2.203111575E0
3.052202708E0,6.060006794E-1,-2.519616680E0,3.431784661E0
3.062172708E0,7.167624755E-2,-3.420076196E0,3.538051958E0
3.072142708E0,-6.348140039E-1,-3.559541060E0,1.818211003E0
3.082112708E0,-1.139069330E0,-2.984943364E0,-8.686483240E-1
3.092082708E0,-1.126811447E0,-2.445907849E0,-2.735792921E0
3.102053708E0,-5.075662756E-1,-2.329464058E0,-2.678844548E0
3.112023708E0,1.342149781E-1,-2.486675221E0,-8.858976102E-1
3.121993708E0,2.956978434E-1,-2.705817170E0,1.049419674E0
3.131963708E0,3.819870503E-1,-2.549691834E0,2.022673809E0
3.141933708E0,4.517387051E-1,-1.457975741E0,1.932294858E0
3.151904708E0,-1.006008885E-1,5.188754851E-1,1.104468870E0
3.161874708E0,-1.060787684E0,2.676419123E0,2.811621952E-1
3.171844708E0,-2.125030780E0,4.331739562E0,-7.110687858E-1
3.181814708E0,-2.798243523E0,4.763952879E0,-1.618547592E0
3.191784708E0,-2.528430481E0,3.303358170E0,-1.702880521E0
3.201754708E0,-1.838087735E0,5.356809676E-1,-9.838770640E-1
3.211725708E0,-1.781031336E0,-2.080624101E0,-2.061085045E-1
3.221695708E0,-1.850757775E0,-3.951821403E0,3.148784101E-1
3.231665708E0,-9.111662064E-1,-4.530582317E0,1.573337505E0
3.241635708E0,1.654664089E-1,-3.280038890E0,2.395577940E0
3.251605708E0,7.723986228E-1,-6.244639206E-1,1.583708127E0
3.261575708E0,1.202609780E0,2.059541965E0,2.716619316E-1
3.271546708E0,1.393123980E0,3.578982468E0,-7.875933436E-1
3.281516708E0,1.355061676E0,3.680671980E0,-1.281464088E0
3.291486708E0,7.983549247E-1,2.711258004E0,-1.316929790E0
3.301456708E0,-1.574952652E-1,1.144251571E0,-1.265738001E0
3.311426708E0,-8.905266315E-1,-2.629808629E-1,-5.743617609E-1
3.321397708E0,-1.454179144E0,-9.774351865E-1,5.403724810E-1
3.331367708E0,-2.219740033E0,-9.186098582E-1,9.280367392E-1
3.341337708E0,-2.652130082E0,-2.970239371E-1,8.003695098E-1
3.351307708E0,-2.402848953E0,6.322857410E-1,9.933203173E-1
3.361277708E0,-2.003700325E0,1.398158140E0,5.413925278E-1
3.371247708E0,-1.174877387E0,1.304642451E0,-2.868997756E-1
3.381218708E0,3.369276756E-1,3.949724007E-1,-2.916000599E-1
3.391188708E0,1.482419880E0,-7.279783487E-1,-6.509705186E-3
3.401158708E0,1.743556677E0,-1.564924239E0,2.653396297E-1
