"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.965832483E-4,-1.328936462E0,-6.462960205E0,7.195836182E0
1.076658326E-2,-1.359472961E0,-6.437662811E0,7.248227234E0
2.073658328E-2,-1.333127747E0,-6.681206360E0,7.266489258E0
3.070758330E-2,-1.306333466E0,-6.796915741E0,7.247927856E0
4.067758331E-2,-1.307830353E0,-6.673422546E0,7.216493225E0
5.064758332E-2,-1.348096619E0,-6.592890015E0,7.174131317E0
6.061758334E-2,-1.329684906E0,-6.764283600E0,7.059918823E0
7.058758335E-2,-1.390308838E0,-7.097341003E0,6.967710571E0
8.055758337E-2,-1.485061798E0,-6.925648041E0,7.012916565E0
9.052758338E-2,-1.633702698E0,-6.521039429E0,7.092401276E0
1.004985832E-1,-1.718426514E0,-6.446793823E0,7.186555481E0
1.104685832E-1,-1.682201843E0,-6.503076782E0,7.304510193E0
1.204385832E-1,-1.593885498E0,-6.601871338E0,7.367678833E0
1.304085832E-1,-1.490300903E0,-6.678511963E0,7.345674591E0
1.403785832E-1,-1.350341949E0,-6.723867645E0,7.262747040E0
1.503485832E-1,-1.264121246E0,-6.736142120E0,7.164700928E0
1.603195833E-1,-1.237476654E0,-6.702462158E0,7.084318085E0
1.702895833E-1,-1.273401947E0,-6.637946320E0,7.034172363E0
1.802595833E-1,-1.355581055E0,-6.613397369E0,7.021598511E0
1.902295833E-1,-1.414408722E0,-6.587201843E0,7.009623413E0
2.001995833E-1,-1.447040863E0,-6.580914917E0,7.001689911E0
2.101695833E-1,-1.434766388E0,-6.638545074E0,6.957980804E0
2.201405833E-1,-1.438807983E0,-6.748715973E0,6.918313293E0
2.301105834E-1,-1.395997009E0,-6.832841034E0,6.844217377E0
2.400805834E-1,-1.365610199E0,-6.868317261E0,6.735842743E0
2.500505834E-1,-1.407073975E0,-6.860832825E0,6.719676361E0
2.600205832E-1,-1.455573120E0,-6.841822357E0,6.750063171E0
2.699905832E-1,-1.522933044E0,-6.827302551E0,6.728657684E0
2.799605832E-1,-1.659449158E0,-6.782246246E0,6.656507721E0
2.899315832E-1,-1.817969513E0,-6.736291809E0,6.565796356E0
2.999015832E-1,-2.008223877E0,-6.646029510E0,6.453529816E0
3.098715832E-1,-2.198178864E0,-6.514902191E0,6.368656311E0
3.198415833E-1,-2.394720154E0,-6.314319305E0,6.365812225E0
3.298115833E-1,-2.544408875E0,-6.196963348E0,6.427483978E0
3.397815833E-1,-2.611170044E0,-6.181545410E0,6.471791840E0
3.497515833E-1,-2.582579498E0,-6.211333466E0,6.486461334E0
3.597225833E-1,-2.482288055E0,-6.305188293E0,6.506519623E0
3.696925833E-1,-2.364782410E0,-6.381828918E0,6.489006042E0
3.796625833E-1,-2.325264587E0,-6.432723083E0,6.459367676E0
3.896325834E-1,-2.384541321E0,-6.475084991E0,6.464457092E0
3.996025834E-1,-2.411485291E0,-6.545438690E0,6.543492737E0
4.095725834E-1,-2.360142059E0,-6.646478577E0,6.667584686E0
4.195435832E-1,-2.233206024E0,-6.800208893E0,6.823859711E0
4.295135832E-1,-2.023043060E0,-6.925348663E0,6.883136444E0
4.394835832E-1,-1.860780487E0,-6.942562866E0,6.871760101E0
4.494535832E-1,-1.744322662E0,-6.833739166E0,6.863676910E0
4.594235832E-1,-1.644330597E0,-6.730004883E0,6.846462708E0
4.693935832E-1,-1.675166473E0,-6.718478851E0,6.888824615E0
4.793645833E-1,-1.692680054E0,-6.893614655E0,7.051536255E0
4.893345833E-1,-1.546284485E0,-7.131170654E0,7.123985596E0
4.993045833E-1,-1.325343933E0,-7.215595093E0,7.111112366E0
5.092745833E-1,-1.212478638E0,-7.141199799E0,7.058421936E0
5.192445833E-1,-1.259181519E0,-7.023394775E0,6.927294617E0
5.292145833E-1,-1.445543976E0,-6.935527496E0,6.753056946E0
5.391845834E-1,-1.729204102E0,-6.820865936E0,6.519692230E0
5.491555834E-1,-1.997296600E0,-6.629563751E0,6.368806000E0
5.591255834E-1,-2.209555206E0,-6.450985107E0,6.456972656E0
5.690955832E-1,-2.288740540E0,-6.481970673E0,6.704557800E0
5.790655832E-1,-2.122286682E0,-6.691534882E0,6.968908081E0
5.890355832E-1,-1.717827759E0,-6.987469482E0,7.126979370E0
5.990055832E-1,-1.283580780E0,-7.274572449E0,7.190597076E0
6.089765832E-1,-8.940907288E-1,-7.363936615E0,7.296127625E0
6.189465832E-1,-4.757107544E-1,-7.325316925E0,7.473059692E0
6.289165833E-1,-2.200424194E-1,-7.012766876E0,7.686815186E0
6.388865833E-1,-5.598358154E-2,-6.607409821E0,7.964338074E0
6.488565833E-1,4.775070190E-2,-6.394103394E0,8.260422363E0
6.588265833E-1,1.727407837E-1,-6.318211212E0,8.486602020E0
6.687965833E-1,3.131488037E-1,-6.315816193E0,8.617879028E0
6.787675833E-1,5.553451538E-1,-6.375691681E0,8.477171631E0
6.887375833E-1,8.674461365E-1,-6.379284210E0,8.119864655E0
6.987075834E-1,1.217717743E0,-6.319558411E0,7.855214996E0
7.086775834E-1,1.603315887E0,-6.333180084E0,7.867190094E0
7.186475834E-1,1.987566833E0,-6.524332581E0,8.138126678E0
7.286175832E-1,2.244881744E0,-6.655759277E0,8.381969604E0
7.385875832E-1,2.349364471E0,-6.624025269E0,8.458759918E0
7.485585832E-1,2.386038208E0,-6.526428223E0,8.439899139E0
7.585285832E-1,2.464774475E0,-6.362519073E0,8.369246063E0
7.684985832E-1,2.583777008E0,-6.051465912E0,8.361013184E0
7.784685832E-1,2.625689850E0,-5.824687500E0,8.457562408E0
7.884385833E-1,2.709365845E0,-5.684578857E0,8.565188599E0
7.984085833E-1,2.852168884E0,-5.641917572E0,8.626111908E0
8.083795833E-1,2.995870056E0,-5.638325043E0,8.473279724E0
8.183495833E-1,3.123853912E0,-5.530100098E0,8.151448975E0
8.283195833E-1,3.204536133E0,-5.361101532E0,7.908204803E0
8.382895833E-1,3.181933136E0,-5.276228027E0,7.823031921E0
8.482595833E-1,3.140918427E0,-5.246140594E0,7.816595306E0
8.582295834E-1,3.040626984E0,-5.236111450E0,7.915539551E0
8.681995834E-1,2.987487488E0,-5.270988922E0,8.011939087E0
8.781705834E-1,2.941682739E0,-5.264552307E0,8.016579437E0
8.881405832E-1,2.921325073E0,-5.102289734E0,7.960895233E0
8.981105832E-1,2.863245850E0,-4.907544708E0,7.890691223E0
9.080805832E-1,2.892884216E0,-4.739593964E0,7.818541260E0
9.180505832E-1,2.967429199E0,-4.586761780E0,7.724087677E0
9.280205832E-1,3.007096710E0,-4.412973175E0,7.568261719E0
9.379905832E-1,3.041674805E0,-4.266128540E0,7.439529419E0
9.479615833E-1,3.103795624E0,-4.171974335E0,7.288194122E0
9.579315833E-1,3.226240997E0,-4.176914062E0,7.151079254E0
