"Time (s)","X (hPa)"
-5.496846668E-1,1.024950027E3
4.730483333E-1,1.024908905E3
1.495758333E0,1.024950027E3
2.518400333E0,1.024958038E3
3.541062333E0,1.024958038E3
4.563798333E0,1.024988480E3
4.716124333E0,1.025032883E3
5.663162333E0,1.025248260E3
6.610151333E0,1.025283432E3
7.557158333E0,1.025355530E3
8.504274333E0,1.025355530E3
9.451433333E0,1.024987869E3
1.039868633E1,1.024813080E3
1.134588033E1,1.024685364E3
1.229323733E1,1.024544296E3
1.324060033E1,1.024544296E3
1.418791733E1,1.024927139E3
1.513542933E1,1.025147476E3
1.608288233E1,1.025147476E3
1.703040233E1,1.024977036E3
1.797795933E1,1.024912949E3
1.892541533E1,1.024808655E3
1.987280133E1,1.024736938E3
2.082033133E1,1.024736938E3
2.176779433E1,1.024977417E3
2.271540333E1,1.024982529E3
2.366317433E1,1.024982529E3
2.461096833E1,1.024977341E3
2.555872433E1,1.024821930E3
2.650634933E1,1.024523544E3
2.745395233E1,1.024523544E3
2.840173933E1,1.024613419E3
2.934954333E1,1.024640503E3
3.029721633E1,1.024696503E3
3.124498233E1,1.024998856E3
3.219279233E1,1.024998856E3
3.314057433E1,1.024924545E3
3.408840533E1,1.024912033E3
3.503631833E1,1.024753036E3
3.598422833E1,1.024485626E3
3.693212533E1,1.024485626E3
3.788012433E1,1.024489594E3
3.882811233E1,1.024496613E3
3.977604633E1,1.024777679E3
4.072419533E1,1.024883499E3
4.167228133E1,1.024947128E3
4.262039233E1,1.024947128E3
4.356851533E1,1.024756851E3
4.451675833E1,1.024593735E3
4.546510733E1,1.024586868E3
4.641350333E1,1.024593735E3
4.736204633E1,1.024637756E3
4.831054633E1,1.024783707E3
4.925909233E1,1.024830170E3
5.020761233E1,1.025244827E3
5.115605433E1,1.025244827E3
