"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.836094379E-2,5.238039904E1,4.860422390E0,-2.038914680E0,NaN,NaN,9.313838755E2,5.735691071E1
5.020740032E-1,5.238129865E1,4.860444602E0,1.957436562E0,NaN,NaN,2.616644180E1,2.660835266E1
5.163995385E0,5.238116403E1,4.860428693E0,6.324729919E-1,0.000000000E0,NaN,2.582711989E1,4.000000000E0
6.163985133E0,5.238116449E1,4.860428944E0,6.723289490E-1,0.000000000E0,NaN,1.369936375E1,4.000000000E0
7.163974881E0,5.238116562E1,4.860430788E0,6.068992615E-1,0.000000000E0,NaN,1.443968101E1,4.000000000E0
8.163964152E0,5.238116592E1,4.860431543E0,6.091575623E-1,0.000000000E0,NaN,1.450103173E1,4.000000000E0
9.167027593E0,5.238116533E1,4.860432046E0,6.282005310E-1,0.000000000E0,NaN,1.448855285E1,4.000000000E0
1.016703904E1,5.238116525E1,4.860432129E0,6.283226013E-1,0.000000000E0,NaN,1.463833576E1,4.000000000E0
1.116702974E1,5.238116512E1,4.860433051E0,7.029685974E-1,0.000000000E0,NaN,1.249405468E1,4.000000000E0
1.216703475E1,5.238116575E1,4.860432213E0,9.840354919E-1,0.000000000E0,NaN,9.762387295E0,4.000000000E0
1.316704345E1,5.238116671E1,4.860433135E0,1.148586273E0,0.000000000E0,NaN,8.598367089E0,4.000000000E0
1.416703308E1,5.238116826E1,4.860433387E0,1.131252289E0,0.000000000E0,NaN,8.295113991E0,4.000000000E0
1.516703928E1,5.238116935E1,4.860433973E0,1.116970062E0,0.000000000E0,NaN,8.004858625E0,4.000000000E0
1.616704416E1,5.238116935E1,4.860433973E0,1.116970131E0,0.000000000E0,NaN,8.004858625E0,4.000000000E0
1.716703284E1,5.238117057E1,4.860434225E0,1.103176185E0,0.000000000E0,NaN,7.409432306E0,4.000000000E0
1.816703618E1,5.238117149E1,4.860434812E0,1.242946693E0,0.000000000E0,NaN,6.393295108E0,4.000000000E0
1.916703796E1,5.238117237E1,4.860434309E0,1.350185463E0,0.000000000E0,NaN,5.891183767E0,4.000000000E0
2.016702235E1,5.238117287E1,4.860433890E0,1.546474525E0,0.000000000E0,NaN,5.332032096E0,4.000000000E0
2.116702831E1,5.238117292E1,4.860433554E0,1.798244544E0,0.000000000E0,NaN,4.888437836E0,4.000000000E0
2.216702521E1,5.238117334E1,4.860434728E0,2.025478430E0,0.000000000E0,NaN,4.797387299E0,3.287797460E0
2.316701126E1,5.238117334E1,4.860434644E0,2.106044837E0,0.000000000E0,NaN,4.772062140E0,3.324448821E0
2.416699588E1,5.238117342E1,4.860434560E0,2.167934487E0,0.000000000E0,NaN,4.759808562E0,3.341969402E0
2.516698289E1,5.238117350E1,4.860434476E0,2.189235754E0,0.000000000E0,NaN,4.754666214E0,3.349281450E0
2.616696751E1,5.238117329E1,4.860434644E0,2.289333412E0,0.000000000E0,NaN,4.733695888E0,3.378854876E0
2.716695428E1,5.238117329E1,4.860434728E0,2.404201576E0,0.000000000E0,NaN,4.695700055E0,3.431462956E0
2.816694105E1,5.238117334E1,4.860434560E0,2.444118567E0,0.000000000E0,NaN,4.678818977E0,3.454444964E0
2.916692746E1,5.238117308E1,4.860434979E0,2.540126868E0,0.000000000E0,NaN,4.653107264E0,3.489001264E0
3.016691458E1,5.238117484E1,4.860437997E0,2.585475990E0,0.000000000E0,NaN,4.630060741E0,3.519527605E0
3.116690147E1,5.238117899E1,4.860440511E0,2.906398840E0,2.500000000E-1,NaN,4.645062910E0,3.499703930E0
3.216688871E1,5.238118247E1,4.860436823E0,1.503017493E0,1.800000072E-1,NaN,4.673334053E0,3.461861618E0
3.316687477E1,5.238118977E1,4.860427521E0,1.321071703E0,3.700000048E-1,3.466406240E2,4.699617719E0,3.426095494E0
3.416686285E1,5.238119039E1,4.860422155E0,1.424526284E0,2.399999946E-1,NaN,4.731868692E0,3.381413271E0
3.516685033E1,5.238119240E1,4.860415952E0,1.648891516E0,0.000000000E0,NaN,4.503150863E0,4.000744893E0
3.616683733E1,5.238118620E1,4.860399484E0,4.154905193E-1,2.395835975E-1,NaN,5.491652039E0,1.914757143E0
3.716682541E1,5.238118869E1,4.860412813E0,4.009668967E-1,8.599571465E-2,NaN,5.465644119E0,1.987780521E0
3.816681349E1,5.238118298E1,4.860416257E0,4.023356112E-1,2.907792921E-2,NaN,5.420138404E0,2.108704986E0
3.916680181E1,5.238118620E1,4.860412151E0,4.423999619E-1,1.878678339E-1,NaN,5.476501500E0,1.957669112E0
4.016678941E1,5.238118363E1,4.860414270E0,4.480635310E-1,2.234727161E-1,NaN,5.441417246E0,2.053172030E0
4.116677749E1,5.238119064E1,4.860406857E0,4.264757354E-1,1.892680802E-1,NaN,5.341450623E0,2.300748199E0
4.216676497E1,5.238117813E1,4.860413889E0,3.833930166E-1,7.174059715E-2,NaN,5.243024570E0,2.516988356E0
4.316675389E1,5.238117857E1,4.860421160E0,3.799297009E-1,4.324655430E-2,NaN,5.311465563E0,2.369149764E0
4.416674161E1,5.238118491E1,4.860429155E0,3.977244766E-1,2.544823996E-1,NaN,5.382498212E0,2.203009312E0
