"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.270791637E-3,-4.688393325E-2,-1.251567304E-1,3.627519011E-1
1.624079165E-2,-3.400648758E-2,-2.098356634E-1,3.726537824E-1
2.621079166E-2,-1.880848221E-2,-2.915492654E-1,3.852354586E-1
3.618079168E-2,1.237131655E-3,-3.626993597E-1,3.998490274E-1
4.615179147E-2,2.610359900E-2,-4.175601900E-1,3.994961679E-1
5.612179148E-2,4.456596449E-2,-4.471612275E-1,3.938041925E-1
6.609179149E-2,3.421348333E-2,-4.838460386E-1,3.617744148E-1
7.606279152E-2,3.186111152E-2,-4.502835572E-1,3.069574833E-1
8.603279153E-2,9.084077552E-3,-3.781492412E-1,3.152913749E-1
9.600279154E-2,-1.172053628E-2,-2.875583470E-1,3.237333298E-1
1.059727916E-1,-2.319743484E-2,-1.959495544E-1,3.201585114E-1
1.159437916E-1,-3.840834275E-2,-1.354143173E-1,3.116436005E-1
1.259137916E-1,-5.227247253E-2,-8.435910195E-2,3.081939816E-1
1.358837916E-1,-6.181058288E-2,-5.915281549E-2,2.984441519E-1
1.458547916E-1,-6.604333222E-2,-3.858941421E-2,2.903619111E-1
1.558247916E-1,-7.156433165E-2,-3.759898245E-2,2.806115448E-1
1.657947917E-1,-6.728664041E-2,-3.713278845E-2,2.825507224E-1
1.757647917E-1,-5.928970128E-2,-3.773093224E-2,2.920310497E-1
1.857357915E-1,-4.921483994E-2,-2.219417319E-2,2.984064817E-1
1.957057915E-1,-3.552406281E-2,-1.422226802E-2,2.948666215E-1
2.056757915E-1,-3.689331561E-2,-2.403513645E-5,2.810108960E-1
2.156467915E-1,-5.887105316E-2,4.227841645E-2,2.539419830E-1
2.256167915E-1,-8.242686838E-2,1.092104018E-1,2.266439497E-1
2.355867915E-1,-9.602870047E-2,1.686095446E-1,2.050153613E-1
2.455567915E-1,-1.013983116E-1,1.943464279E-1,1.973064840E-1
2.555277916E-1,-9.976312518E-2,1.824924350E-1,1.972127408E-1
2.654977916E-1,-9.100661427E-2,1.302870661E-1,2.037257403E-1
2.754677916E-1,-8.571863919E-2,4.682226107E-2,2.118438482E-1
2.854377916E-1,-7.901144773E-2,-4.342635348E-2,2.255230993E-1
2.954087916E-1,-8.624592423E-2,-1.162060201E-1,2.375411391E-1
3.053787916E-1,-9.067106247E-2,-1.494316459E-1,2.611450255E-1
3.153487917E-1,-9.068011492E-2,-1.562959403E-1,2.972630858E-1
3.253197917E-1,-9.593235701E-2,-1.586828828E-1,3.469249010E-1
3.352897915E-1,-8.194543421E-2,-1.739718169E-1,4.123161435E-1
3.452597915E-1,-5.351252481E-2,-1.918171942E-1,4.878663421E-1
3.552297915E-1,-2.434558421E-2,-2.238867134E-1,5.522440076E-1
3.652007915E-1,-1.620001905E-2,-2.812740803E-1,6.207839251E-1
3.751707915E-1,-2.444063872E-2,-3.836153746E-1,6.943246722E-1
3.851407915E-1,-2.948827296E-2,-5.340135098E-1,7.780977488E-1
3.951117916E-1,-1.720977016E-2,-7.127177119E-1,8.842412233E-1
4.050817916E-1,-7.899886928E-3,-9.074851871E-1,9.946428537E-1
4.150517082E-1,-7.782441564E-3,-1.078703761E0,1.091729999E0
4.250217082E-1,-2.526261099E-2,-1.188208938E0,1.174181700E0
4.349927083E-1,-3.034179285E-2,-1.241236448E0,1.225831389E0
4.449627083E-1,-3.760011867E-2,-1.259023309E0,1.248153448E0
4.549327083E-1,-4.196424037E-2,-1.266655922E0,1.247157216E0
4.649027083E-1,-6.119269133E-2,-1.238630652E0,1.240097761E0
4.748737083E-1,-9.183209389E-2,-1.185515165E0,1.231897831E0
4.848437083E-1,-1.231905445E-1,-1.136085868E0,1.224296093E0
4.948137081E-1,-1.290966421E-1,-1.112323761E0,1.226006150E0
5.047847081E-1,-9.949640185E-2,-1.097151279E0,1.239562988E0
5.147547082E-1,-5.468685552E-2,-1.076841950E0,1.255176544E0
5.247247082E-1,-1.161044929E-3,-1.036128044E0,1.254111767E0
5.346947082E-1,6.208530068E-2,-9.769015312E-1,1.232249379E0
5.446657082E-1,1.188177764E-1,-9.298961759E-1,1.195453763E0
5.546357082E-1,1.553835124E-1,-9.015684128E-1,1.140186787E0
