"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.316374866E-3,-4.477938080E0,-4.022884369E0,7.680528259E0
1.128637488E-2,-4.560416565E0,-4.045487366E0,7.633076935E0
2.125737490E-2,-4.769831085E0,-3.997886353E0,7.632178802E0
3.122737492E-2,-4.887336731E0,-3.873944092E0,7.562723236E0
4.119737493E-2,-4.971761169E0,-3.785478058E0,7.551197205E0
5.116737494E-2,-5.015769653E0,-3.827241211E0,7.612868958E0
6.113737496E-2,-4.908143463E0,-3.950135651E0,7.641010437E0
7.110737497E-2,-4.757257233E0,-4.010909271E0,7.630232849E0
8.107737498E-2,-4.583917694E0,-4.047583008E0,7.593409424E0
9.104737500E-2,-4.405039673E0,-4.145329742E0,7.552843781E0
1.010173750E-1,-4.281097412E0,-4.230053558E0,7.540868683E0
1.109873750E-1,-4.198020172E0,-4.244723053E0,7.552095337E0
1.209573750E-1,-4.211941223E0,-4.180207214E0,7.614964600E0
1.309273748E-1,-4.280348969E0,-4.055366821E0,7.664361877E0
1.408983748E-1,-4.447850647E0,-3.918401642E0,7.738757172E0
1.508683749E-1,-4.693489838E0,-3.767515411E0,7.801476746E0
1.608383749E-1,-4.722379761E0,-3.802542572E0,7.804171143E0
1.708083749E-1,-4.662055206E0,-3.893104248E0,7.776478729E0
1.807783749E-1,-4.524191895E0,-4.071233826E0,7.633076935E0
1.907483749E-1,-4.393513641E0,-4.192631378E0,7.679480438E0
2.007183749E-1,-4.365372162E0,-4.163142700E0,7.580236816E0
2.106883749E-1,-4.330195312E0,-4.200115814E0,7.398664398E0
2.206583750E-1,-4.271667023E0,-4.159550171E0,7.327412567E0
2.306283750E-1,-4.275708618E0,-3.961661682E0,7.157366180E0
2.405983750E-1,-4.629273376E0,-3.844006348E0,7.109316101E0
2.505683750E-1,-5.277425537E0,-3.917353821E0,7.194638672E0
2.605393750E-1,-5.517376556E0,-3.854783936E0,7.343578949E0
2.705093750E-1,-5.488037567E0,-3.748804321E0,7.460036774E0
2.804793748E-1,-5.396278381E0,-3.768563232E0,7.394473114E0
2.904493748E-1,-5.364694061E0,-3.831731873E0,7.260202332E0
3.004193748E-1,-5.367238770E0,-3.935765533E0,7.152426453E0
3.103893748E-1,-5.469476166E0,-4.081412659E0,7.075935516E0
3.203593749E-1,-5.613626404E0,-4.265829163E0,7.108268280E0
3.303293749E-1,-5.719156952E0,-4.386478271E0,7.281907196E0
3.402993749E-1,-5.648803253E0,-4.411476288E0,7.468119965E0
3.502693749E-1,-5.375920715E0,-4.354893951E0,7.470365295E0
3.602393749E-1,-5.022355957E0,-4.171974335E0,7.397466888E0
3.702093749E-1,-4.663402405E0,-4.066294098E0,7.257957001E0
3.801803750E-1,-4.376299438E0,-4.037853241E0,7.172634430E0
3.901503750E-1,-4.155807953E0,-4.067491608E0,7.185657349E0
4.001203750E-1,-4.037853241E0,-4.108057251E0,7.219037933E0
4.100903750E-1,-4.028273163E0,-4.106111298E0,7.297624512E0
4.200603750E-1,-4.064647522E0,-4.162094879E0,7.449857941E0
4.300303750E-1,-4.064198456E0,-4.236190796E0,7.576344910E0
4.400003750E-1,-4.037853241E0,-4.323010254E0,7.616311798E0
4.499703748E-1,-4.054768066E0,-4.355941772E0,7.608228607E0
4.599403748E-1,-4.164938965E0,-4.299509125E0,7.542365570E0
4.699103748E-1,-4.369264069E0,-4.232598267E0,7.491920471E0
4.798803749E-1,-4.603826294E0,-4.128863983E0,7.510930939E0
4.898503749E-1,-4.826413422E0,-4.054019623E0,7.529342651E0
4.998213749E-1,-4.976850586E0,-4.018842773E0,7.611222382E0
5.097913749E-1,-5.019062805E0,-4.021836548E0,7.757617950E0
5.197613749E-1,-4.909041595E0,-4.081412659E0,7.905360718E0
5.297313749E-1,-4.641547852E0,-4.217180328E0,7.977211304E0
5.397013749E-1,-4.269721069E0,-4.324058075E0,7.984845428E0
5.496713750E-1,-3.928580475E0,-4.385879517E0,7.947273560E0
5.596413750E-1,-3.623963928E0,-4.377646637E0,7.923922119E0
5.696113750E-1,-3.457510071E0,-4.314777374E0,7.922574921E0
5.795813750E-1,-3.552113342E0,-4.221970367E0,7.945177917E0
5.895513750E-1,-3.797153778E0,-4.076921997E0,8.039631500E0
5.995213750E-1,-4.072131958E0,-3.921994171E0,8.196056213E0
6.094913748E-1,-4.276007996E0,-3.890709229E0,8.314459991E0
6.194623748E-1,-4.272116089E0,-3.967200165E0,8.519383850E0
6.294323748E-1,-4.216880951E0,-3.983366547E0,8.723559265E0
6.394023749E-1,-4.122876434E0,-3.875291290E0,8.720715179E0
6.493723749E-1,-3.923191681E0,-3.896696777E0,8.688831482E0
6.593423749E-1,-3.628753967E0,-4.051175537E0,8.701704712E0
6.693123749E-1,-3.230581970E0,-4.054169312E0,8.700656891E0
6.792823749E-1,-2.764900360E0,-3.965852966E0,8.651708679E0
6.892523749E-1,-2.416574707E0,-3.995491333E0,8.666677551E0
6.992223749E-1,-2.107617188E0,-3.976331177E0,8.727451172E0
7.091923750E-1,-1.740879822E0,-3.868106232E0,8.835526428E0
7.191623750E-1,-1.468296661E0,-3.934118958E0,8.876990204E0
7.291323750E-1,-1.298250275E0,-4.097728729E0,8.950038300E0
7.391033750E-1,-1.185384979E0,-4.153712311E0,9.081764374E0
7.490733750E-1,-1.053808594E0,-4.074676666E0,9.204509125E0
7.590433750E-1,-1.008602600E0,-3.870650940E0,9.245673523E0
7.690133748E-1,-1.054107971E0,-3.571423187E0,9.263037415E0
7.789833748E-1,-1.209484863E0,-3.484753418E0,9.361382904E0
7.889533748E-1,-1.363813934E0,-3.437451782E0,9.428593140E0
7.989233749E-1,-1.460063782E0,-3.395688629E0,9.312883759E0
8.088932498E-1,-1.441352692E0,-3.486100616E0,9.196126556E0
8.188632498E-1,-1.254092102E0,-3.523522797E0,9.143136749E0
8.288332499E-1,-9.786648560E-1,-3.514242096E0,9.151070251E0
8.388032499E-1,-7.220983887E-1,-3.497926025E0,9.239236908E0
8.487732499E-1,-5.348377991E-1,-3.459456024E0,9.322763214E0
8.587432499E-1,-3.519181824E-1,-3.379372559E0,9.312883759E0
8.687132499E-1,-2.270777893E-1,-3.289110260E0,9.163344727E0
8.786842499E-1,-1.095721436E-1,-3.261567535E0,9.057664490E0
8.886542500E-1,1.481918335E-2,-3.352578278E0,9.062005463E0
8.986242500E-1,1.095721436E-1,-3.493884430E0,9.116641846E0
9.085942500E-1,2.017803955E-1,-3.504811707E0,9.182654572E0
9.185642500E-1,1.685494995E-1,-3.483106842E0,9.202563171E0
