"Time (s)","Distance (cm)"
2.960541518E-3,5.000000000E0
2.070912486E-2,0.000000000E0
2.073195833E-2,5.000000000E0
4.803681667E-1,0.000000000E0
6.137661249E-1,5.000000000E0
1.747144917E0,0.000000000E0
1.793151050E1,5.000000000E0
1.806938262E1,0.000000000E0
2.726363900E1,5.000000000E0
2.729712479E1,0.000000000E0
3.026816508E1,5.000000000E0
3.149210950E1,0.000000000E0
3.227542275E1,5.000000000E0
3.229214446E1,0.000000000E0
3.268428471E1,5.000000000E0
3.885139067E1,0.000000000E0
3.908464004E1,5.000000000E0
4.490179133E1,0.000000000E0
4.688517679E1,5.000000000E0
5.448824633E1,0.000000000E0
5.572157321E1,5.000000000E0
