"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.584208338E-2,3.615099549E-1,4.403731066E-1,-1.558119249E-1
2.581208339E-2,3.198625767E-1,2.443098262E-1,-1.410915595E-1
3.578308341E-2,3.089727223E-1,-2.240974635E-2,-5.598825932E-2
4.575308342E-2,2.972683507E-1,-2.287986249E-1,3.434654474E-3
5.572308344E-2,1.874763519E-1,-3.277899393E-1,3.878984392E-2
6.569408346E-2,4.020194650E-2,-2.515536493E-1,9.333091736E-2
7.566408347E-2,-8.154585421E-2,-1.688731429E-1,1.123799765E-1
8.563408349E-2,-6.337738574E-2,-1.116180843E-1,1.027852803E-1
9.560508351E-2,3.238538861E-2,-9.050437331E-2,1.138172221E-1
1.055750835E-1,1.103802288E-1,-9.926613361E-2,1.155175924E-1
1.155460833E-1,1.876465058E-1,-1.582955298E-1,1.129535884E-1
1.255160833E-1,1.863209420E-1,-1.958814320E-1,1.172700030E-1
1.354860833E-1,1.918570858E-1,-1.414263126E-1,1.094142687E-1
1.454570834E-1,1.591027379E-1,-8.913144708E-2,4.020311594E-2
1.554270834E-1,1.740727794E-1,-8.612305462E-2,-1.060275614E-2
1.653970834E-1,1.612112439E-1,-1.055919439E-1,-1.805152416E-2
1.753680834E-1,1.473913497E-1,-1.159926787E-1,3.942777514E-3
1.853380834E-1,1.445244598E-1,-1.310390264E-1,4.706657767E-2
1.953090834E-1,1.010018796E-1,-1.515250388E-1,1.719841540E-2
2.052790835E-1,3.715320826E-2,-1.102235234E-1,-2.017991066E-2
2.152490835E-1,-5.919838071E-2,-2.085058630E-2,4.452069998E-3
2.252200835E-1,-9.580312014E-2,4.294838369E-2,-2.634346068E-2
2.351900835E-1,-8.503313363E-2,1.399574921E-1,-7.453913569E-2
2.451600835E-1,1.929113388E-2,2.025650918E-1,-1.655469543E-1
2.551310833E-1,1.535964149E-1,1.397007993E-1,-2.824006355E-1
2.651010833E-1,2.446264529E-1,3.502628356E-2,-3.604346520E-1
2.750720833E-1,2.796647233E-1,-7.424472839E-2,-3.741147977E-1
2.850420417E-1,2.594567460E-1,-1.573248920E-1,-3.885352010E-1
2.950120417E-1,1.855099332E-1,-1.303338522E-1,-4.135706395E-1
3.049830417E-1,9.151769578E-2,-5.520034701E-2,-4.047378355E-1
3.149530417E-1,2.208434880E-2,-2.370227337E-2,-4.834355110E-1
3.249230417E-1,-9.267252088E-3,-6.830571145E-2,-5.944735515E-1
3.348940418E-1,-5.924691260E-2,-1.702808601E-1,-7.351733476E-1
3.448640418E-1,-1.227921134E-1,-1.432544446E-1,-8.029683048E-1
3.548350418E-1,-3.049749810E-1,3.532039851E-2,-7.550842863E-1
3.648050418E-1,-3.946806246E-1,9.362941772E-2,-8.353823447E-1
3.747750418E-1,-8.198778677E-1,7.995014906E-2,-9.241231978E-1
3.847460418E-1,-1.396866490E0,2.133765936E-1,-8.704703164E-1
3.947160419E-1,-1.692939085E0,4.377076533E-1,-7.956657171E-1
4.046860416E-1,-1.744767051E0,5.850408232E-1,-7.012986732E-1
4.146570417E-1,-1.595527396E0,5.905810601E-1,-5.813331038E-1
4.246270417E-1,-1.287835799E0,4.692191756E-1,-4.435417128E-1
4.345970417E-1,-9.107184559E-1,2.567646879E-1,-3.196661103E-1
4.445680417E-1,-5.957997000E-1,-1.018965036E-2,-1.967073512E-1
4.545380417E-1,-3.475321859E-1,-2.669581389E-1,3.828873754E-2
4.645090417E-1,-1.617673141E-1,-4.606334165E-1,2.870041484E-1
4.744790418E-1,4.860205650E-2,-5.459384456E-1,4.674357748E-1
4.844490418E-1,1.603072643E-1,-5.761261582E-1,4.094559538E-1
4.944200418E-1,1.869559497E-1,-6.699029258E-1,3.473637861E-1
5.043900418E-1,2.777877671E-1,-7.496130466E-1,3.518567866E-1
5.143600418E-1,4.447006309E-1,-7.274921528E-1,3.129225165E-1
5.243310418E-1,5.316066277E-1,-5.999360204E-1,2.932092136E-1
5.343010419E-1,5.380461663E-1,-4.287079114E-1,2.893085361E-1
5.442710416E-1,4.529612848E-1,-2.090935081E-1,2.168346369E-1
5.542420417E-1,2.819536158E-1,-5.055941194E-2,1.177740330E-1
5.642120417E-1,6.411559671E-2,4.027123600E-2,8.308133304E-2
5.741830417E-1,-1.906434962E-1,8.288369715E-2,1.165630746E-1
5.841530417E-1,-4.033116996E-1,7.198477954E-2,2.136864960E-1
5.941230417E-1,-5.544192472E-1,-7.492622137E-3,3.698036456E-1
6.040940417E-1,-6.817116702E-1,-8.907999158E-2,4.544461852E-1
6.140640418E-1,-7.681437501E-1,-9.382296056E-2,3.749006635E-1
6.240340418E-1,-8.339336970E-1,-6.126741797E-2,1.776115143E-1
6.340050418E-1,-8.542431235E-1,-8.611925393E-2,-2.684456706E-3
6.439750418E-1,-7.855895028E-1,-1.297926924E-1,-1.243188214E-1
6.539450418E-1,-7.125191876E-1,-2.065596172E-1,-1.669233888E-1
6.639160418E-1,-6.056116202E-1,-3.347747308E-1,-1.200176096E-1
6.738860419E-1,-4.623691624E-1,-4.449555695E-1,3.113116086E-2
6.838570416E-1,-2.666540837E-1,-5.083931816E-1,1.451395869E-1
6.938270417E-1,-1.021224985E-1,-4.235132450E-1,1.467545879E-1
7.037970417E-1,-6.219215512E-2,-3.116282353E-1,3.484297335E-2
7.137680417E-1,-1.462052420E-1,-1.148814154E-1,-1.030419731E-1
7.237380417E-1,-1.547117713E-1,1.184353530E-3,-2.172100282E-1
7.337080417E-1,-1.267074090E-1,1.062672973E-2,-2.680942529E-1
7.436790417E-1,-6.163345367E-2,-4.036917686E-2,-1.992415345E-1
7.536490418E-1,1.210519820E-2,-2.957039282E-1,8.257964194E-2
7.636190418E-1,8.914372623E-2,-4.664157280E-1,4.799704510E-1
7.735900418E-1,-1.188937747E-1,-4.165120813E-1,7.861727625E-1
7.835600418E-1,-5.256439295E-1,-3.000951871E-1,8.808432770E-1
7.935310418E-1,-8.686062241E-1,-1.325490698E-1,6.656499535E-1
8.035010418E-1,-9.646306613E-1,4.834536374E-2,1.360237777E-1
8.134710419E-1,-8.855134481E-1,2.068151405E-1,-3.255975258E-1
