"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.544404170E-2,9.526458740E0,2.732556152E1,-4.122445679E1
2.541504172E-2,9.506851196E0,2.738481903E1,-4.139416504E1
3.538604174E-2,9.498123169E0,2.738283539E1,-4.144366455E1
4.535704176E-2,9.570159912E0,2.751629639E1,-4.133078003E1
5.532804178E-2,9.510848999E0,2.758920288E1,-4.107299805E1
6.529804179E-2,9.689971924E0,2.762066650E1,-4.147207642E1
7.526904182E-2,9.609588623E0,2.788768005E1,-4.145175171E1
8.524004184E-2,9.617660522E0,2.775003052E1,-4.134164429E1
9.521104186E-2,9.628692627E0,2.753913116E1,-4.154595947E1
1.051820419E-1,9.339385986E0,2.751124573E1,-4.163214111E1
1.151530417E-1,9.392730713E0,2.739807892E1,-4.200421143E1
1.251230417E-1,9.452835083E0,2.752656555E1,-4.202886963E1
1.350940417E-1,9.545333862E0,2.747742462E1,-4.193112183E1
1.450650417E-1,9.603424072E0,2.722689819E1,-4.146023560E1
1.550360417E-1,9.607406616E0,2.732024384E1,-4.147409058E1
1.650070418E-1,9.618591309E0,2.741541290E1,-4.185714722E1
1.749780418E-1,9.526763916E0,2.736770630E1,-4.129382324E1
1.849480418E-1,9.553955078E0,2.751113892E1,-4.155316162E1
1.949190418E-1,9.721954346E0,2.754950714E1,-4.143621826E1
2.048900418E-1,9.740051270E0,2.757843781E1,-4.159765625E1
2.148610419E-1,9.591522217E0,2.741275787E1,-4.145333862E1
2.248320417E-1,9.481979370E0,2.741390228E1,-4.143789673E1
2.348030417E-1,9.504638672E0,2.721682739E1,-4.157150269E1
2.447726668E-1,9.488174438E0,2.737101746E1,-4.145803833E1
2.547436669E-1,9.814331055E0,2.737133026E1,-4.168591309E1
2.647146669E-1,9.837585449E0,2.762585449E1,-4.168035889E1
2.746856667E-1,9.568191528E0,2.760185242E1,-4.127011108E1
2.846566667E-1,9.580535889E0,2.722013855E1,-4.164035034E1
2.946276667E-1,9.596099854E0,2.760855865E1,-4.166500854E1
3.045976667E-1,9.687698364E0,2.748443604E1,-4.187991333E1
3.145686667E-1,9.619705200E0,2.722376251E1,-4.200988770E1
3.245396668E-1,9.525543213E0,2.738600159E1,-4.188858032E1
3.345106668E-1,9.550827026E0,2.744053650E1,-4.164584351E1
3.444816668E-1,9.804595947E0,2.740032196E1,-4.163208008E1
3.544526668E-1,9.799392700E0,2.715782928E1,-4.166683960E1
3.644226668E-1,9.815597534E0,2.732074738E1,-4.147549438E1
3.743936669E-1,9.657257080E0,2.739891052E1,-4.138723755E1
3.843646669E-1,9.702423096E0,2.721266937E1,-4.146154785E1
3.943356667E-1,9.771133423E0,2.733814240E1,-4.125204468E1
4.043066667E-1,9.772506714E0,2.742745972E1,-4.132742310E1
4.142776667E-1,9.752151489E0,2.723702240E1,-4.140148926E1
4.242476667E-1,9.706024170E0,2.712403870E1,-4.158834839E1
4.342186667E-1,9.789825439E0,2.714747620E1,-4.182598877E1
4.441896668E-1,9.827270508E0,2.712651825E1,-4.158432007E1
4.541606668E-1,9.787933350E0,2.693258667E1,-4.171362305E1
4.641316668E-1,9.469146729E0,2.717319489E1,-4.121792603E1
4.741026668E-1,9.399703979E0,2.726596069E1,-4.134957886E1
4.840726668E-1,9.502960205E0,2.690300751E1,-4.135385132E1
4.940436669E-1,9.297271729E0,2.680895996E1,-4.163809204E1
5.040146667E-1,9.043395996E0,2.691019440E1,-4.159490967E1
5.139856667E-1,8.983795166E0,2.693156433E1,-4.178250122E1
5.239566667E-1,8.769973755E0,2.684186554E1,-4.202899170E1
5.339276667E-1,8.492858887E0,2.665192413E1,-4.175238037E1
5.438976667E-1,8.367706299E0,2.671100616E1,-4.192272949E1
5.538686668E-1,8.101928711E0,2.652935028E1,-4.203982544E1
5.638396668E-1,7.888153076E0,2.667341614E1,-4.250338745E1
5.738106668E-1,7.754699707E0,2.650756073E1,-4.289562988E1
5.837816668E-1,7.743591309E0,2.634621429E1,-4.241979980E1
5.937526668E-1,7.306610107E0,2.639556122E1,-4.249575806E1
6.037226669E-1,7.178146362E0,2.634848785E1,-4.254898071E1
6.136936669E-1,6.879318237E0,2.608621216E1,-4.261123657E1
6.236646667E-1,6.799560547E0,2.597689819E1,-4.298352051E1
6.336356667E-1,6.636901855E0,2.549166107E1,-4.299554443E1
6.436066667E-1,6.419235229E0,2.554523468E1,-4.291198730E1
6.535776667E-1,6.293670654E0,2.540382385E1,-4.307501221E1
6.635476667E-1,6.195693970E0,2.525522614E1,-4.339462280E1
6.735186668E-1,6.113342285E0,2.497810364E1,-4.340707397E1
6.834896668E-1,5.928771973E0,2.472810364E1,-4.339260864E1
6.934606668E-1,5.867080688E0,2.468760681E1,-4.400286865E1
7.034316668E-1,5.650939941E0,2.433901215E1,-4.402777100E1
7.134026669E-1,5.637527466E0,2.399402618E1,-4.408142090E1
7.233726669E-1,5.568008423E0,2.374475098E1,-4.405032349E1
7.333436667E-1,5.582778931E0,2.356301880E1,-4.443618774E1
7.433146667E-1,5.425201416E0,2.340672302E1,-4.478164673E1
7.532856667E-1,5.274185181E0,2.288212585E1,-4.468344116E1
7.632566667E-1,5.387496948E0,2.281848907E1,-4.453143311E1
7.732276667E-1,5.346862793E0,2.261041260E1,-4.459750366E1
7.831976668E-1,5.448501587E0,2.211032104E1,-4.502224731E1
7.931686668E-1,5.317214966E0,2.209387207E1,-4.521520996E1
8.031396668E-1,5.283981323E0,2.175897217E1,-4.505505371E1
8.131106668E-1,5.180664062E0,2.110763550E1,-4.548535156E1
8.230816668E-1,5.239608765E0,2.048667145E1,-4.567034912E1
8.330526669E-1,5.236434937E0,2.033008575E1,-4.570770264E1
8.430226669E-1,5.383560181E0,1.997174835E1,-4.575250244E1
8.529936667E-1,5.206146240E0,1.961603546E1,-4.600308228E1
8.629646667E-1,5.050918579E0,1.921820831E1,-4.624594116E1
8.729356667E-1,5.096069336E0,1.886546326E1,-4.653134155E1
8.829066667E-1,5.045745850E0,1.829146576E1,-4.634375000E1
8.928766667E-1,5.098739624E0,1.773341370E1,-4.711727905E1
9.028476668E-1,4.914520264E0,1.713173676E1,-4.711798096E1
9.128186668E-1,4.738006592E0,1.659756470E1,-4.760629272E1
9.227896668E-1,4.487152100E0,1.599330139E1,-4.758908081E1
9.327606668E-1,4.584991455E0,1.563803864E1,-4.824191284E1
9.427316668E-1,4.236679077E0,1.524969482E1,-4.840005493E1
9.527016669E-1,3.928527832E0,1.477622223E1,-4.831524658E1
9.626726669E-1,4.018478394E0,1.428653717E1,-4.842599487E1
9.726436667E-1,3.915496826E0,1.367015839E1,-4.873120117E1
9.826146667E-1,3.730178833E0,1.312561798E1,-4.893670654E1
9.925856667E-1,3.641784668E0,1.230892944E1,-4.907519531E1
1.002556667E0,3.573181152E0,1.197000885E1,-4.853268433E1
1.012526667E0,3.472335815E0,1.141894531E1,-4.900692749E1
1.022497667E0,3.050888062E0,1.093755341E1,-4.914599609E1
1.032468667E0,3.038772583E0,1.042269897E1,-4.935208130E1
1.042439667E0,2.988861084E0,9.644607544E0,-4.955477905E1
1.052410667E0,3.170791626E0,8.705131531E0,-4.934100342E1
1.062380667E0,2.932327271E0,8.318969727E0,-4.973410034E1
1.072351667E0,3.025268555E0,7.482391357E0,-5.023922729E1
1.082322667E0,2.867263794E0,7.046089172E0,-4.993264771E1
1.092293667E0,2.584579468E0,6.551849365E0,-4.988079834E1
1.102264667E0,2.148132324E0,5.925651550E0,-4.980572510E1
1.112235667E0,2.036285400E0,5.141311646E0,-4.993682861E1
1.122205667E0,1.967926025E0,4.419647217E0,-5.014044189E1
1.132176667E0,2.074859619E0,3.673614502E0,-5.020202637E1
1.142147667E0,1.995513916E0,2.665519714E0,-5.049362183E1
1.152118667E0,2.081298828E0,2.107948303E0,-5.050216675E1
1.162089667E0,1.893341064E0,1.185783386E0,-5.058795166E1
1.172060667E0,1.845382690E0,6.640243530E-1,-5.048492432E1
1.182030667E0,1.653335571E0,-1.324691772E-1,-5.079876709E1
1.192001667E0,1.755996704E0,-7.067642212E-1,-5.089495850E1
1.201972667E0,1.766952515E0,-1.074081421E0,-5.087750244E1
1.211943667E0,1.628570557E0,-1.557449341E0,-5.067025757E1
1.221914667E0,1.396926880E0,-2.510772705E0,-5.030325317E1
1.231885667E0,1.439987183E0,-3.487106323E0,-4.995324707E1
1.241855917E0,1.369537354E0,-4.331970215E0,-4.968109131E1
1.251826917E0,1.458465576E0,-5.152351379E0,-4.967059326E1
1.261797917E0,1.280380249E0,-6.033241272E0,-4.985565186E1
1.271768917E0,1.129547119E0,-6.711029053E0,-4.970251465E1
1.281739917E0,1.223083496E0,-7.398277283E0,-4.937652588E1
1.291709917E0,1.255844116E0,-8.113441467E0,-4.907974243E1
1.301680917E0,1.054153442E0,-8.800476074E0,-4.927926636E1
1.311651917E0,1.141998291E0,-9.693077087E0,-4.896755981E1
1.321622917E0,1.463226318E0,-1.033692932E1,-4.863833618E1
1.331593917E0,1.360458374E0,-1.099818420E1,-4.892755127E1
1.341564917E0,1.248870850E0,-1.180010223E1,-4.884808350E1
