"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.012529167E-2,-2.953189015E-1,1.166607618E0,2.965280116E-1
4.009629169E-2,-3.568810523E-1,1.534263134E0,2.419193387E-1
5.006629170E-2,-3.977422118E-1,1.619272590E0,2.037357390E-1
6.003629172E-2,-3.764321208E-1,1.442503333E0,1.863098741E-1
7.000729174E-2,-3.236430287E-1,1.233597159E0,1.328637451E-1
7.997729175E-2,-2.720786333E-1,8.392594457E-1,2.652371861E-2
8.994829166E-2,-2.020333558E-1,3.870378137E-1,8.443193510E-3
9.991829167E-2,-8.625455201E-2,-2.650954202E-2,9.938292205E-3
1.098892917E-1,3.150379285E-2,-3.860985935E-1,-6.858757138E-2
1.198592917E-1,8.962835371E-2,-6.161374450E-1,-1.732412726E-1
1.298302917E-1,1.048147380E-1,-7.437579632E-1,-2.407085747E-1
1.398002917E-1,1.132436395E-1,-7.779479027E-1,-2.481209487E-1
1.497702918E-1,1.106891111E-1,-7.407612205E-1,-2.172386795E-1
1.597412917E-1,8.569880575E-2,-6.554473639E-1,-1.628422886E-1
1.697112917E-1,5.778644234E-2,-5.467463732E-1,-9.300655872E-2
1.796822917E-1,3.099930286E-2,-4.356608689E-1,-3.074371815E-2
1.896522917E-1,8.655486628E-3,-2.988550663E-1,1.163745672E-2
1.996232917E-1,-6.399095990E-3,-1.746084988E-1,3.553746268E-2
2.095932917E-1,-2.006752416E-2,-7.368239015E-2,4.354242608E-2
2.195632918E-1,-3.005437739E-2,9.482538328E-3,4.196530208E-2
2.295342917E-1,-3.844852746E-2,9.540474415E-2,2.177925780E-2
2.395042917E-1,-4.397352040E-2,1.667066067E-1,6.273686886E-4
2.494752917E-1,-4.794605821E-2,2.031877786E-1,-6.691443734E-3
2.594452917E-1,-5.281405151E-2,2.317853272E-1,6.358046085E-3
2.694162917E-1,-4.761344567E-2,2.317735851E-1,-2.789490391E-4
2.793862917E-1,-4.775992036E-2,2.200042754E-1,-2.600348741E-2
2.893562918E-1,-4.587932304E-2,1.756486446E-1,-5.239736289E-2
2.993272917E-1,-3.792259842E-2,1.120954975E-1,-7.095320523E-2
3.092972917E-1,-3.262495995E-2,4.779786244E-2,-8.742606640E-2
3.192682917E-1,-2.146524936E-2,-1.468735281E-2,-8.761195093E-2
3.292382917E-1,-1.736852713E-2,-8.650165051E-2,-9.005552530E-2
3.392092917E-1,-1.862101071E-2,-1.180049777E-1,-8.225166798E-2
3.491792917E-1,-2.580520138E-2,-1.061054692E-1,-6.729265302E-2
3.591492918E-1,-3.505089879E-2,-6.618228555E-2,-5.440881848E-2
3.691202917E-1,-4.801354930E-2,-3.132287040E-2,-3.472995386E-2
3.790902917E-1,-6.367613375E-2,-1.172732934E-2,-2.374912146E-4
3.890612917E-1,-7.189475000E-2,-1.339217741E-2,2.750164084E-2
3.990312917E-1,-8.911767602E-2,-1.745109446E-3,5.323470011E-2
4.090022917E-1,-1.191819012E-1,3.038374335E-2,7.854662091E-2
4.189722918E-1,-1.589532942E-1,1.429206729E-1,1.108821929E-1
4.289422918E-1,-2.044295669E-1,1.576347202E-1,1.140937507E-1
4.389132917E-1,-2.505480647E-1,5.348808318E-2,9.530328214E-2
4.488832917E-1,-3.032105267E-1,6.804148108E-2,1.089974642E-1
4.588542917E-1,-3.640275300E-1,1.456822157E-1,1.715937257E-1
4.688242917E-1,-4.355470538E-1,2.033262253E-1,2.430426329E-1
4.787952917E-1,-5.086880922E-1,2.491403222E-1,2.871368527E-1
4.887652918E-1,-5.714817047E-1,3.188658953E-1,3.116497695E-1
4.987352918E-1,-6.228282452E-1,3.992049396E-1,3.521063924E-1
5.087062917E-1,-6.699546576E-1,4.723921716E-1,4.067845345E-1
5.186762917E-1,-7.304294705E-1,5.481274128E-1,4.751974046E-1
5.286472917E-1,-7.931933999E-1,6.398517489E-1,5.393133163E-1
5.386172917E-1,-8.641176820E-1,7.463086843E-1,5.896049738E-1
5.485882917E-1,-9.271652102E-1,8.385298252E-1,6.374214888E-1
5.585582918E-1,-9.865033627E-1,8.995354176E-1,6.824296713E-1
5.685282917E-1,-1.055859208E0,9.772733450E-1,7.320377827E-1
5.784992917E-1,-1.143183708E0,1.033323646E0,7.683001757E-1
5.884692917E-1,-1.255366445E0,9.635366201E-1,7.927529216E-1
5.984402917E-1,-1.365746737E0,7.990856171E-1,8.186202049E-1
6.084102917E-1,-1.424521685E0,5.845889449E-1,8.235849142E-1
6.183812917E-1,-1.415490627E0,2.939057648E-1,8.032388687E-1
6.283512918E-1,-1.370435715E0,-5.683115870E-2,7.736040354E-1
6.383212917E-1,-1.325331450E0,-3.829056919E-1,7.580618262E-1
6.482922917E-1,-1.283422470E0,-5.844032764E-1,7.878750563E-1
6.582622917E-1,-1.248352408E0,-6.467316151E-1,8.596752286E-1
6.682332917E-1,-1.238038421E0,-5.422201157E-1,9.471997619E-1
6.782032917E-1,-1.288846135E0,-2.709185481E-1,1.040286064E0
6.881742917E-1,-1.390742779E0,1.212223619E-1,1.111445308E0
6.981442918E-1,-1.489501834E0,5.397874117E-1,1.158030868E0
7.081142917E-1,-1.571627617E0,8.894129395E-1,1.201255918E0
7.180852917E-1,-1.648764729E0,1.169533253E0,1.264958739E0
7.280552917E-1,-1.689606428E0,1.441517711E0,1.324947119E0
7.380262917E-1,-1.726416111E0,1.736633539E0,1.366126537E0
7.479962917E-1,-1.784144521E0,2.054703236E0,1.399141669E0
7.579662917E-1,-1.836125493E0,2.329004288E0,1.447783828E0
7.679372918E-1,-1.861564994E0,2.553105354E0,1.504317641E0
7.779072917E-1,-1.894339204E0,2.737227917E0,1.552604437E0
7.878782917E-1,-1.919247150E0,2.887779713E0,1.538535714E0
7.978482917E-1,-1.903052926E0,3.022917509E0,1.481381774E0
8.078192917E-1,-1.865833759E0,3.092397928E0,1.390658617E0
8.177892917E-1,-1.861006975E0,3.026541948E0,1.326964378E0
8.277592917E-1,-1.859679699E0,2.849239349E0,1.318338871E0
8.377302918E-1,-1.828037977E0,2.606252432E0,1.337224245E0
8.477002917E-1,-1.799205303E0,2.340424299E0,1.316607714E0
8.576712917E-1,-1.801812530E0,2.055063009E0,1.228878617E0
8.676412917E-1,-1.795573235E0,1.768558264E0,1.121146917E0
8.776112917E-1,-1.772519231E0,1.468724489E0,1.020909309E0
8.875822917E-1,-1.733670712E0,1.156630158E0,9.493999481E-1
8.975522917E-1,-1.683137774E0,8.765640855E-1,9.097145796E-1
9.075231251E-1,-1.636571765E0,6.629933715E-1,8.940604925E-1
9.174931251E-1,-1.608439684E0,4.940043092E-1,8.769502044E-1
9.274641251E-1,-1.574978948E0,3.353600800E-1,8.552852273E-1
9.374341250E-1,-1.542144537E0,2.234966904E-1,8.195874095E-1
