"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.591249982E-4,9.482930145E0,8.030799866E-1,-2.118245087E0
1.092912501E-2,9.399254150E0,1.206790466E0,-1.938768311E0
2.089912503E-2,9.454638977E0,1.357377319E0,-1.820364532E0
3.086912492E-2,9.604926453E0,1.226399689E0,-1.802850952E0
4.083912494E-2,9.651479645E0,9.021739197E-1,-1.876048737E0
5.080912495E-2,9.533674622E0,5.962101746E-1,-2.009421387E0
6.077912496E-2,9.627679138E0,4.628375244E-1,-2.132315826E0
7.074912498E-2,9.963880005E0,4.108955383E-1,-2.253713379E0
8.071912499E-2,1.037103333E1,4.299060059E-1,-2.243384857E0
9.068912501E-2,1.059272232E1,4.809498596E-1,-2.113005981E0
1.006591250E-1,1.045665527E1,6.517446899E-1,-2.169288940E0
1.106291250E-1,1.016461258E1,9.779164124E-1,-2.234403534E0
1.205991249E-1,9.812844086E0,9.633966064E-1,-2.112556915E0
1.305691249E-1,9.524393921E0,7.081773376E-1,-1.950294342E0
1.405391250E-1,9.506580963E0,6.170169067E-1,-1.840871887E0
1.505101250E-1,9.498497772E0,6.297404480E-1,-1.822310486E0
1.604801250E-1,9.448801117E0,6.207591248E-1,-1.942360840E0
1.704501250E-1,9.552685089E0,6.375242615E-1,-2.079924774E0
1.804201250E-1,9.783654785E0,6.069877625E-1,-2.076182556E0
1.903901250E-1,9.765542450E0,5.571414185E-1,-2.038760376E0
2.003601249E-1,9.630523224E0,5.321434021E-1,-1.964365082E0
2.103301249E-1,9.539811859E0,6.786886597E-1,-1.854343872E0
2.203001250E-1,9.236243134E0,7.842192078E-1,-1.831291809E0
2.302701250E-1,8.970545654E0,8.029302979E-1,-1.876497803E0
2.402401250E-1,8.988208923E0,8.409512329E-1,-1.840422821E0
2.502101250E-1,9.157207489E0,8.632548523E-1,-1.836530914E0
2.601801250E-1,9.410331116E0,8.961863708E-1,-1.848206635E0
2.701501250E-1,9.594298553E0,9.876461792E-1,-1.855242004E0
2.801201249E-1,9.709259491E0,1.150956573E0,-1.911225586E0
2.900901249E-1,9.722581787E0,1.190923462E0,-1.908231812E0
3.000601250E-1,9.563911743E0,1.045426025E0,-1.839674377E0
3.100301250E-1,9.481133881E0,9.186396790E-1,-1.738484802E0
3.200001250E-1,9.509125671E0,7.316784668E-1,-1.615590363E0
3.299701250E-1,9.667646027E0,5.519023132E-1,-1.656754761E0
3.399411250E-1,9.730664978E0,4.089495850E-1,-1.733096008E0
3.499111250E-1,9.661808167E0,3.366499329E-1,-1.764979706E0
3.598811249E-1,9.619595947E0,3.778143311E-1,-1.723066864E0
3.698511249E-1,9.617350616E0,4.343966675E-1,-1.693129120E0
3.798211250E-1,9.648336182E0,4.721182251E-1,-1.588347015E0
3.897911250E-1,9.643396454E0,5.429209900E-1,-1.413809967E0
3.997611250E-1,9.569749603E0,6.010002136E-1,-1.346300354E0
4.097311250E-1,9.436227264E0,6.114784241E-1,-1.324595490E0
4.197011250E-1,9.291777649E0,5.423222351E-1,-1.449735260E0
4.296711250E-1,9.206155701E0,5.233117676E-1,-1.546134796E0
4.396411250E-1,9.173523560E0,5.815406799E-1,-1.431323547E0
4.496111249E-1,9.214388580E0,6.694079590E-1,-1.253343658E0
4.595811249E-1,9.251212006E0,7.310797119E-1,-1.171463928E0
4.695511250E-1,9.158404999E0,6.474037170E-1,-1.202898560E0
4.795211250E-1,9.038504333E0,6.490502930E-1,-1.134939880E0
4.894911250E-1,9.132957916E0,6.920109558E-1,-9.800120544E-1
4.994611250E-1,9.214538269E0,6.137237549E-1,-7.602690125E-1
5.094311250E-1,9.166937256E0,5.631289673E-1,-5.433700562E-1
5.194011250E-1,9.139095154E0,5.709127808E-1,-4.781057739E-1
5.293721249E-1,9.253457336E0,6.077362061E-1,-4.709207153E-1
5.393421249E-1,9.187294922E0,7.090754700E-1,-6.530918884E-1
5.493121250E-1,9.025331726E0,8.029302979E-1,-9.648934937E-1
5.592821250E-1,9.085207214E0,1.064586182E0,-1.290616150E0
5.692521250E-1,9.269024963E0,1.453327789E0,-1.467997284E0
5.792221250E-1,9.493857422E0,1.724414063E0,-1.468146973E0
5.891921250E-1,9.607920227E0,1.822160797E0,-1.586999817E0
5.991621250E-1,9.392368469E0,1.828747101E0,-1.708547058E0
6.091321249E-1,9.223669281E0,2.085463257E0,-1.695075073E0
6.191021249E-1,8.292904816E0,1.515298920E0,-2.005379791E0
6.290721250E-1,7.886799316E0,1.219214630E0,-2.364333344E0
6.390421250E-1,8.602012024E0,2.051334229E0,-2.180665283E0
6.490121250E-1,9.809251556E0,3.056493988E0,-1.808688812E0
6.589821250E-1,1.081351318E1,3.388503571E0,-1.830094299E0
6.689521250E-1,1.092997101E1,2.897973633E0,-2.459984436E0
6.789221250E-1,1.077145065E1,2.353256378E0,-3.223097534E0
6.888921249E-1,1.057026901E1,2.063608704E0,-3.720513153E0
6.988616666E-1,1.041968216E1,1.791324921E0,-3.776796112E0
7.088326666E-1,1.017464172E1,1.644031219E0,-3.698808289E0
7.188026666E-1,9.795779572E0,1.563798065E0,-3.566333771E0
7.287726667E-1,9.367220764E0,1.573827209E0,-3.428021393E0
7.387426667E-1,8.946595459E0,1.593735809E0,-3.364852753E0
7.487126667E-1,8.692723389E0,1.532662811E0,-3.393143921E0
7.586826667E-1,8.605155487E0,1.395847321E0,-3.335364075E0
7.686526666E-1,8.615633698E0,1.288520508E0,-3.295247498E0
7.786226666E-1,8.669970703E0,1.243464203E0,-3.308719482E0
7.885926666E-1,8.758885803E0,1.321152649E0,-3.307372284E0
