"Time (s)","X (hPa)"
-5.393243751E-1,1.005539932E3
4.848336249E-1,1.005655670E3
1.509020625E0,1.005539932E3
2.533253625E0,1.005583344E3
3.557414625E0,1.005361710E3
4.581524625E0,1.005118408E3
4.731534625E0,1.005118408E3
5.679686625E0,1.005194550E3
6.627948625E0,1.005500793E3
7.576238625E0,1.005915604E3
8.524489625E0,1.006154251E3
9.472776625E0,1.006308670E3
1.042107962E1,1.006409531E3
1.136929662E1,1.006409531E3
1.231766962E1,1.006204300E3
1.326598462E1,1.006004486E3
1.421436262E1,1.005750275E3
1.516282362E1,1.005550003E3
1.611124162E1,1.004518967E3
1.705962462E1,1.004211884E3
1.800794662E1,1.004169693E3
1.895636962E1,1.004160767E3
1.990469862E1,1.004169693E3
2.085304562E1,1.005223465E3
2.180150862E1,1.005284042E3
2.274987962E1,1.005284042E3
2.369839862E1,1.005290756E3
2.464698662E1,1.005240097E3
2.559545562E1,1.004886780E3
2.654395262E1,1.004886780E3
