"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.427002907E-3,5.237843225E1,4.860510254E0,-2.020874977E0,NaN,NaN,1.414000000E3,6.132398224E1
4.509620667E-1,5.238129865E1,4.860444602E0,1.926777601E0,NaN,NaN,2.616644180E1,3.000000000E1
6.697668552E0,5.238122509E1,4.860540759E0,1.451686859E0,5.600000024E-1,NaN,1.785048722E1,4.000000000E0
7.697658181E0,5.238118675E1,4.860437913E0,1.499843597E0,2.000000030E-1,NaN,1.566108187E1,4.000000000E0
8.697647572E0,5.238118008E1,4.860465657E0,1.752773285E0,1.500000060E-1,NaN,1.367280630E1,4.000000000E0
9.699255705E0,5.238117497E1,4.860448726E0,2.021205902E0,3.700000048E-1,NaN,1.197074465E1,4.000000000E0
1.069926441E1,5.238119069E1,4.860458532E0,2.259365082E0,3.700000048E-1,1.898437500E1,1.113271550E1,4.000000000E0
1.169925928E1,5.238120204E1,4.860462388E0,2.918788910E0,4.499999881E-1,NaN,9.777073841E0,4.000000000E0
1.269927084E1,5.238120996E1,4.860466160E0,3.012905121E0,3.700000048E-1,NaN,9.938402436E0,4.000000000E0
1.369927931E1,5.238121780E1,4.860461466E0,2.299037933E0,0.000000000E0,2.285156250E1,1.148515906E1,4.000000000E0
1.469927526E1,5.238120016E1,4.860450150E0,2.033779144E0,3.700000048E-1,1.880859375E2,9.791978150E0,4.000000000E0
1.569928610E1,5.238118218E1,4.860461885E0,1.792201996E0,1.970000029E0,1.258593750E2,1.008499553E1,4.000000000E0
1.669930196E1,5.238117181E1,4.860485333E0,1.792202368E0,1.970000029E0,1.258593936E2,1.008499553E1,4.000000000E0
1.769930124E1,5.238117085E1,4.860512247E0,2.005031846E0,1.570000052E0,1.103906421E2,1.010713598E1,4.000000000E0
1.869931018E1,5.238117458E1,4.860525327E0,2.202968857E0,1.570000052E0,9.210939325E1,9.731412850E0,4.000000000E0
1.969931686E1,5.238117090E1,4.860514024E0,2.525966760E0,7.799999714E-1,1.353515689E2,1.003825469E1,4.000000000E0
2.069931364E1,5.238117157E1,4.860502118E0,2.695034096E0,7.799999714E-1,NaN,1.120859902E1,4.000000000E0
2.169932723E1,5.238117606E1,4.860501280E0,2.886318276E0,3.300000131E-1,NaN,9.125064704E0,4.000000000E0
2.269933689E1,5.238118427E1,4.860504465E0,3.297084877E0,4.099999964E-1,NaN,8.506359525E0,4.000000000E0
2.369933140E1,5.238119110E1,4.860506309E0,3.570217201E0,1.599999964E-1,NaN,7.899426292E0,4.000000000E0
2.469932878E1,5.238120066E1,4.860482924E0,3.792873451E0,0.000000000E0,NaN,6.931319070E0,4.000000000E0
2.569932461E1,5.238119974E1,4.860474626E0,4.384853431E0,0.000000000E0,NaN,6.392282684E0,4.000000000E0
2.669932055E1,5.238119651E1,4.860465322E0,4.557338784E0,0.000000000E0,NaN,5.736815845E0,4.000000000E0
2.769931698E1,5.238119349E1,4.860460376E0,5.155788490E0,0.000000000E0,NaN,5.391555325E0,4.000000000E0
2.869931233E1,5.238119144E1,4.860456185E0,5.147487708E0,0.000000000E0,NaN,5.134813290E0,4.000000000E0
2.969930673E1,5.238119488E1,4.860455850E0,4.839565345E0,0.000000000E0,NaN,5.087782179E0,4.000000000E0
3.069930136E1,5.238118922E1,4.860444813E0,4.811000939E0,7.699999809E-1,2.151562448E2,4.926123344E0,4.000000000E0
3.169929695E1,5.238119446E1,4.860445792E0,5.056667396E0,2.199999988E-1,NaN,4.830873540E0,4.000000000E0
3.269929028E1,5.238119383E1,4.860442355E0,5.238369055E0,2.099999934E-1,NaN,4.608221887E0,4.000427406E0
3.369928432E1,5.238119194E1,4.860444786E0,5.510829994E0,2.199999988E-1,NaN,4.472295776E0,4.000836741E0
3.469927812E1,5.238119157E1,4.860449564E0,5.850734780E0,0.000000000E0,NaN,4.401514748E0,4.019031003E0
3.569927156E1,5.238119027E1,4.860452497E0,5.928859779E0,0.000000000E0,NaN,4.402991413E0,4.018404135E0
3.669926429E1,5.238114669E1,4.860386228E0,1.465790792E0,8.771983412E-2,NaN,6.756502520E0,1.526854393E0
