"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.697124939E-3,-2.699179995E-1,-1.484426060E-1,-1.484001113E0
1.466712495E-2,-3.429555702E-1,2.134331654E-1,-1.293681260E0
2.463712497E-2,-2.645028931E-1,3.376332884E-1,-1.174102119E0
3.460712498E-2,-1.077846497E-1,1.670941275E-1,-1.150543760E0
4.457712499E-2,-8.842919648E-2,-1.674690071E-1,-1.221527862E0
5.454812502E-2,-2.037555850E-1,-4.629902829E-1,-1.334063301E0
6.451812503E-2,-6.740962565E-2,-5.819743972E-1,-1.447091149E0
7.448812493E-2,2.788917214E-1,-6.326919032E-1,-1.547287867E0
8.445812494E-2,6.943632907E-1,-5.957369886E-1,-1.492533370E0
9.442812495E-2,8.626970279E-1,-5.361257214E-1,-1.360575746E0
1.043981250E-1,6.942890310E-1,-3.196151664E-1,-1.421716572E0
1.143681250E-1,4.061054993E-1,9.175085351E-3,-1.456147317E0
1.243381250E-1,3.218775272E-2,-6.145058200E-2,-1.313517355E0
1.343081250E-1,-2.243722826E-1,-3.035112767E-1,-1.140824591E0
1.442781250E-1,-2.205914730E-1,-3.773659958E-1,-1.007647238E0
1.542481249E-1,-2.285635668E-1,-3.677787548E-1,-9.740864861E-1
1.642181249E-1,-2.735637385E-1,-3.869850310E-1,-1.085135563E0
1.741881249E-1,-1.289568329E-1,-3.620601779E-1,-1.187275823E0
1.841581250E-1,7.965252578E-2,-3.966381993E-1,-1.155334969E0
1.941281250E-1,3.003129959E-2,-4.446019591E-1,-1.099048501E0
2.040981250E-1,-8.836019933E-2,-4.515455277E-1,-1.009009493E0
2.140681250E-1,-1.989678848E-1,-2.731653969E-1,-8.785720722E-1
2.240381250E-1,-5.185720146E-1,-1.763352133E-1,-8.613684674E-1
2.340081250E-1,-7.553047264E-1,-1.591114356E-1,-8.876681471E-1
2.439791249E-1,-7.042690587E-1,-1.115429476E-1,-8.370043623E-1
2.539491249E-1,-5.266101819E-1,-7.760029927E-2,-8.178711033E-1
2.639191250E-1,-2.749395883E-1,-3.012726702E-2,-8.110905989E-1
2.738891250E-1,-9.285261512E-2,7.714604370E-2,-8.109890766E-1
2.838591250E-1,2.976232767E-3,2.486387392E-1,-8.498237979E-1
2.938291250E-1,9.552011490E-3,2.589620715E-1,-8.163708539E-1
3.037991250E-1,-1.698890966E-1,1.089098002E-1,-7.355038615E-1
3.137691250E-1,-2.298271501E-1,-9.252999499E-3,-6.094390614E-1
3.237391249E-1,-1.719572568E-1,-1.948073716E-1,-4.756267007E-1
3.337091249E-1,-1.006773591E-2,-3.672177876E-1,-5.238928346E-1
3.436791250E-1,2.653817296E-2,-5.139530797E-1,-5.840140522E-1
3.536491250E-1,-4.617136896E-2,-5.612993004E-1,-6.019195421E-1
3.636191250E-1,-8.425837755E-2,-5.192439327E-1,-5.772055542E-1
3.735891250E-1,-8.786084712E-2,-4.726223282E-1,-5.599517365E-1
3.835591250E-1,-5.495739520E-2,-4.338967305E-1,-4.654969843E-1
3.935291250E-1,-6.126420200E-2,-3.652678142E-1,-3.311301613E-1
4.034991249E-1,-1.518463433E-1,-3.223943480E-1,-2.965636881E-1
4.134691249E-1,-3.025518948E-1,-3.312691057E-1,-3.183234434E-1
4.234391249E-1,-4.371606463E-1,-4.126899757E-1,-4.992341030E-1
4.334101250E-1,-5.130732930E-1,-4.413253257E-1,-6.065759723E-1
4.433801250E-1,-5.397447824E-1,-3.950868599E-1,-5.073956466E-1
4.533501250E-1,-5.041761696E-1,-3.357924387E-1,-3.736756718E-1
4.633201250E-1,-4.703576285E-1,-3.285057847E-1,-3.535822999E-1
4.732901250E-1,-5.811611956E-1,-4.495253147E-1,-4.119188011E-1
4.832601249E-1,-6.761819583E-1,-4.681901387E-1,-3.605580282E-1
4.932301249E-1,-5.657233769E-1,-4.726484214E-1,-2.182976103E-1
5.032001249E-1,-5.008391637E-1,-5.963193713E-1,-1.245573878E-2
5.131701250E-1,-5.463264084E-1,-6.730004883E-1,1.832013794E-1
5.231401250E-1,-5.550106931E-1,-7.040011100E-1,2.296692022E-1
5.331101250E-1,-4.317367691E-1,-7.053126405E-1,2.541914014E-1
5.430801250E-1,-5.247338104E-1,-6.451218411E-1,6.394522347E-2
5.530501250E-1,-6.459752423E-1,-5.902521542E-1,-1.937591120E-1
5.630201250E-1,-5.612169278E-1,-3.347517805E-1,-4.722772694E-1
5.729901249E-1,-3.509837973E-1,2.668230683E-3,-5.472490990E-1
5.829601249E-1,-1.159380072E-1,2.144850795E-1,-4.486909170E-1
5.929301250E-1,-1.030688703E-2,2.430230002E-1,-4.716750062E-1
