"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.697124939E-3,-4.352462006E1,-1.256367493E1,1.693423462E1
1.466712495E-2,-4.354431152E1,-1.244351196E1,1.665844727E1
2.463712497E-2,-4.355442810E1,-1.242826080E1,1.655645752E1
3.460712498E-2,-4.361964417E1,-1.240051651E1,1.698837280E1
4.457712499E-2,-4.353439331E1,-1.259197998E1,1.695880127E1
5.454812502E-2,-4.347662354E1,-1.255941772E1,1.708416748E1
6.451812503E-2,-4.358088684E1,-1.213782120E1,1.722406006E1
7.448812493E-2,-4.349900818E1,-1.226365662E1,1.757434082E1
8.445812494E-2,-4.347289276E1,-1.220745087E1,1.746975708E1
9.442812495E-2,-4.335531616E1,-1.226208115E1,1.750491333E1
1.043981250E-1,-4.359497070E1,-1.198500443E1,1.803112793E1
1.143681250E-1,-4.372660065E1,-1.225802231E1,1.806738281E1
1.243381250E-1,-4.367017365E1,-1.212490463E1,1.798486328E1
1.343081250E-1,-4.349920654E1,-1.196291351E1,1.767388916E1
1.442781250E-1,-4.378105164E1,-1.199303436E1,1.796148682E1
1.542481249E-1,-4.333996582E1,-1.209781265E1,1.809838867E1
1.642181249E-1,-4.340801239E1,-1.209386826E1,1.838024902E1
1.741881249E-1,-4.345050049E1,-1.195388412E1,1.867996216E1
1.841581250E-1,-4.335173798E1,-1.181378174E1,1.886013794E1
1.941281250E-1,-4.335847473E1,-1.204205704E1,1.893106079E1
2.040981250E-1,-4.339380646E1,-1.190837860E1,1.885354614E1
2.140681250E-1,-4.333861542E1,-1.180329514E1,1.919772339E1
2.240381250E-1,-4.333901978E1,-1.183642960E1,1.902630615E1
2.340081250E-1,-4.324618530E1,-1.182900238E1,1.878817749E1
2.439791249E-1,-4.315171051E1,-1.169221878E1,1.916543579E1
2.539491249E-1,-4.334251404E1,-1.175820160E1,1.888433838E1
2.639191250E-1,-4.327402496E1,-1.164819717E1,1.907669067E1
2.738891250E-1,-4.327976990E1,-1.178448105E1,1.951757812E1
2.838591250E-1,-4.300808716E1,-1.176869965E1,1.947247314E1
2.938291250E-1,-4.302928162E1,-1.187806320E1,1.892391968E1
3.037991250E-1,-4.296379852E1,-1.185726929E1,1.882583618E1
3.137691250E-1,-4.287541962E1,-1.176406860E1,1.931741333E1
3.237391249E-1,-4.318902588E1,-1.141172409E1,1.931204224E1
3.337091249E-1,-4.326032257E1,-1.151868057E1,1.934451294E1
3.436791250E-1,-4.300900269E1,-1.153018188E1,1.959085083E1
3.536491250E-1,-4.291535187E1,-1.140091324E1,1.977780151E1
3.636191250E-1,-4.304582214E1,-1.147169113E1,1.964224243E1
3.735891250E-1,-4.314948273E1,-1.150314331E1,1.957162476E1
3.835591250E-1,-4.307026672E1,-1.142680740E1,1.926312256E1
3.935291250E-1,-4.320166016E1,-1.146293640E1,1.929452515E1
4.034991249E-1,-4.346863556E1,-1.137145996E1,1.889428711E1
4.134691249E-1,-4.349694824E1,-1.162910080E1,1.875833130E1
4.234391249E-1,-4.362068939E1,-1.175426483E1,1.879559326E1
4.334101250E-1,-4.361658478E1,-1.171780014E1,1.882891846E1
4.433801250E-1,-4.388222504E1,-1.188872528E1,1.815545654E1
4.533501250E-1,-4.371524048E1,-1.202784348E1,1.821578979E1
4.633201250E-1,-4.372263336E1,-1.214990997E1,1.828326416E1
4.732901250E-1,-4.368526459E1,-1.226977158E1,1.822964478E1
4.832601249E-1,-4.353466034E1,-1.273420715E1,1.769338989E1
4.932301249E-1,-4.355346680E1,-1.267373276E1,1.811901855E1
5.032001249E-1,-4.369439697E1,-1.258990097E1,1.775970459E1
5.131701250E-1,-4.364339447E1,-1.294349289E1,1.791217041E1
5.231401250E-1,-4.350569153E1,-1.298602295E1,1.771899414E1
5.331101250E-1,-4.343011475E1,-1.300451279E1,1.750732422E1
5.430801250E-1,-4.318408203E1,-1.338681412E1,1.788265991E1
5.530501250E-1,-4.317122650E1,-1.340735626E1,1.798477173E1
5.630201250E-1,-4.292571259E1,-1.362082291E1,1.797750854E1
5.729901249E-1,-4.271582031E1,-1.371286392E1,1.832226562E1
5.829601249E-1,-4.263940430E1,-1.417626572E1,1.883691406E1
5.929301250E-1,-4.218510437E1,-1.463829803E1,1.911145020E1
6.029001250E-1,-4.183241272E1,-1.469101715E1,1.966925049E1
6.128701250E-1,-4.158829498E1,-1.476726913E1,2.006747437E1
6.228411250E-1,-4.092929840E1,-1.517032242E1,2.126745605E1
6.328111250E-1,-4.042176056E1,-1.523941803E1,2.203204346E1
6.427811250E-1,-3.976382446E1,-1.556038666E1,2.271594238E1
6.527511249E-1,-3.926062775E1,-1.573329163E1,2.350595093E1
6.627211249E-1,-3.854923248E1,-1.589952087E1,2.413153076E1
6.726911250E-1,-3.808698273E1,-1.601071167E1,2.459527588E1
6.826611250E-1,-3.769375610E1,-1.580765152E1,2.577691650E1
6.926311250E-1,-3.749821472E1,-1.588115692E1,2.629739380E1
7.026006667E-1,-3.713403320E1,-1.590014648E1,2.656311035E1
7.125706667E-1,-3.692208099E1,-1.576401138E1,2.698419189E1
7.225406667E-1,-3.673329926E1,-1.594666672E1,2.683621216E1
7.325106666E-1,-3.681126404E1,-1.583576202E1,2.716842651E1
7.424806666E-1,-3.692366791E1,-1.575042725E1,2.752459717E1
7.524506666E-1,-3.680120087E1,-1.564878845E1,2.730078125E1
7.624206666E-1,-3.700762939E1,-1.573261261E1,2.770315552E1
7.723906667E-1,-3.687348938E1,-1.561668015E1,2.769653320E1
7.823606667E-1,-3.658239746E1,-1.550885391E1,2.785494995E1
7.923306667E-1,-3.651554108E1,-1.533908463E1,2.808840942E1
8.023016667E-1,-3.614755249E1,-1.560712433E1,2.882171631E1
8.122716666E-1,-3.568655396E1,-1.564865494E1,2.912734985E1
8.222416666E-1,-3.539601898E1,-1.531695938E1,2.947332764E1
8.322116666E-1,-3.484188843E1,-1.521824265E1,2.993481445E1
8.421816666E-1,-3.466835022E1,-1.515573883E1,3.068237305E1
8.521516667E-1,-3.418264771E1,-1.527178192E1,3.101010132E1
8.621216667E-1,-3.368472290E1,-1.530667496E1,3.147192383E1
8.720916667E-1,-3.320244598E1,-1.534065247E1,3.181753540E1
8.820616667E-1,-3.275815582E1,-1.515901184E1,3.195837402E1
8.920316666E-1,-3.247206116E1,-1.489390564E1,3.254516602E1
9.020016666E-1,-3.202001190E1,-1.451256561E1,3.285321045E1
9.119716666E-1,-3.173441315E1,-1.455634308E1,3.325265503E1
9.219416666E-1,-3.136508942E1,-1.412088776E1,3.368249512E1
9.319116666E-1,-3.124246216E1,-1.382075882E1,3.404779053E1
9.418816667E-1,-3.111830902E1,-1.362708282E1,3.423788452E1
9.518516667E-1,-3.084694672E1,-1.334507370E1,3.473291016E1
9.618216667E-1,-3.081418610E1,-1.313106918E1,3.462341309E1
9.717916667E-1,-3.089566040E1,-1.300881195E1,3.496278381E1
9.817626666E-1,-3.102045441E1,-1.278955841E1,3.460385132E1
9.917326666E-1,-3.076211548E1,-1.255717468E1,3.465396118E1
1.001702667E0,-3.066396332E1,-1.222570038E1,3.490466309E1
1.011672667E0,-3.045981598E1,-1.192866898E1,3.497085571E1
1.021642667E0,-3.026684570E1,-1.170350266E1,3.560693359E1
1.031612667E0,-3.019066620E1,-1.161126709E1,3.599673462E1
1.041582667E0,-2.986157227E1,-1.129386139E1,3.568656921E1
1.051552667E0,-2.962458038E1,-1.125250626E1,3.597521973E1
1.061522667E0,-2.942523193E1,-1.102024460E1,3.626509094E1
1.071492667E0,-2.903690338E1,-1.085707474E1,3.696960449E1
1.081462667E0,-2.881380463E1,-1.052241135E1,3.736116028E1
1.091432667E0,-2.856604767E1,-1.038205719E1,3.714128113E1
1.101402667E0,-2.832508087E1,-1.036264420E1,3.734153748E1
1.111372667E0,-2.806725311E1,-1.029667664E1,3.769590759E1
1.121342667E0,-2.800782776E1,-1.012531662E1,3.788343811E1
1.131312667E0,-2.774252319E1,-1.016798019E1,3.806668091E1
1.141282667E0,-2.747647095E1,-1.031783676E1,3.837278748E1
1.151252667E0,-2.733620453E1,-1.041108322E1,3.832858276E1
1.161223667E0,-2.732672119E1,-1.009246826E1,3.858682251E1
1.171193667E0,-2.736816406E1,-9.965732574E0,3.870185852E1
1.181163667E0,-2.732492065E1,-9.974517822E0,3.863677979E1
1.191133667E0,-2.727453613E1,-9.683158875E0,3.898837280E1
1.201103667E0,-2.720460510E1,-9.536594391E0,3.890621948E1
1.211073667E0,-2.685405731E1,-9.420227051E0,3.904057312E1
1.221043667E0,-2.658689117E1,-9.455825806E0,3.945198059E1
1.231013667E0,-2.632614899E1,-9.554122925E0,3.954875183E1
1.240983667E0,-2.614711761E1,-9.288219452E0,3.956076050E1
1.250953667E0,-2.568441010E1,-9.250518799E0,3.991471863E1
1.260923667E0,-2.529884720E1,-9.296520233E0,3.996009827E1
1.270893667E0,-2.477751160E1,-9.082862854E0,4.002716064E1
1.280863667E0,-2.432964325E1,-9.267971039E0,4.012808228E1
1.290833667E0,-2.410048294E1,-9.362594604E0,4.086532593E1
1.300803667E0,-2.406953812E1,-9.140029907E0,4.065818787E1
1.310773667E0,-2.367806244E1,-9.083736420E0,4.110380554E1
1.320743667E0,-2.337821198E1,-9.011901855E0,4.122857666E1
1.330713667E0,-2.317607880E1,-9.203651428E0,4.125444031E1
1.340683667E0,-2.325203323E1,-8.733623505E0,4.134805298E1
1.350654667E0,-2.331941986E1,-8.855022430E0,4.160838318E1
1.360624667E0,-2.341077423E1,-8.613498688E0,4.118388367E1
1.370594667E0,-2.360109329E1,-8.388408661E0,4.122811890E1
1.380564667E0,-2.390581512E1,-7.937744141E0,4.088943481E1
1.390534667E0,-2.425489807E1,-7.421703339E0,4.065046692E1
1.400504667E0,-2.477435303E1,-7.153652191E0,4.030583191E1
1.410474667E0,-2.513951874E1,-6.460216522E0,4.022801208E1
1.420444667E0,-2.568393326E1,-5.828239441E0,4.025151062E1
1.430414667E0,-2.625981140E1,-5.086982727E0,4.016519165E1
1.440384667E0,-2.659743500E1,-4.530284882E0,3.966600037E1
1.450354667E0,-2.726962280E1,-3.965496063E0,3.973547363E1
1.460324667E0,-2.778031921E1,-3.361286163E0,3.938662720E1
1.470294667E0,-2.795227051E1,-2.965110779E0,3.929025269E1
1.480264667E0,-2.831062317E1,-2.597019196E0,3.932034302E1
1.490234667E0,-2.815915680E1,-2.322708130E0,3.941323853E1
1.500204667E0,-2.822560120E1,-2.032310486E0,3.927888489E1
1.510174667E0,-2.813127899E1,-2.138748169E0,3.907141113E1
1.520144667E0,-2.805196381E1,-1.854167938E0,3.950434875E1
1.530114667E0,-2.788093567E1,-2.126995087E0,3.966159058E1
1.540084667E0,-2.777624512E1,-1.735977173E0,3.954627991E1
1.550055667E0,-2.747965240E1,-2.032661438E0,3.966539001E1
1.560025667E0,-2.753964996E1,-2.030822754E0,3.999925232E1
1.569995667E0,-2.756410217E1,-2.213119507E0,3.968382263E1
1.579965667E0,-2.759853363E1,-2.313537598E0,3.979606628E1
1.589935667E0,-2.769715118E1,-2.181324005E0,3.950135803E1
1.599905667E0,-2.799152374E1,-2.006805420E0,3.905764771E1
1.609875667E0,-2.815009308E1,-1.931694031E0,3.886241150E1
1.619845667E0,-2.817990112E1,-2.022300720E0,3.879005432E1
1.629815667E0,-2.840989685E1,-1.832061768E0,3.904483032E1
1.639785667E0,-2.880070496E1,-1.820644379E0,3.845147705E1
1.649755667E0,-2.909763336E1,-1.556621552E0,3.856521606E1
1.659725667E0,-2.926831818E1,-1.527019501E0,3.834674072E1
1.669695667E0,-2.936956024E1,-1.519096375E0,3.852046204E1
1.679665667E0,-2.928984833E1,-1.475852966E0,3.855215454E1
1.689635667E0,-2.947657776E1,-1.276378632E0,3.851248169E1
1.699605417E0,-2.935027313E1,-1.286914825E0,3.834304810E1
1.709575417E0,-2.942272186E1,-1.160045624E0,3.850291443E1
1.719545417E0,-2.953702545E1,-1.210533142E0,3.847492981E1
1.729515417E0,-2.963397217E1,-1.059909821E0,3.824835205E1
