"Time (s)","Distance (cm)"
4.068291746E-3,5.000000000E0
2.989799995E-2,0.000000000E0
2.992004179E-2,5.000000000E0
5.530293833E0,0.000000000E0
6.080224375E0,5.000000000E0
9.213363833E0,0.000000000E0
9.563334792E0,5.000000000E0
1.251380629E1,0.000000000E0
1.806088942E1,5.000000000E0
1.819416554E1,0.000000000E0
1.832867525E1,5.000000000E0
1.914539142E1,0.000000000E0
1.927877033E1,5.000000000E0
2.016204392E1,0.000000000E0
2.027869458E1,5.000000000E0
2.037871583E1,0.000000000E0
2.277885512E1,5.000000000E0
2.314512846E1,0.000000000E0
2.391950096E1,5.000000000E0
2.453626613E1,0.000000000E0
2.598643192E1,5.000000000E0
2.611119063E1,0.000000000E0
2.626703179E1,5.000000000E0
2.636713425E1,0.000000000E0
2.825086913E1,5.000000000E0
2.828389829E1,0.000000000E0
2.844021996E1,5.000000000E0
2.848757912E1,0.000000000E0
2.860419213E1,5.000000000E0
2.870429300E1,0.000000000E0
2.915418675E1,5.000000000E0
3.127113367E1,0.000000000E0
3.207105508E1,5.000000000E0
3.220433525E1,0.000000000E0
3.340707783E1,5.000000000E0
3.342370667E1,0.000000000E0
3.650522654E1,5.000000000E0
3.677510492E1,0.000000000E0
3.965345933E1,5.000000000E0
