"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.288291749E-3,2.496350098E1,3.572003174E1,-2.497103882E1
1.825829176E-2,2.501375580E1,3.568847656E1,-2.454705811E1
2.822829178E-2,2.499108124E1,3.574188232E1,-2.448510742E1
3.819929156E-2,2.505033875E1,3.591702271E1,-2.438177490E1
4.816929158E-2,2.499111938E1,3.579180908E1,-2.423516846E1
5.813929159E-2,2.520047760E1,3.578150940E1,-2.405618286E1
6.810929161E-2,2.531403351E1,3.575471497E1,-2.385202026E1
7.807929162E-2,2.534786987E1,3.592706299E1,-2.379376221E1
8.804929163E-2,2.535305786E1,3.599258423E1,-2.382128906E1
9.802029165E-2,2.538110352E1,3.581347656E1,-2.358193970E1
1.079902917E-1,2.531423187E1,3.579550171E1,-2.373178101E1
1.179602917E-1,2.562757111E1,3.561961365E1,-2.354342651E1
1.279302917E-1,2.567494965E1,3.569064331E1,-2.331423950E1
1.379002917E-1,2.568905640E1,3.579913330E1,-2.339559937E1
1.478702917E-1,2.575073242E1,3.563165283E1,-2.368667603E1
1.578412917E-1,2.568120575E1,3.573716736E1,-2.342883301E1
1.678112918E-1,2.573519135E1,3.572293091E1,-2.333969116E1
1.777812918E-1,2.599236298E1,3.568536377E1,-2.357791138E1
1.877512918E-1,2.602761841E1,3.592555237E1,-2.331738281E1
1.977212916E-1,2.624817657E1,3.600630188E1,-2.302532959E1
2.076922916E-1,2.633810425E1,3.580043030E1,-2.248089600E1
2.176622916E-1,2.640515900E1,3.598529053E1,-2.266076660E1
2.276322916E-1,2.642612457E1,3.624328613E1,-2.233187866E1
2.376022916E-1,2.647496796E1,3.600236511E1,-2.274130249E1
2.475722916E-1,2.648171997E1,3.611871338E1,-2.197692871E1
2.575432917E-1,2.637572479E1,3.605644226E1,-2.240255737E1
2.675132917E-1,2.646359253E1,3.580677795E1,-2.225784302E1
2.774832917E-1,2.655294037E1,3.595619202E1,-2.254830933E1
2.874532917E-1,2.656484222E1,3.612109375E1,-2.206768799E1
2.974232917E-1,2.663574982E1,3.593135071E1,-2.193017578E1
3.073932917E-1,2.665659332E1,3.578538513E1,-2.201458740E1
3.173642918E-1,2.670417786E1,3.594232178E1,-2.214520264E1
3.273342918E-1,2.670802307E1,3.595812988E1,-2.204254150E1
3.373042918E-1,2.666394806E1,3.589862061E1,-2.192123413E1
