"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.425945852E-2,-1.470939310E0,1.015492959E0,4.328576803E-2
2.423045854E-2,-1.438187301E0,7.698824197E-1,7.866610050E-2
3.420145833E-2,-1.502586342E0,6.736705792E-1,4.424196321E-1
4.417145834E-2,-1.349724630E0,6.088115090E-1,-3.153947192E-1
5.414245836E-2,-7.644807619E-1,9.312100232E-1,-6.612171793E-1
6.411345839E-2,-2.608969152E-2,8.617304832E-1,-6.707914102E-1
7.408445841E-2,6.407035388E-1,6.444198829E-1,-8.714935791E-1
8.405445842E-2,8.572345591E-1,6.264063656E-1,-8.932709491E-1
9.402545844E-2,5.694962928E-1,4.889587909E-1,-8.254549420E-1
1.039964585E-1,2.873789549E-2,3.269839007E-1,-6.361390561E-1
1.139664585E-1,-5.123261650E-1,2.602934825E-1,-2.971350342E-1
1.239374585E-1,-1.021675659E0,3.878136545E-1,-5.757636309E-2
1.339084585E-1,-1.580929530E0,6.100867867E-1,-7.985425472E-2
1.438794585E-1,-1.734253026E0,6.915607202E-1,-2.313649678E-1
1.538494583E-1,-1.434700607E0,7.960346764E-1,-1.922085035E-1
1.638204583E-1,-1.161674958E0,7.216920072E-1,-2.518196976E-1
1.737914584E-1,-9.877691169E-1,6.676087707E-1,-3.745053917E-1
1.837614584E-1,-9.239863729E-1,8.263378716E-1,-5.168447471E-1
1.937324584E-1,-7.216462527E-1,8.465622211E-1,-7.773656863E-1
2.037034584E-1,-4.474285032E-1,5.832053822E-1,-9.755862969E-1
2.136744584E-1,-3.311553043E-1,3.416808772E-1,-1.033387778E0
2.236444585E-1,-3.790956022E-1,6.135717273E-2,-1.001822169E0
2.336154585E-1,-5.097171374E-1,-1.634910733E-1,-9.762604809E-1
2.435864585E-1,-7.827718757E-1,-8.320587873E-2,-8.274833411E-1
2.535564585E-1,-1.212005598E0,1.791434848E-1,-5.983455777E-1
2.635274585E-1,-1.452880039E0,2.525470912E-1,-4.800102121E-1
2.734984583E-1,-1.291895082E0,2.180327314E-1,-4.022235328E-1
2.834694583E-1,-1.056947014E0,2.411713332E-1,-2.548427081E-1
2.934394584E-1,-9.517740959E-1,2.014687389E-1,-1.097925836E-1
3.034104584E-1,-1.027296879E0,1.575269133E-1,-1.301824093E-2
3.133810419E-1,-1.140567168E0,6.956783295E-2,1.084073782E-1
3.233510419E-1,-1.319279932E0,5.827744424E-2,8.538864434E-2
3.333220417E-1,-1.626606809E0,1.037050474E-1,-1.534391248E-1
3.432930417E-1,-1.941479372E0,2.091046178E-1,-3.632553488E-1
3.532640417E-1,-2.532023887E0,-3.527794772E-1,-2.524418414E-2
3.632340417E-1,-3.138948500E0,-1.049498026E0,2.580358726E-1
3.732050417E-1,-3.099172230E0,-1.266799856E0,1.480760586E-1
3.831760418E-1,-2.571794894E0,-1.215029778E0,2.137215793E-1
3.931460418E-1,-1.972169653E0,-1.088744538E0,2.678024769E-1
4.031170418E-1,-1.464442031E0,-9.478658170E-1,3.360570252E-1
4.130880418E-1,-1.146377473E0,-8.313196993E-1,4.164632571E-1
4.230590418E-1,-1.016228831E0,-7.198939884E-1,4.577902079E-1
4.330290419E-1,-9.482878397E-1,-5.948191220E-1,4.798780650E-1
4.430000419E-1,-9.526750056E-1,-4.101155198E-1,5.793579143E-1
4.529710417E-1,-8.410086818E-1,-3.622385180E-1,4.831045586E-1
4.629410417E-1,-5.819598157E-1,-3.328878343E-1,3.391794384E-1
4.729120417E-1,-2.903437856E-1,-1.911466491E-1,-8.081436753E-3
4.828830417E-1,-3.564755023E-2,1.049253613E-1,-4.606956893E-1
4.928540417E-1,1.653401821E-1,3.236562502E-1,-6.120070124E-1
5.028240418E-1,4.920598617E-1,2.287243652E-1,-4.376962513E-1
5.127950418E-1,9.505531973E-1,1.598628759E-3,-1.724431604E-1
5.227660418E-1,1.399307557E0,-1.199825263E-1,-2.387669581E-1
5.327360418E-1,1.716146246E0,1.164589942E-2,-4.135525131E-1
5.427070418E-1,1.885172001E0,3.104158151E-1,-5.675523859E-1
5.526780419E-1,2.078483143E0,7.228123337E-1,-9.149769831E-1
5.626480419E-1,2.208902657E0,1.090650145E0,-1.261595834E0
5.726190417E-1,2.258209595E0,1.055665085E0,-1.246456808E0
5.825900417E-1,2.528105083E0,6.840131342E-1,-1.225506819E0
5.925610417E-1,2.884113393E0,1.430989087E-2,-1.334503012E0
6.025310417E-1,3.186195756E0,-7.706121522E-1,-1.206516232E0
6.125020417E-1,3.358583368E0,-1.438744833E0,-9.005296826E-1
6.224730418E-1,3.138079603E0,-1.668043980E0,-7.088579535E-1
6.324430418E-1,2.574312120E0,-1.392705612E0,-6.065860587E-1
6.424140418E-1,1.889054698E0,-8.963863456E-1,-5.194806719E-1
6.523850418E-1,1.291215782E0,-3.743638891E-1,-5.851729703E-1
6.623560418E-1,9.999832195E-1,-2.702875435E-2,-6.465658110E-1
6.723260419E-1,1.146810021E0,-1.424007511E-1,-5.201694739E-1
6.822970419E-1,1.620121662E0,-4.943429071E-1,-3.098112130E-1
6.922680417E-1,2.204153841E0,-7.450884712E-1,-1.201175970E-1
7.022380417E-1,2.690087575E0,-7.387927741E-1,-1.010849100E-1
7.122090417E-1,2.970774099E0,-5.191619986E-1,-1.698136675E-1
7.221800417E-1,3.001976011E0,-2.003314555E-1,-2.248102391E-1
7.321510417E-1,2.771419128E0,1.639705449E-1,-2.333290476E-1
7.421210418E-1,2.254723193E0,3.790130103E-1,-2.771398956E-1
7.520920418E-1,1.629452941E0,4.873724413E-1,-3.842357433E-1
7.620630418E-1,1.134772650E0,3.893941569E-1,-4.003734738E-1
7.720330418E-1,8.633548397E-1,1.463908911E-1,-1.914419335E-1
7.820040418E-1,7.922977209E-1,-5.574735403E-2,6.584900379E-2
7.919750419E-1,6.875349122E-1,-1.138400263E-1,1.911595130E-1
8.019460419E-1,5.353579089E-1,-8.659200132E-2,1.469721043E-1
8.119160419E-1,4.292575496E-1,1.343105435E-3,4.031772137E-2
8.218870417E-1,3.419594970E-1,1.962044907E-1,-1.805146569E-1
8.318580417E-1,2.503994089E-1,4.646916765E-1,-5.029903543E-1
8.418280417E-1,1.637138522E-1,5.950945258E-1,-8.550740129E-1
8.517990417E-1,1.887226859E-1,4.590444356E-1,-1.219312863E0
8.617700418E-1,3.050208816E-1,1.303671813E-1,-1.558974112E0
8.717410418E-1,2.696148214E-1,-2.403457063E-1,-1.821797685E0
8.817110418E-1,1.371698320E-1,-5.058706927E-1,-1.870282212E0
8.916820418E-1,6.360016465E-2,-6.379452610E-1,-1.624057716E0
9.016530418E-1,3.965318531E-2,-6.024140704E-1,-1.149364377E0
9.116230418E-1,2.119127432E-1,-5.016969502E-1,-7.000064385E-1
9.215940419E-1,5.000769791E-1,-3.977691239E-1,-4.161159325E-1
9.315650419E-1,7.151761624E-1,-3.144550717E-1,-4.711505109E-1
9.415360417E-1,7.060357949E-1,-2.693052113E-1,-8.615679306E-1
9.515060417E-1,3.281681080E-1,-1.553996962E-1,-1.157829391E0
9.614770417E-1,-1.533639881E-1,-4.593046367E-2,-1.244558802E0
9.714480417E-1,-5.674281326E-1,-1.139575553E-1,-1.086696843E0
9.814180417E-1,-8.495285136E-1,-3.613854092E-1,-7.052209854E-1
9.913890418E-1,-9.727506897E-1,-4.877566034E-1,-1.042792439E-1
1.001360042E0,-1.067189947E0,-4.664318079E-1,6.162626159E-1
1.011331042E0,-1.131840564E0,-3.328854954E-1,1.264051080E0
1.021301042E0,-1.234235981E0,-8.757199466E-2,1.856981551E0
1.031272042E0,-1.274245700E0,1.248415625E-1,2.250811990E0
1.041243042E0,-1.132349856E0,2.265094399E-1,2.256988989E0
1.051213042E0,-8.182413782E-1,1.507078904E-1,1.822295283E0
1.061184042E0,-3.710653286E-1,-2.347025585E-1,1.308046700E0
1.071155042E0,1.934845121E-1,-7.584791797E-1,1.013149395E0
1.081125042E0,7.754426832E-1,-1.349255537E0,8.842112732E-1
1.091096042E0,1.171471676E0,-1.773437119E0,8.941123635E-1
1.101067042E0,1.361132401E0,-1.859797570E0,9.526277894E-1
1.111038042E0,1.273431768E0,-1.606851114E0,8.803029943E-1
1.121008042E0,9.400163685E-1,-1.223580746E0,7.120832777E-1
1.130979042E0,5.836952327E-1,-9.518746680E-1,4.904241031E-1
1.140950042E0,1.444563398E-1,-7.405761749E-1,2.020791882E-1
1.150920042E0,-3.060179780E-1,-4.553834939E-1,-1.553786463E-1
1.160891042E0,-4.637988067E-1,-3.736756718E-1,-4.031912470E-1
1.170862042E0,-3.193135232E-1,-4.438013291E-1,-5.397050214E-1
1.180833042E0,-9.269444793E-3,-4.646027988E-1,-7.434775633E-1
1.190803042E0,4.577596562E-1,-4.200522780E-1,-1.036702564E0
1.200774042E0,9.238217738E-1,-2.559147951E-1,-1.302116454E0
1.210745042E0,1.151279778E0,-3.707310140E-2,-1.544022782E0
1.220715042E0,1.121369955E0,4.915491074E-2,-1.780243278E0
1.230686042E0,9.564040674E-1,-9.176912606E-2,-1.923562042E0
1.240657042E0,7.471601397E-1,-4.987648639E-1,-1.796692665E0
1.250628042E0,6.051100753E-1,-9.693604741E-1,-1.457523167E0
1.260598042E0,5.840928434E-1,-1.326025426E0,-1.068830091E0
1.270569042E0,5.676305924E-1,-1.512006060E0,-7.238712645E-1
