"Time (s)","Distance (cm)"
2.007833449E-3,5.000000000E0
1.584779168E-2,0.000000000E0
3.035437502E-2,5.000000000E0
1.078962208E0,0.000000000E0
2.095601583E0,5.000000000E0
2.843659000E0,0.000000000E0
5.514037750E0,5.000000000E0
7.235438792E0,0.000000000E0
7.452173625E0,5.000000000E0
8.468984292E0,0.000000000E0
1.433583646E1,5.000000000E0
1.543860821E1,0.000000000E0
1.672198888E1,5.000000000E0
2.423466763E1,0.000000000E0
2.640961104E1,5.000000000E0
3.416722008E1,0.000000000E0
3.440042771E1,5.000000000E0
3.645056967E1,0.000000000E0
4.508443438E1,5.000000000E0
