"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.796458382E-3,-3.914659424E0,-4.361031189E0,7.657625885E0
1.176745840E-2,-4.331692200E0,-4.359534302E0,7.733667755E0
2.173845842E-2,-4.633764038E0,-4.405339050E0,7.874674530E0
3.170945845E-2,-4.740192719E0,-4.334087219E0,7.899073792E0
4.168045847E-2,-4.654720459E0,-4.297114105E0,7.766000519E0
5.165145849E-2,-4.504732361E0,-4.471052399E0,7.598199463E0
6.162245828E-2,-4.403393097E0,-4.556075592E0,7.573800201E0
7.159345830E-2,-4.287534027E0,-4.496798859E0,7.605683899E0
8.156445832E-2,-4.283941498E0,-4.484524384E0,7.614216156E0
9.153645835E-2,-4.148173828E0,-4.542154541E0,7.614964600E0
1.015074584E-1,-3.895499268E0,-4.694238281E0,7.634873199E0
1.114784584E-1,-3.759282532E0,-4.760400696E0,7.545658722E0
1.214494584E-1,-3.776347046E0,-4.767286377E0,7.528145142E0
1.314204584E-1,-3.847449188E0,-4.730313263E0,7.596552887E0
1.413914585E-1,-3.962260437E0,-4.776866455E0,7.599097595E0
1.513624585E-1,-4.100273438E0,-4.815635834E0,7.593858490E0
1.613334583E-1,-4.217330017E0,-4.821922760E0,7.607031097E0
1.713044583E-1,-4.236190796E0,-4.794230347E0,7.592810669E0
1.812754583E-1,-4.194577332E0,-4.743485870E0,7.557334442E0
1.912464583E-1,-4.079466705E0,-4.614454193E0,7.557484131E0
2.012174584E-1,-3.983965302E0,-4.558620300E0,7.484735413E0
2.111884584E-1,-4.041296082E0,-4.490062866E0,7.421716461E0
2.211594584E-1,-4.143234100E0,-4.467160492E0,7.402107239E0
2.311304584E-1,-4.280348969E0,-4.547393646E0,7.368277588E0
2.411024584E-1,-4.439019012E0,-4.633614349E0,7.399712219E0
2.510734585E-1,-4.524042206E0,-4.643643494E0,7.445367279E0
2.610444585E-1,-4.549938354E0,-4.662953339E0,7.446564789E0
2.710154583E-1,-4.450095978E0,-4.669539642E0,7.419920197E0
2.809864583E-1,-4.285139008E0,-4.570595398E0,7.261848907E0
2.909574583E-1,-4.243974609E0,-4.427043915E0,7.058721313E0
3.009284583E-1,-4.399950256E0,-4.275858307E0,6.951394501E0
3.108994584E-1,-4.684508514E0,-4.177363129E0,6.878945160E0
3.208704584E-1,-4.997956696E0,-4.273762665E0,6.838678894E0
3.308414584E-1,-5.232967987E0,-4.352349243E0,6.940916290E0
3.408124584E-1,-5.320685577E0,-4.369713135E0,7.079078979E0
3.507834584E-1,-5.319637756E0,-4.297712860E0,7.177274780E0
3.607544585E-1,-5.263803864E0,-4.239483948E0,7.232360229E0
3.707254585E-1,-5.143154755E0,-4.177512817E0,7.286397858E0
3.806964583E-1,-4.990472260E0,-4.228856049E0,7.175179138E0
3.906684583E-1,-4.930147705E0,-4.387975159E0,7.020101624E0
4.006394583E-1,-4.864434357E0,-4.618046722E0,6.935976563E0
4.106100001E-1,-4.783003693E0,-4.807253265E0,6.995552673E0
4.205810002E-1,-4.747826843E0,-4.863835602E0,7.215744781E0
4.305519999E-1,-4.740043030E0,-4.734654236E0,7.480394440E0
4.405230000E-1,-4.694986725E0,-4.455933838E0,7.814499664E0
4.504940000E-1,-4.504283295E0,-4.207749939E0,8.143066406E0
4.604650000E-1,-4.219725037E0,-4.103716278E0,8.365354156E0
4.704360000E-1,-3.856131134E0,-4.251608734E0,8.466394043E0
4.804070001E-1,-3.503165131E0,-4.528383179E0,8.591982880E0
4.903780001E-1,-3.196003876E0,-4.849315796E0,8.708740082E0
5.003490001E-1,-2.885250092E0,-5.091212769E0,8.785680084E0
5.103200001E-1,-2.520608368E0,-5.206922150E0,8.802744598E0
5.202910001E-1,-2.373015289E0,-5.173541565E0,8.772058411E0
5.302620002E-1,-2.304607544E0,-5.066065063E0,8.785979462E0
5.402340000E-1,-2.297123108E0,-4.900659027E0,8.860374756E0
5.502050000E-1,-2.318378906E0,-4.669988708E0,8.860524445E0
5.601760000E-1,-2.401905212E0,-4.433779907E0,8.822952576E0
5.701470000E-1,-2.433339844E0,-4.245172119E0,8.849447479E0
5.801180000E-1,-2.297721863E0,-4.210594025E0,8.911119232E0
5.900890001E-1,-2.081122284E0,-4.294419708E0,8.941206665E0
6.000600001E-1,-1.898801422E0,-4.372108154E0,8.949140167E0
6.100310001E-1,-1.838027802E0,-4.299658813E0,9.186546478E0
6.200020001E-1,-1.802551575E0,-4.292922821E0,9.464219055E0
6.299730001E-1,-1.769919434E0,-4.309089203E0,9.766290894E0
6.399439999E-1,-1.786834259E0,-4.204007721E0,9.877509613E0
6.499150000E-1,-1.734293518E0,-3.933370514E0,9.912836151E0
6.598860000E-1,-2.035018158E0,-3.569327545E0,1.004396347E1
6.698570000E-1,-2.297871552E0,-3.442690887E0,1.007839188E1
6.798280000E-1,-2.258054352E0,-3.405717773E0,1.004381378E1
6.897990000E-1,-2.070045319E0,-3.424129486E0,9.862690430E0
6.997710001E-1,-1.698667603E0,-3.517684937E0,9.792935486E0
