"Time (s)","X (hPa)"
-5.311419584E-1,1.019728470E3
4.971880417E-1,1.019746704E3
1.525571042E0,1.019764862E3
2.553825042E0,1.019933319E3
3.582056042E0,1.019933319E3
4.610174042E0,1.019899979E3
4.754370042E0,1.019899979E3
5.706350042E0,1.019899979E3
6.658267042E0,1.019804001E3
7.610367042E0,1.019804001E3
8.562509042E0,1.019980164E3
9.514721042E0,1.020038071E3
1.046697604E1,1.020041428E3
1.141928404E1,1.020106354E3
1.237157504E1,1.020106354E3
1.332393604E1,1.019584122E3
1.427630204E1,1.019458313E3
1.522881504E1,1.019432068E3
1.618143904E1,1.019425812E3
1.713418604E1,1.019425812E3
1.808705504E1,1.019553604E3
1.903990204E1,1.019670258E3
1.999276304E1,1.019679947E3
2.094559904E1,1.019670258E3
2.189860104E1,1.019685669E3
2.285165204E1,1.019704590E3
2.380483304E1,1.019704590E3
2.475800404E1,1.019600296E3
2.571119304E1,1.019600296E3
2.666427304E1,1.019584427E3
2.761713604E1,1.019584427E3
2.856997704E1,1.019584427E3
2.952266004E1,1.019636841E3
3.047537104E1,1.019636841E3
3.142796204E1,1.019703369E3
3.238054004E1,1.019763565E3
3.333310204E1,1.019806366E3
3.428567004E1,1.019821777E3
3.523827304E1,1.019823685E3
3.619061204E1,1.019823685E3
3.714294304E1,1.019812775E3
3.809525804E1,1.019792557E3
3.904752404E1,1.019792557E3
3.999979004E1,1.019797974E3
4.095199504E1,1.019826813E3
4.190440204E1,1.019846420E3
