"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.406022072E-3,5.238168886E1,4.861336358E0,-1.628005743E0,NaN,NaN,5.383664874E2,2.240551376E1
4.970407486E-2,5.238188930E1,4.861571091E0,-1.628005743E0,NaN,NaN,5.497446785E2,2.240551376E1
2.208960056E-1,5.238143034E1,4.861460412E0,-1.628005743E0,NaN,NaN,5.497726321E2,2.240551376E1
2.391780615E-1,5.238103085E1,4.861362364E0,-1.628005743E0,NaN,NaN,5.497729518E2,2.240551376E1
4.560790062E-1,5.238129865E1,4.860444602E0,2.293218136E0,NaN,NaN,2.616644180E1,1.810859299E1
3.139478087E0,5.238129865E1,4.860444602E0,2.190684676E0,NaN,NaN,2.616644180E1,1.792449379E1
3.630631447E0,5.238128544E1,4.860375132E0,4.056179047E0,0.000000000E0,NaN,2.035839452E1,3.200000000E1
4.630619764E0,5.238126181E1,4.860372869E0,5.272483826E-1,9.800000191E-1,1.968750000E2,1.406004134E1,4.000000000E0
5.630609632E0,5.238126122E1,4.860410588E0,4.433250427E-1,9.300000072E-1,1.845703125E2,1.382595146E1,4.000000000E0
6.630599022E0,5.238124073E1,4.860348059E0,3.954124451E-1,9.300000072E-1,2.046093750E2,1.343449759E1,4.000000000E0
7.631349206E0,5.238120439E1,4.860370858E0,4.813499451E-1,1.120000005E0,1.800000000E2,1.241385423E1,4.000000000E0
8.631356001E0,5.238118327E1,4.860353675E0,4.978294373E-1,1.230000019E0,1.944140625E2,1.268869453E1,4.000000000E0
9.631349087E0,5.238119307E1,4.860360799E0,6.216697693E-1,1.120000005E0,NaN,1.280739642E1,4.000000000E0
1.063135004E1,5.238119433E1,4.860371444E0,1.192897797E0,9.300000072E-1,1.919531250E2,9.691404651E0,4.000000000E0
1.163135445E1,5.238119622E1,4.860367589E0,1.941066742E0,4.900000095E-1,2.612109375E2,7.191834318E0,4.000000000E0
1.263134170E1,5.238120007E1,4.860357866E0,1.972438812E0,5.299999714E-1,2.580468750E2,6.170779605E0,4.000000000E0
1.363134336E1,5.238119944E1,4.860359542E0,1.928920746E0,4.900000095E-1,2.562890625E2,5.945202294E0,4.000000000E0
1.463134396E1,5.238119944E1,4.860359542E0,1.928920814E0,4.900000095E-1,NaN,5.945202294E0,4.000000000E0
1.563133419E1,5.238119983E1,4.860341890E0,1.755092710E0,5.299999714E-1,2.573437440E2,6.102994702E0,4.000000000E0
1.663134003E1,5.238118858E1,4.860362743E0,1.196743111E0,6.299999952E-1,1.603125025E2,5.701290613E0,4.000000000E0
1.763134706E1,5.238117486E1,4.860384255E0,1.560878926E0,1.159999967E0,1.469531324E2,5.742010598E0,4.000000000E0
1.863133943E1,5.238117527E1,4.860400170E0,1.732937031E0,1.159999967E0,1.350000095E2,5.645286895E0,4.000000000E0
1.963134134E1,5.238118054E1,4.860402727E0,1.786831017E0,7.699999809E-1,1.357031313E2,4.995997457E0,4.000000000E0
2.063132286E1,5.238118647E1,4.860398830E0,1.781581960E0,4.099999964E-1,1.444921903E2,4.855871224E0,4.000000000E0
2.163129890E1,5.238119492E1,4.860392902E0,1.528347085E0,2.399999946E-1,NaN,4.735697448E0,4.000032344E0
2.263129175E1,5.238120188E1,4.860383347E0,1.703701087E0,3.199999928E-1,NaN,4.725586406E0,4.000064074E0
2.363128304E1,5.238121005E1,4.860369433E0,1.991054604E0,4.499999881E-1,NaN,4.745645574E0,4.000001059E0
2.463127518E1,5.238121918E1,4.860355938E0,1.586147377E0,3.199999928E-1,NaN,4.631048939E0,4.000357445E0
2.563126659E1,5.238123058E1,4.860346634E0,1.317958898E0,4.499999881E-1,NaN,4.914698444E0,4.000000000E0
2.663125753E1,5.238124848E1,4.860340299E0,1.264125912E0,5.099999905E-1,3.557812496E2,4.944825803E0,4.000000000E0
2.763124907E1,5.238126234E1,4.860339328E0,9.906884264E-1,6.700000167E-1,3.589453124E2,5.116550043E0,4.000000000E0
2.863124061E1,5.238127602E1,4.860340970E0,1.056484353E0,8.899999857E-1,4.570313325E0,5.397361100E0,4.000000000E0
2.963123095E1,5.238128551E1,4.860351413E0,1.215908180E0,8.899999857E-1,2.144531629E1,5.655159887E0,4.000000000E0
3.063122320E1,5.238128984E1,4.860360195E0,1.379604470E0,8.899999857E-1,3.515625596E1,5.579913860E0,4.000000000E0
3.163121414E1,5.238128511E1,4.860357363E0,1.474453041E0,4.600000083E-1,NaN,6.027049125E0,4.000000000E0
3.263120556E1,5.238128171E1,4.860361638E0,1.724086829E0,2.399999946E-1,NaN,6.172725474E0,4.000000000E0
3.363119543E1,5.238127932E1,4.860367589E0,1.938076088E0,3.300000131E-1,NaN,5.809181770E0,4.000000000E0
3.463118672E1,5.238125989E1,4.860324444E0,5.709383655E-1,2.885601741E-1,NaN,8.768230221E0,1.272444634E0
3.563117754E1,5.238126434E1,4.860314291E0,1.220517501E0,5.229519926E-1,NaN,8.680577328E0,1.187689812E0
3.663116848E1,5.238125837E1,4.860325366E0,1.225879236E0,2.275565460E-1,NaN,8.461051535E0,1.205606140E0
3.763115966E1,5.238126648E1,4.860301238E0,1.123972842E0,3.548400581E-1,NaN,7.813685171E0,1.237442157E0
3.863115060E1,5.238126102E1,4.860333005E0,1.825957302E0,3.533837131E-1,NaN,7.397146600E0,1.162439398E0
3.963114071E1,5.238125555E1,4.860336215E0,2.701356151E0,3.756591884E-1,9.859808286E1,7.408414089E0,1.116378172E0
4.063113117E1,5.238124937E1,4.860325872E0,1.842281373E0,1.275730852E-1,1.315892351E2,7.507617641E0,1.240004778E0
