"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.286333358E-3,6.456673279E0,5.677842865E0,5.010979614E0
1.225633337E-2,6.400839386E0,5.051395569E0,5.333708496E0
2.222633339E-2,5.913003845E0,4.345613251E0,5.842051392E0
3.219633340E-2,5.519023132E0,3.848347321E0,6.130800934E0
4.216633341E-2,5.107528839E0,3.654201050E0,6.349795532E0
5.213633343E-2,4.668491821E0,3.810775452E0,6.476282501E0
6.210533332E-2,4.295766907E0,4.379891968E0,6.303092651E0
7.207533333E-2,4.208199005E0,5.173242188E0,6.053561554E0
8.204533334E-2,4.501738586E0,5.853876801E0,5.993087311E0
9.201533336E-2,5.105582886E0,6.139333191E0,6.103557587E0
1.019853334E-1,5.777086487E0,6.198160858E0,6.204896851E0
1.119553334E-1,6.165079651E0,6.139033813E0,6.358477478E0
1.219243334E-1,6.050418091E0,6.128405914E0,6.640940094E0
1.318943334E-1,5.705684967E0,6.266867981E0,6.949149170E0
1.418643334E-1,5.390590210E0,6.431675262E0,7.229516144E0
1.518343333E-1,5.244044952E0,6.559359741E0,7.481442261E0
1.618043333E-1,5.319338379E0,6.720125427E0,7.696245575E0
1.717743333E-1,5.429808655E0,6.856940918E0,7.873926086E0
1.817433333E-1,5.472320251E0,7.010671234E0,7.928712158E0
1.917133334E-1,5.524262238E0,7.020850067E0,7.750582581E0
2.016833334E-1,5.487588501E0,6.926097107E0,7.383845215E0
2.116533334E-1,5.188660126E0,6.724316711E0,7.031927032E0
2.216233334E-1,4.854854279E0,6.380332031E0,6.733298035E0
2.315933334E-1,4.605323181E0,6.061345367E0,6.532864838E0
2.415633333E-1,4.221521301E0,5.763165436E0,6.403982849E0
2.515323333E-1,3.994144135E0,5.269641724E0,6.337820435E0
2.615023333E-1,4.342320099E0,5.137316895E0,6.366860046E0
2.714723333E-1,4.868925018E0,5.359754333E0,6.318211212E0
2.814423334E-1,5.144951019E0,5.628894653E0,6.144123230E0
2.914123334E-1,5.504503326E0,5.893694000E0,5.983058167E0
3.013813334E-1,5.855074310E0,6.027216339E0,5.817203064E0
3.113513334E-1,5.899082794E0,6.010002136E0,5.776936798E0
3.213213334E-1,5.632337494E0,5.875881042E0,5.868546295E0
3.312913334E-1,5.153034210E0,5.695356445E0,6.038742371E0
3.412613333E-1,4.593647461E0,5.475463715E0,6.174360352E0
3.512313333E-1,4.065395966E0,5.265899506E0,6.158044281E0
3.612013333E-1,3.612138519E0,5.181026001E0,6.098019104E0
3.711703334E-1,3.328179016E0,5.196443939E0,6.050118713E0
3.811403334E-1,3.286116486E0,5.223986664E0,5.854924622E0
3.911103334E-1,3.509302368E0,5.255870361E0,5.376519470E0
4.010803334E-1,3.926035767E0,5.317691803E0,4.879103851E0
4.110503334E-1,4.461023254E0,5.539231110E0,4.777465210E0
4.210193334E-1,5.066813507E0,5.882467346E0,5.045108643E0
4.309893333E-1,5.622308350E0,6.203699341E0,5.484594727E0
4.409593333E-1,6.076314240E0,6.380332031E0,6.146817627E0
4.509293333E-1,6.440506897E0,6.442153473E0,6.973398743E0
4.608993334E-1,6.590644684E0,6.526577911E0,7.713310089E0
4.708693334E-1,6.500981140E0,6.372997284E0,7.739655304E0
4.808383334E-1,6.326743469E0,5.855223999E0,7.347620544E0
4.908083334E-1,6.271957397E0,5.302423553E0,7.144193573E0
5.007783334E-1,6.450536041E0,4.916376343E0,7.279961243E0
5.107483334E-1,6.896907806E0,4.849764862E0,7.509134674E0
5.207183333E-1,7.522606659E0,5.064119110E0,7.572752380E0
5.306883333E-1,8.210426331E0,5.461093597E0,7.584727478E0
5.406573333E-1,8.670569458E0,5.880072327E0,7.652686157E0
5.506273333E-1,8.789721680E0,6.263724518E0,7.329208832E0
5.605973334E-1,8.675060120E0,6.443650360E0,6.597829742E0
5.705673334E-1,8.563841400E0,6.235433350E0,5.927224274E0
5.805373334E-1,8.460406494E0,5.844147034E0,5.566923523E0
5.905073334E-1,8.112829285E0,5.404361572E0,5.402265930E0
6.004763334E-1,7.601342926E0,5.001998291E0,5.180876312E0
6.104463334E-1,7.103029175E0,4.812941437E0,5.309009857E0
6.204163333E-1,6.674620056E0,4.830455017E0,5.778433685E0
6.303863333E-1,6.230194244E0,5.063520355E0,6.297554169E0
6.403563333E-1,5.774092712E0,5.236111450E0,6.372398529E0
6.503263334E-1,5.419480133E0,5.122497711E0,5.947432251E0
6.602953334E-1,5.189857635E0,4.750371552E0,5.511389008E0
6.702653334E-1,5.039121094E0,4.295467529E0,5.224286041E0
6.802353334E-1,4.905598755E0,3.876339111E0,5.181175690E0
6.902053334E-1,4.844825134E0,3.552412720E0,5.407654724E0
7.001753334E-1,4.865931244E0,3.382366333E0,5.770799561E0
7.101453333E-1,5.046755219E0,3.290307770E0,6.051316223E0
7.201143333E-1,5.315895538E0,3.083138580E0,6.153104553E0
7.300843333E-1,5.617218933E0,2.715802460E0,6.081253967E0
7.400543333E-1,6.033054199E0,2.260599060E0,6.048771515E0
7.500243334E-1,6.639742584E0,1.729653168E0,6.236331482E0
7.599943334E-1,7.304210815E0,1.210382996E0,6.300248566E0
7.699643334E-1,7.912096710E0,7.821235657E-1,6.238726501E0
7.799333334E-1,8.310268707E0,4.743635559E-1,6.310277710E0
7.899033334E-1,8.348439331E0,2.101629639E-1,6.394552460E0
