"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.355812512E-2,1.057666016E1,3.341038513E1,-3.806863403E1
2.352812514E-2,1.036850739E1,3.368357849E1,-3.793170166E1
3.349812515E-2,1.031707764E1,3.382118225E1,-3.801681519E1
4.346912517E-2,1.009945679E1,3.418974304E1,-3.846502686E1
5.343912519E-2,1.002597046E1,3.430812073E1,-3.827951050E1
6.340912520E-2,1.023137665E1,3.431604004E1,-3.816488647E1
7.337912498E-2,1.015164948E1,3.411386108E1,-3.823031616E1
8.334912499E-2,1.019511414E1,3.429118347E1,-3.788873291E1
9.331912501E-2,1.016098022E1,3.419221497E1,-3.811633301E1
1.032891250E-1,1.016516113E1,3.444354248E1,-3.744509888E1
1.132591250E-1,1.009043884E1,3.445318604E1,-3.765893555E1
1.232291250E-1,9.859901428E0,3.436329651E1,-3.783242798E1
1.331991251E-1,9.856445312E0,3.454519653E1,-3.762625122E1
1.431691251E-1,9.947990417E0,3.426815796E1,-3.733654785E1
1.531401251E-1,9.907936096E0,3.433891296E1,-3.771356201E1
1.631101251E-1,1.004743958E1,3.443696594E1,-3.765106201E1
1.730801251E-1,1.006576538E1,3.476358032E1,-3.782315063E1
1.830501251E-1,1.017987823E1,3.459173584E1,-3.790960693E1
1.930201252E-1,1.017915344E1,3.448887634E1,-3.730981445E1
2.029901252E-1,9.966247559E0,3.451731873E1,-3.747998047E1
2.129601252E-1,1.004784393E1,3.458312988E1,-3.731991577E1
2.229301252E-1,1.003858948E1,3.439634705E1,-3.734057617E1
2.329001252E-1,9.986877441E0,3.458361816E1,-3.762490845E1
2.428711250E-1,9.945724487E0,3.473651123E1,-3.770590210E1
2.528411250E-1,9.848289490E0,3.488572693E1,-3.773968506E1
2.628111250E-1,9.603927612E0,3.479096985E1,-3.749026489E1
2.727811250E-1,9.628158569E0,3.449404907E1,-3.767172241E1
2.827511251E-1,9.525505066E0,3.459426880E1,-3.734637451E1
2.927211251E-1,9.399047852E0,3.470756531E1,-3.778121948E1
3.026911251E-1,9.618011475E0,3.467422485E1,-3.788745117E1
3.126611251E-1,9.466835022E0,3.467311096E1,-3.733850098E1
3.226311251E-1,9.528289795E0,3.498382568E1,-3.728561401E1
3.326011251E-1,9.658058167E0,3.494311523E1,-3.775518799E1
3.425711251E-1,9.696235657E0,3.477172852E1,-3.686700439E1
3.525421252E-1,9.628746033E0,3.471794128E1,-3.729898071E1
3.625121252E-1,9.782119751E0,3.509048462E1,-3.699514771E1
3.724821252E-1,9.802703857E0,3.495724487E1,-3.697149658E1
3.824521252E-1,9.755325317E0,3.491813660E1,-3.711254883E1
3.924221252E-1,9.942176819E0,3.488331604E1,-3.685308838E1
4.023921250E-1,9.739234924E0,3.463345337E1,-3.680526733E1
4.123621250E-1,9.708305359E0,3.446707153E1,-3.695770264E1
4.223321250E-1,9.870849609E0,3.447407532E1,-3.734622192E1
4.323021250E-1,9.526092529E0,3.441654968E1,-3.721575928E1
4.422731251E-1,9.467376709E0,3.441883850E1,-3.691619873E1
4.522431251E-1,9.349441528E0,3.430081177E1,-3.685473633E1
