"Time (s)","Distance (cm)"
4.115583375E-3,5.000000000E0
1.795272167E0,0.000000000E0
1.795287542E0,5.000000000E0
2.145292458E0,0.000000000E0
2.710202875E0,5.000000000E0
1.004580229E1,0.000000000E0
1.121249933E1,5.000000000E0
1.566153129E1,0.000000000E0
1.632917713E1,5.000000000E0
1.656158004E1,0.000000000E0
1.805392108E1,5.000000000E0
1.888602188E1,0.000000000E0
2.183622504E1,5.000000000E0
2.202438554E1,0.000000000E0
5.435740004E1,5.000000000E0
5.472530158E1,0.000000000E0
5.640874621E1,5.000000000E0
5.719848425E1,0.000000000E0
6.099880946E1,5.000000000E0
6.255217446E1,0.000000000E0
6.378555138E1,5.000000000E0
6.495573967E1,0.000000000E0
6.550560538E1,5.000000000E0
6.705400150E1,0.000000000E0
6.850397683E1,5.000000000E0
