"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.692712517E-2,-1.770394295E-2,1.746341139E-1,1.064960007E-2
2.689812495E-2,-2.417130955E-2,1.758892983E-1,-2.042221464E-2
3.686912498E-2,-2.244664729E-2,1.264341325E-1,-2.665667608E-2
4.683912499E-2,-1.833969913E-2,4.702381045E-2,-2.619833685E-2
5.681012501E-2,-1.335799042E-2,-2.130411379E-2,-2.217829600E-2
6.678012502E-2,-1.571222208E-2,-4.700190946E-2,-2.353628352E-2
7.675112505E-2,-3.560550511E-2,-5.894139037E-2,-1.982037537E-2
8.672212507E-2,-3.847849369E-2,-6.318074465E-2,-4.250802100E-3
9.669212508E-2,-3.446990252E-2,-4.471332580E-2,8.273134008E-4
1.066631251E-1,-3.091893159E-2,-1.761875302E-2,-9.835600853E-3
1.166331251E-1,-3.022464551E-2,1.021660678E-2,-2.737970650E-2
1.266041251E-1,-3.771715239E-2,2.693248726E-2,-4.498882219E-2
1.365751252E-1,-5.150753260E-2,4.041846842E-2,-6.184077263E-2
1.465451252E-1,-5.653649941E-2,4.457707703E-2,-7.125037163E-2
1.565161250E-1,-6.318374723E-2,3.475267813E-2,-7.291058451E-2
1.664861250E-1,-6.718142331E-2,1.787458733E-2,-7.435117662E-2
1.764571250E-1,-7.450804114E-2,-1.461171638E-2,-8.272922039E-2
1.864281250E-1,-9.113782644E-2,-4.846803099E-2,-9.885306656E-2
1.963981250E-1,-1.066387594E-1,-7.390548289E-2,-1.123371869E-1
2.063691251E-1,-1.161251143E-1,-9.212651104E-2,-1.165338680E-1
2.163391251E-1,-1.051246598E-1,-1.086660698E-1,-1.194793209E-1
2.263101251E-1,-8.294336498E-2,-1.028349176E-1,-1.295496523E-1
2.362811251E-1,-6.778891385E-2,-8.652146161E-2,-1.521870643E-1
2.462511251E-1,-6.268946826E-2,-6.271262467E-2,-1.681196541E-1
2.562221251E-1,-5.148661509E-2,-4.919548705E-2,-1.741796881E-1
2.661921252E-1,-4.121077806E-2,-4.576611519E-2,-1.669481695E-1
2.761631249E-1,-3.725811467E-2,-4.338737950E-2,-1.507641375E-1
2.861341250E-1,-2.696635760E-2,-2.735771798E-2,-1.323981881E-1
2.961041250E-1,2.492731204E-3,-1.021681447E-2,-1.139765754E-1
3.060751250E-1,3.553347662E-2,-3.210587427E-3,-9.712859243E-2
3.160451250E-1,7.566491514E-2,-1.147251204E-2,-8.832871169E-2
3.260161250E-1,1.141594872E-1,-2.835764922E-2,-7.698033005E-2
3.359871251E-1,1.455760002E-1,-3.991790116E-2,-4.429349303E-2
3.459571251E-1,1.690343171E-1,-5.312060565E-2,1.828346029E-2
3.559281251E-1,1.849965006E-1,-4.490368813E-2,9.530394524E-2
3.658991251E-1,1.849696636E-1,-1.525921002E-2,1.456474960E-1
3.758691251E-1,1.817853302E-1,2.892103605E-2,1.593321413E-1
3.858401251E-1,1.664701849E-1,5.688261613E-2,1.341837943E-1
3.958101252E-1,1.458266824E-1,4.986119270E-2,1.087665930E-1
4.057811250E-1,1.481974870E-1,2.693099156E-2,1.036188826E-1
4.157521250E-1,1.477402300E-1,3.903702833E-3,1.064402387E-1
4.257221250E-1,1.351965219E-1,-2.386494726E-2,1.054428071E-1
4.356931250E-1,1.263678670E-1,-4.575373605E-2,9.912153333E-2
4.456631250E-1,1.245722100E-1,-4.982670397E-2,9.300974756E-2
4.556341250E-1,1.207417920E-1,-4.574221373E-2,7.942442596E-2
4.656051251E-1,1.451132298E-1,-4.998022318E-2,5.282228440E-2
4.755751251E-1,1.856718510E-1,-4.325067997E-2,-1.275459211E-2
4.855461251E-1,2.364909947E-1,-2.239243500E-2,-9.743953496E-2
4.955161251E-1,2.939161956E-1,-3.310086904E-3,-1.419851631E-1
5.054871251E-1,3.303568959E-1,-2.623118460E-2,-1.393749118E-1
5.154581252E-1,3.432780206E-1,-1.008452326E-1,-1.026943848E-1
5.254281252E-1,3.284465969E-1,-1.732703447E-1,-5.244481191E-2
5.353991250E-1,2.491640300E-1,-1.975810081E-1,3.701280570E-3
5.453691250E-1,1.584384590E-1,-1.834580749E-1,3.847869486E-2
5.553401250E-1,8.773978055E-2,-1.147796735E-1,2.442332730E-2
5.653111250E-1,2.277903445E-2,1.734063216E-2,-2.214456536E-2
5.752811250E-1,-4.728740081E-2,1.803923994E-1,-6.487684697E-2
5.852521250E-1,-1.000691503E-1,3.110383749E-1,-6.967934221E-2
5.952221251E-1,-1.505025029E-1,3.480089307E-1,-4.148232564E-2
6.051931251E-1,-1.842134148E-1,3.158029020E-1,-1.285562571E-2
6.151641251E-1,-2.140496075E-1,2.564713955E-1,2.844467573E-2
6.251341251E-1,-2.491620779E-1,1.450517476E-1,4.081077874E-2
6.351051251E-1,-2.841549516E-1,3.577585891E-2,1.892945170E-2
6.450751252E-1,-3.406330943E-1,-4.576739669E-2,-3.389458358E-2
6.550461252E-1,-3.894366026E-1,-1.045276523E-1,-7.807429880E-2
6.650171250E-1,-4.136404097E-1,-9.734006971E-2,-9.772906452E-2
6.749871250E-1,-4.250952005E-1,-5.096138269E-2,-9.471489489E-2
6.849581250E-1,-4.172296524E-1,6.378595717E-3,-5.963824317E-2
6.949281250E-1,-3.531340063E-1,5.809532106E-2,-1.661301404E-2
7.048991250E-1,-2.790045440E-1,1.042005271E-1,8.454873227E-3
7.148701251E-1,-2.032535970E-1,1.017858386E-1,5.355177820E-2
7.248401251E-1,-1.314155906E-1,5.929154158E-2,1.126239002E-1
7.348111251E-1,-7.355948538E-2,-9.358091280E-3,1.836346984E-1
7.447811251E-1,-3.715880588E-2,-6.477608532E-2,2.623208463E-1
7.547521251E-1,-1.368836779E-2,-7.210936397E-2,3.353335261E-1
7.647231251E-1,9.904575534E-3,-4.948858544E-2,4.064863026E-1
7.746931252E-1,3.449353948E-2,-2.961794287E-2,4.852330685E-1
7.846641249E-1,3.522771597E-2,-1.566076837E-2,5.686445832E-1
7.946341250E-1,1.962851733E-2,-1.551403012E-2,6.326088905E-1
8.046051250E-1,2.062107809E-2,-6.398196518E-2,6.941508651E-1
8.145761250E-1,2.722944506E-2,-1.374636441E-1,7.724125981E-1
8.245461250E-1,1.402407140E-2,-2.451644391E-1,8.383228183E-1
8.345171250E-1,-8.285229094E-3,-4.205815196E-1,9.012098908E-1
8.444871251E-1,3.309702035E-3,-5.666788816E-1,9.485802054E-1
8.544581251E-1,2.152652293E-2,-6.281811595E-1,9.694913626E-1
8.644291251E-1,4.646187648E-2,-6.567224264E-1,9.725503922E-1
8.743991251E-1,1.099961102E-1,-6.861572862E-1,9.946773052E-1
8.843695000E-1,1.959587783E-1,-7.091303468E-1,1.026430845E0
8.943395000E-1,2.717432678E-1,-7.440600991E-1,1.033436537E0
9.043105000E-1,3.460219800E-1,-7.881741524E-1,1.021411419E0
9.142815000E-1,3.966494799E-1,-8.408693075E-1,1.001497626E0
9.242515001E-1,4.428946674E-1,-8.744542599E-1,9.886604548E-1
9.342225001E-1,5.136796236E-1,-9.184967875E-1,9.882849455E-1
9.441935001E-1,5.847515464E-1,-9.785401225E-1,1.034122586E0
9.541635001E-1,6.583973169E-1,-1.050210238E0,1.094336867E0
9.641345001E-1,7.453660369E-1,-1.177001476E0,1.137944579E0
9.741045001E-1,8.215172887E-1,-1.292914510E0,1.157426953E0
9.840755002E-1,8.630243540E-1,-1.375144124E0,1.123050690E0
9.940465000E-1,9.147570133E-1,-1.450442076E0,1.091894627E0
1.004016500E0,1.004530787E0,-1.498755097E0,1.078868032E0
1.013987500E0,1.080013514E0,-1.538668394E0,1.050346136E0
1.023957500E0,1.156689167E0,-1.552555323E0,1.029695034E0
1.033928500E0,1.214958310E0,-1.520567060E0,1.025179386E0
1.043899500E0,1.230100155E0,-1.494471788E0,1.009655595E0
1.053869500E0,1.226140022E0,-1.537462950E0,9.622430205E-1
1.063840500E0,1.229470849E0,-1.555840135E0,9.157499075E-1
1.073810500E0,1.307967782E0,-1.568698883E0,8.754383922E-1
1.083781500E0,1.393427253E0,-1.588770270E0,8.675428033E-1
1.093752500E0,1.412963748E0,-1.559026003E0,8.431913853E-1
1.103722500E0,1.393452048E0,-1.518894911E0,7.854243517E-1
1.113693500E0,1.375794053E0,-1.417466044E0,7.308740616E-1
1.123663500E0,1.335019827E0,-1.203091025E0,6.894928217E-1
1.133634500E0,1.296965361E0,-1.018071651E0,6.593714356E-1
1.143605500E0,1.285429358E0,-9.182505012E-1,6.434621811E-1
1.153575500E0,1.246045470E0,-9.235746861E-1,6.222708821E-1
1.163546500E0,1.207909584E0,-1.055436492E0,6.122063398E-1
1.173517500E0,1.173993945E0,-1.209662914E0,5.783810019E-1
1.183487500E0,1.151805758E0,-1.356302142E0,5.106408000E-1
1.193458500E0,1.115763664E0,-1.457341909E0,4.170975387E-1
