"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.692712517E-2,4.473763168E-2,4.780003048E-1,-2.912322700E-1
2.689812495E-2,-3.777763242E-1,-4.832428452E-1,-3.112940669E-1
3.686912498E-2,-3.300994433E-1,-3.217121241E-1,-2.150798875E-1
4.683912499E-2,-4.021106815E-1,-1.676941980E-1,-2.085386074E-1
5.681012501E-2,-4.305085614E-1,-1.350809142E-2,-1.362699455E-1
6.678012502E-2,-3.411265612E-1,9.601135410E-2,-5.284479618E-2
7.675112505E-2,-2.231260948E-1,1.421523906E-1,-5.017027974E-2
8.672212507E-2,-1.163239235E-1,1.675127882E-1,4.295949340E-3
9.669212508E-2,3.622774020E-2,2.129167101E-1,3.112297475E-2
1.066631251E-1,1.660525922E-1,1.843738192E-1,-2.656682432E-2
1.166331251E-1,2.067604691E-1,1.526670731E-1,-5.618180215E-2
1.266041251E-1,1.386885001E-1,1.844398197E-1,-7.912803054E-2
1.365751252E-1,6.123935133E-2,2.178245705E-1,-8.706971884E-2
1.465451252E-1,-2.871626079E-2,2.689193682E-1,-1.165291607E-1
1.565161250E-1,-1.625170733E-1,2.190315820E-1,-1.506412321E-1
1.664861250E-1,-2.121694359E-1,1.637816068E-1,-1.230774575E-1
1.764571250E-1,-1.702753052E-1,1.712985680E-1,-1.316985923E-1
1.864281250E-1,-7.546738118E-2,1.589631356E-1,-1.026940638E-1
1.963981250E-1,1.705165029E-2,1.845611494E-1,-6.037776411E-2
2.063691251E-1,4.427935615E-2,3.010846091E-1,-7.294986248E-2
2.163391251E-1,4.388437673E-2,3.680130820E-1,-1.037407154E-1
2.263101251E-1,1.773036584E-2,3.352870931E-1,-1.185710084E-1
2.362811251E-1,-3.366695210E-2,1.348815241E-1,-8.022145987E-2
2.462511251E-1,-1.204614133E-1,-9.640611425E-2,1.502500534E-2
2.562221251E-1,-2.101220334E-1,-1.930581039E-1,2.301370525E-1
2.661921252E-1,-2.634287596E-1,-2.599701315E-1,2.610770094E-1
2.761631249E-1,-2.935758340E-1,-2.207532947E-1,2.226590484E-1
2.861341250E-1,-4.153626649E-1,-1.061515224E-1,2.106810272E-1
2.961041250E-1,-5.904579762E-1,-1.158959073E-1,1.999578184E-1
3.060751250E-1,-7.062519957E-1,-2.327354090E-1,1.487180829E-1
3.160451250E-1,-7.692510666E-1,-3.618088938E-1,5.384057701E-2
3.260161250E-1,-7.805894025E-1,-4.494013537E-1,-2.567453921E-2
3.359871251E-1,-7.989017124E-1,-5.139648472E-1,-1.592062336E-1
3.459571251E-1,-7.922983056E-1,-4.150572941E-1,-2.682965666E-1
3.559281251E-1,-6.809325287E-1,-2.474994823E-1,-3.454768896E-1
3.658991251E-1,-3.806935000E-1,-9.299901478E-2,-2.884454870E-1
3.758691251E-1,-7.332174540E-2,8.559008092E-3,-1.765443975E-1
3.858401251E-1,1.521458669E-1,6.761610545E-2,-1.522334290E-1
3.958101252E-1,2.644021748E-1,-1.331067480E-2,-1.154041564E-1
4.057811250E-1,3.711223389E-1,1.698917279E-1,1.762035048E-1
4.157521250E-1,3.895896001E-1,3.980401424E-1,3.066420221E-1
4.257221250E-1,3.037501355E-1,5.684475216E-1,2.465022397E-1
4.356931250E-1,2.093224266E-1,6.473475107E-1,2.230660146E-1
