"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.647099972E-2,5.238016765E1,4.860642892E0,-5.740408897E-1,NaN,NaN,7.583880903E2,4.371834183E1
4.677950144E-1,5.238129865E1,4.860444602E0,2.516008377E0,NaN,NaN,2.616644180E1,2.479140282E1
3.312595010E0,5.238129865E1,4.860444602E0,2.307523489E0,NaN,NaN,2.616644180E1,2.055717278E1
4.787262082E0,5.238103277E1,4.860765645E0,8.553123474E-1,0.000000000E0,NaN,1.721040591E1,4.000000000E0
5.787249923E0,5.238103197E1,4.860696997E0,1.995937347E0,0.000000000E0,NaN,1.220281438E1,4.000000000E0
6.787238121E0,5.238101165E1,4.860667577E0,3.400112152E0,0.000000000E0,NaN,1.064178305E1,4.000000000E0
7.787226796E0,5.238103352E1,4.860681407E0,5.148830414E0,0.000000000E0,NaN,9.308009973E0,4.000000000E0
8.788256526E0,5.238103009E1,4.860691549E0,6.045864105E0,0.000000000E0,NaN,8.656160649E0,4.000000000E0
9.788266301E0,5.238102925E1,4.860688699E0,7.217006683E0,0.000000000E0,NaN,7.469199529E0,4.000000000E0
1.078825784E1,5.238101504E1,4.860664643E0,7.043849945E0,0.000000000E0,NaN,7.620617954E0,4.000000000E0
1.178826630E1,5.238100230E1,4.860648131E0,7.215236664E0,0.000000000E0,NaN,7.973403353E0,4.000000000E0
1.278827572E1,5.238099912E1,4.860645281E0,6.810207367E0,0.000000000E0,NaN,8.739884937E0,4.000000000E0
1.378826725E1,5.238098969E1,4.860624494E0,6.999477386E0,0.000000000E0,NaN,9.946468116E0,4.000000000E0
1.478827620E1,5.238098969E1,4.860624494E0,6.999477455E0,0.000000000E0,NaN,9.946468116E0,4.000000000E0
1.578828037E1,5.238098654E1,4.860620135E0,7.066127844E0,0.000000000E0,NaN,8.866488418E0,4.000000000E0
1.678827286E1,5.238098613E1,4.860614436E0,7.254238195E0,0.000000000E0,NaN,8.318129953E0,4.000000000E0
1.778828025E1,5.238097929E1,4.860618711E0,7.700344153E0,0.000000000E0,NaN,7.946588065E0,4.000000000E0
1.878828382E1,5.238098638E1,4.860623823E0,8.431240148E0,0.000000000E0,NaN,7.520173403E0,4.000000000E0
1.978827214E1,5.238099279E1,4.860628517E0,9.885524817E0,0.000000000E0,NaN,6.736857051E0,4.000000000E0
2.078827977E1,5.238099338E1,4.860629356E0,1.063863761E1,0.000000000E0,NaN,6.636370014E0,4.000000000E0
2.178828454E1,5.238098939E1,4.860624410E0,1.068307120E1,0.000000000E0,NaN,6.868822717E0,4.000000000E0
2.278827429E1,5.238099178E1,4.860626757E0,1.068899161E1,0.000000000E0,NaN,7.253448021E0,4.000000000E0
2.378826308E1,5.238099178E1,4.860626757E0,1.087057120E1,0.000000000E0,NaN,7.410469245E0,4.000000000E0
2.478825104E1,5.238099074E1,4.860626673E0,1.098324210E1,0.000000000E0,NaN,7.653882970E0,4.000000000E0
2.578823948E1,5.238099602E1,4.860632960E0,1.129214103E1,0.000000000E0,NaN,7.812682510E0,4.000000000E0
2.678822744E1,5.238100415E1,4.860644359E0,1.180099113E1,0.000000000E0,NaN,7.145822097E0,4.000000000E0
2.778821588E1,5.238102414E1,4.860659753E0,1.195095466E1,1.389999986E0,3.761719737E1,7.858881009E0,4.000000000E0
2.878820443E1,5.238104932E1,4.860604377E0,1.142507560E1,1.389999986E0,NaN,7.659344760E0,4.000000000E0
2.978819180E1,5.238106165E1,4.860594235E0,1.111318595E1,1.440000057E0,NaN,7.872317489E0,4.000000000E0
3.078818083E1,5.238104040E1,4.860676378E0,9.062709876E0,1.639999986E0,NaN,8.207763940E0,4.000000000E0
3.178816891E1,5.238102824E1,4.860662548E0,9.754421303E0,6.000000238E-1,NaN,6.941267065E0,4.000000000E0
3.278815734E1,5.238099757E1,4.860678976E0,9.579250403E0,0.000000000E0,NaN,6.311893067E0,4.000000000E0
3.378814518E1,5.238099593E1,4.860679982E0,9.561428137E0,0.000000000E0,NaN,6.420197488E0,4.000000000E0
3.478813362E1,5.238108459E1,4.860714439E0,7.325599473E-1,3.406084726E-1,NaN,1.523861271E1,1.203916842E0
3.578812194E1,5.238108814E1,4.860701953E0,8.217734834E-1,2.882440632E-1,NaN,1.868896746E1,1.345964625E0
3.678811026E1,5.238108690E1,4.860683387E0,8.007282782E-1,4.731617348E-1,NaN,2.092480608E1,1.383894597E0
3.778809929E1,5.238108630E1,4.860669373E0,7.366326582E-1,5.089166444E-1,NaN,2.308977845E1,1.355989577E0
3.878808808E1,5.238108454E1,4.860661347E0,-2.014251808E-1,5.089063558E-1,NaN,2.723320544E1,1.291997609E0
3.978807592E1,5.238107949E1,4.860654294E0,-2.438031426E-1,4.383823525E-1,NaN,2.780579129E1,1.282937178E0
4.078806353E1,5.238107988E1,4.860652260E0,-2.856315179E-1,3.075576578E-1,NaN,2.906758056E1,1.324131361E0
4.178805256E1,5.238108409E1,4.860676580E0,-1.440709536E0,4.609879016E-1,NaN,2.195073927E1,1.218493606E0
4.278804028E1,5.238119263E1,4.860717294E0,-1.025633107E0,8.400257851E-1,NaN,1.958985422E1,1.210361446E0
4.378802979E1,5.238118068E1,4.860707574E0,-3.739313362E-1,6.233668324E-1,NaN,1.969556632E1,1.214277132E0
4.478801763E1,5.238118139E1,4.860699097E0,-7.512531141E-1,5.073150943E-1,NaN,1.993882660E1,1.184321756E0
4.578800631E1,5.238118404E1,4.860702746E0,-6.685743080E-1,3.994443888E-1,NaN,2.068698497E1,1.227784781E0
4.678799427E1,5.238117624E1,4.860681811E0,-3.123953305E-1,3.944166505E-1,NaN,2.079548388E1,1.229356649E0
4.778798342E1,5.238098822E1,4.860583979E0,-8.582523838E-2,1.185749249E0,NaN,1.775138693E1,1.275102495E0
4.878797102E1,5.238104177E1,4.860639748E0,-6.801428599E-1,2.669627358E-1,NaN,1.407930535E1,1.277908076E0
4.978795958E1,5.238099578E1,4.860686328E0,-4.494905714E-1,7.933211210E-1,NaN,1.284322498E1,1.314526766E0
5.078794825E1,5.238095507E1,4.860706474E0,-4.019806171E-1,8.229889007E-1,NaN,1.301528393E1,1.348804444E0
5.178793693E1,5.238095008E1,4.860701864E0,-4.736417159E-1,5.182282849E-1,NaN,1.417840421E1,1.267376836E0
5.278792453E1,5.238096798E1,4.860753591E0,-3.848704938E-1,4.581207287E-1,NaN,1.378704288E1,1.213825655E0
5.378791344E1,5.238103056E1,4.860892198E0,-5.091560166E-2,6.018434115E-1,NaN,1.088212954E1,1.220602628E0
5.478790212E1,5.238105865E1,4.860911005E0,-1.245671716E-1,8.588415840E-2,NaN,8.346068939E0,1.231929059E0
5.578789032E1,5.238107601E1,4.860882439E0,-4.297944810E-1,2.397041294E-1,NaN,7.948399473E0,1.162101345E0
5.678787875E1,5.238107037E1,4.860860719E0,-3.804966770E-1,2.232708987E-1,NaN,7.159242085E0,1.168313091E0
5.778786683E1,5.238105758E1,4.860848853E0,-3.025761731E-1,1.371339477E-1,NaN,6.747173636E0,1.221558516E0
5.878785515E1,5.238105758E1,4.860848853E0,-3.025761731E-1,0.000000000E0,NaN,6.632441783E0,1.142337801E0
5.978784370E1,5.238105995E1,4.860856926E0,-1.643636996E0,4.560503904E-1,NaN,6.692636057E0,1.183674350E0
6.078783250E1,5.238107562E1,4.860845761E0,-1.480113343E0,5.689888018E-1,3.125534907E2,6.494848054E0,1.325274440E0
6.178782082E1,5.238109124E1,4.860884835E0,-1.000332052E0,4.371818934E-1,NaN,5.733276835E0,1.783925352E0
6.278780997E1,5.238109097E1,4.860875590E0,4.144508299E0,1.436518888E0,NaN,5.367918777E0,2.238299586E0
6.378779721E1,5.238109633E1,4.860869557E0,3.494093088E0,0.000000000E0,NaN,5.281918255E0,2.434312343E0
6.478778648E1,5.238108823E1,4.860879927E0,1.969200012E0,2.991688461E-2,NaN,5.210986346E0,2.582664968E0
6.578777480E1,5.238109113E1,4.860875016E0,5.445040924E0,1.602292257E0,NaN,5.208936749E0,2.586796278E0
6.678776324E1,5.238108211E1,4.860861548E0,5.445124595E0,1.307346095E0,NaN,5.256645376E0,2.488416449E0
6.778775132E1,5.238107666E1,4.860869683E0,6.650549971E0,1.292103778E0,NaN,5.227757938E0,2.548545462E0
6.878774011E1,5.238108523E1,4.860878525E0,3.202056741E0,3.834836916E-2,NaN,5.149273005E0,2.703613240E0
6.978772867E1,5.238108838E1,4.860884662E0,5.046386424E0,1.367221800E0,NaN,5.140214007E0,2.720797124E0
