"Time (s)","X (hPa)"
-5.440122085E-1,1.019716721E3
4.807137914E-1,1.019707031E3
1.505613792E0,1.019697418E3
2.530557791E0,1.019697418E3
3.555404792E0,1.019742050E3
4.580204791E0,1.019742050E3
4.729385792E0,1.019742050E3
5.678262792E0,1.019743576E3
6.627399791E0,1.019743576E3
7.576586792E0,1.019788284E3
8.525682792E0,1.019788284E3
9.474798792E0,1.019808502E3
1.042389779E1,1.019808502E3
1.137299479E1,1.019632874E3
1.232213579E1,1.019520264E3
1.327118779E1,1.019520264E3
1.422025279E1,1.019549484E3
1.516926979E1,1.019564972E3
1.611824379E1,1.019589157E3
1.706719479E1,1.019589157E3
1.801594179E1,1.019577332E3
1.896453179E1,1.019534912E3
1.991306179E1,1.019534912E3
2.086168079E1,1.019580612E3
2.181056179E1,1.019597473E3
2.275957379E1,1.019580612E3
2.370865979E1,1.019608383E3
2.465799679E1,1.019696274E3
2.560736579E1,1.019696274E3
2.655676279E1,1.019685287E3
2.750628679E1,1.019624252E3
2.845578779E1,1.019550705E3
2.940542179E1,1.019406433E3
3.035518979E1,1.019406433E3
3.130492579E1,1.019410248E3
3.225486679E1,1.019521027E3
3.320482979E1,1.019612579E3
3.415482979E1,1.019626312E3
3.510478679E1,1.019638443E3
3.605481679E1,1.019630432E3
3.700494479E1,1.019638443E3
3.795511579E1,1.019652252E3
3.890526479E1,1.019676056E3
3.985553379E1,1.019731674E3
4.080586879E1,1.019731674E3
4.175623379E1,1.019753952E3
4.270658979E1,1.019760818E3
4.365701879E1,1.019760818E3
4.460735579E1,1.019793549E3
4.555773479E1,1.019760437E3
4.650817179E1,1.019747162E3
4.745852579E1,1.019699326E3
4.840894779E1,1.019686127E3
4.935931279E1,1.019637756E3
5.030981979E1,1.019686127E3
5.126032879E1,1.019704361E3
